config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
"rule=13, w=24",trm_nods-trm_decoupled_nods,accuracy,0.09039583333333331,0.02416322812382891,10,10,0,0.001953125
"rule=13, w=24",trm_nods-trm_decoupled_nods,exact_match,0.3974,0.08217758548141674,10,10,0,0.001953125
"rule=13, w=24",trm_nods-trm_decoupled_nods,coherence_excess,0.12956325099283744,0.027457643414055634,10,10,0,0.001953125
"rule=13, w=24",trm_stepDS-trm_decoupled_stepDS,accuracy,0.04603333333333333,0.026737368657294033,10,10,0,0.001953125
"rule=13, w=24",trm_stepDS-trm_decoupled_stepDS,exact_match,0.2692,0.07601578783384409,10,10,0,0.001953125
"rule=13, w=24",trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.10792911436741215,0.01858975307245901,10,10,0,0.001953125
"rule=13, w=24",trm_nods-ff_matched,accuracy,0.010858333333333314,0.01409014190011697,10,8,2,0.109375
"rule=13, w=24",trm_nods-ff_matched,exact_match,0.16499999999999998,0.10410037890847895,10,10,0,0.001953125
"rule=13, w=24",trm_nods-ff_matched,coherence_excess,0.08444524988739008,0.02787114423291803,10,10,0,0.001953125
"rule=13, w=24",trm_nods-untied_matched,accuracy,0.09011666666666666,0.0154348216425005,10,10,0,0.001953125
"rule=13, w=24",trm_nods-untied_matched,exact_match,0.372,0.09105065745079616,10,10,0,0.001953125
"rule=13, w=24",trm_nods-untied_matched,coherence_excess,0.09963472396763914,0.02487482278061747,10,10,0,0.001953125
"rule=13, w=24",trm_decoupled_nods-ff_matched,accuracy,-0.07953750000000001,0.026247453212727524,10,0,10,0.001953125
"rule=13, w=24",trm_decoupled_nods-ff_matched,exact_match,-0.2324,0.049652570706638914,10,0,10,0.001953125
"rule=13, w=24",trm_decoupled_nods-ff_matched,coherence_excess,-0.04511800110544735,0.023169781772154147,10,0,10,0.001953125
"rule=13, w=24",trm_decoupled_nods-untied_matched,accuracy,-0.00027916666666665256,0.02235136994517173,10,5,5,1.0
"rule=13, w=24",trm_decoupled_nods-untied_matched,exact_match,-0.025400000000000006,0.02894515887367389,10,2,8,0.109375
"rule=13, w=24",trm_decoupled_nods-untied_matched,coherence_excess,-0.029928527025198305,0.014377612391878805,10,0,10,0.001953125
"rule=13, w=32",trm_nods-trm_decoupled_nods,accuracy,0.06541250000000001,0.031809405546944745,10,10,0,0.001953125
"rule=13, w=32",trm_nods-trm_decoupled_nods,exact_match,0.0711,0.020658331652548,10,10,0,0.001953125
