config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
"rule=13, w=24",trm_nods-trm_decoupled_nods,accuracy,0.16920833333333335,0.07204530414097392,10,10,0,0.001953125
"rule=13, w=24",trm_nods-trm_decoupled_nods,exact_match,0.6586000000000001,0.05486184668986474,10,10,0,0.001953125
"rule=13, w=24",trm_nods-trm_decoupled_nods,coherence_excess,0.13451906774402472,0.04364704817486983,10,10,0,0.001953125
"rule=13, w=24",trm_stepDS-trm_decoupled_stepDS,accuracy,0.0826625,0.12174344268662422,10,10,0,0.001953125
"rule=13, w=24",trm_stepDS-trm_decoupled_stepDS,exact_match,0.4290999999999999,0.188944112842337,10,10,0,0.001953125
"rule=13, w=24",trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.08840640612985377,0.02931212816401906,10,10,0,0.001953125
"rule=13, w=24",trm_nods-ff_matched,accuracy,0.012270833333333342,0.009514005473738235,10,10,0,0.001953125
"rule=13, w=24",trm_nods-ff_matched,exact_match,0.21230000000000002,0.08900817690277427,10,10,0,0.001953125
"rule=13, w=24",trm_nods-ff_matched,coherence_excess,0.0681268610606153,0.033910263182851015,10,10,0,0.001953125
"rule=13, w=24",trm_nods-untied_matched,accuracy,0.0645125,0.00921010436295609,10,10,0,0.001953125
"rule=13, w=24",trm_nods-untied_matched,exact_match,0.4896999999999999,0.053709196398547786,10,10,0,0.001953125
"rule=13, w=24",trm_nods-untied_matched,coherence_excess,0.05680946861203331,0.03366930977872562,10,10,0,0.001953125
"rule=13, w=24",trm_decoupled_nods-ff_matched,accuracy,-0.1569375,0.07548563515642652,10,0,10,0.001953125
"rule=13, w=24",trm_decoupled_nods-ff_matched,exact_match,-0.44630000000000003,0.048412693468644054,10,0,10,0.001953125
"rule=13, w=24",trm_decoupled_nods-ff_matched,coherence_excess,-0.06639220668340942,0.017751555264235105,10,0,10,0.001953125
"rule=13, w=24",trm_decoupled_nods-untied_matched,accuracy,-0.10469583333333335,0.0759801185465767,10,0,10,0.001953125
"rule=13, w=24",trm_decoupled_nods-untied_matched,exact_match,-0.1689,0.037704847905217116,10,0,10,0.001953125
"rule=13, w=24",trm_decoupled_nods-untied_matched,coherence_excess,-0.07770959913199142,0.017180203239263298,10,0,10,0.001953125
"rule=13, w=32",trm_nods-trm_decoupled_nods,accuracy,0.25925000000000004,0.11847941668838281,10,10,0,0.001953125
"rule=13, w=32",trm_nods-trm_decoupled_nods,exact_match,0.3709,0.07697106238349868,10,10,0,0.001953125
"rule=13, w=32",trm_nods-trm_decoupled_nods,coherence_excess,0.2014521454029668,0.0204583713227047,10,10,0,0.001953125
"rule=13, w=32",trm_stepDS-trm_decoupled_stepDS,accuracy,0.052931250000000006,0.05585063242579364,10,10,0,0.001953125
"rule=13, w=32",trm_stepDS-trm_decoupled_stepDS,exact_match,0.24620000000000003,0.06110428244675927,10,10,0,0.001953125
"rule=13, w=32",trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.13628680214818747,0.017959318802436394,10,10,0,0.001953125
"rule=13, w=32",trm_nods-ff_matched,accuracy,-0.0010874999999999856,0.01227633047496503,10,4,6,0.75390625
"rule=13, w=32",trm_nods-ff_matched,exact_match,0.13099999999999998,0.07430417963419765,10,9,1,0.021484375
"rule=13, w=32",trm_nods-ff_matched,coherence_excess,0.12551368205521302,0.021755075978620753,10,10,0,0.001953125
"rule=13, w=32",trm_nods-untied_matched,accuracy,0.07719375000000002,0.015416038838567524,10,10,0,0.001953125
"rule=13, w=32",trm_nods-untied_matched,exact_match,0.32170000000000004,0.07695893565907586,10,10,0,0.001953125
"rule=13, w=32",trm_nods-untied_matched,coherence_excess,0.16178849516092225,0.01809374966166957,10,10,0,0.001953125
"rule=13, w=32",trm_decoupled_nods-ff_matched,accuracy,-0.2603375,0.12362136078370067,10,0,10,0.001953125
"rule=13, w=32",trm_decoupled_nods-ff_matched,exact_match,-0.2399,0.022859231055406142,10,0,10,0.001953125
"rule=13, w=32",trm_decoupled_nods-ff_matched,coherence_excess,-0.07593846334775375,0.009203016861074798,10,0,10,0.001953125
"rule=13, w=32",trm_decoupled_nods-untied_matched,accuracy,-0.18205624999999998,0.12362176717489702,10,0,10,0.001953125
"rule=13, w=32",trm_decoupled_nods-untied_matched,exact_match,-0.0492,0.0099643810088178,10,0,10,0.001953125
"rule=13, w=32",trm_decoupled_nods-untied_matched,coherence_excess,-0.039663650242044504,0.008568431995920663,10,0,10,0.001953125
"rule=78, w=24",trm_nods-trm_decoupled_nods,accuracy,0.17233749999999998,0.09652662559264397,10,10,0,0.001953125
"rule=78, w=24",trm_nods-trm_decoupled_nods,exact_match,0.5487,0.052449022869830476,10,10,0,0.001953125
"rule=78, w=24",trm_nods-trm_decoupled_nods,coherence_excess,0.1350430399630126,0.03890166944834416,10,10,0,0.001953125
"rule=78, w=24",trm_stepDS-trm_decoupled_stepDS,accuracy,0.03989583333333331,0.017269371503608046,10,10,0,0.001953125
"rule=78, w=24",trm_stepDS-trm_decoupled_stepDS,exact_match,0.38039999999999996,0.10172533826163689,10,10,0,0.001953125
"rule=78, w=24",trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.09786232863245638,0.015551282455580734,10,10,0,0.001953125
"rule=78, w=24",trm_nods-ff_matched,accuracy,0.019858333333333346,0.012644705621204212,10,9,1,0.021484375
"rule=78, w=24",trm_nods-ff_matched,exact_match,0.2506,0.09630876272581733,10,10,0,0.001953125
"rule=78, w=24",trm_nods-ff_matched,coherence_excess,0.08591648626824848,0.023390542798833475,10,10,0,0.001953125
"rule=78, w=24",trm_nods-untied_matched,accuracy,0.02263333333333335,0.007774126126905655,10,10,0,0.001953125
"rule=78, w=24",trm_nods-untied_matched,exact_match,0.2204,0.04925940406550702,10,10,0,0.001953125
"rule=78, w=24",trm_nods-untied_matched,coherence_excess,0.0366381515740703,0.021833945191238054,10,9,1,0.021484375
"rule=78, w=24",trm_decoupled_nods-ff_matched,accuracy,-0.15247916666666664,0.09201599525890948,10,0,10,0.001953125
"rule=78, w=24",trm_decoupled_nods-ff_matched,exact_match,-0.2981,0.0714663090787074,10,0,10,0.001953125
"rule=78, w=24",trm_decoupled_nods-ff_matched,coherence_excess,-0.04912655369476411,0.027646440326487838,10,0,10,0.001953125
"rule=78, w=24",trm_decoupled_nods-untied_matched,accuracy,-0.14970416666666667,0.09991592231289166,10,0,10,0.001953125
"rule=78, w=24",trm_decoupled_nods-untied_matched,exact_match,-0.3283,0.0716008224657914,10,0,10,0.001953125
"rule=78, w=24",trm_decoupled_nods-untied_matched,coherence_excess,-0.09840488838894228,0.03909573612297394,10,0,10,0.001953125
"rule=78, w=32",trm_nods-trm_decoupled_nods,accuracy,0.17637812500000002,0.08439634818663412,10,10,0,0.001953125
"rule=78, w=32",trm_nods-trm_decoupled_nods,exact_match,0.3114,0.05655321977276507,10,10,0,0.001953125
"rule=78, w=32",trm_nods-trm_decoupled_nods,coherence_excess,0.15882612678948885,0.023308109990112885,10,10,0,0.001953125
"rule=78, w=32",trm_stepDS-trm_decoupled_stepDS,accuracy,0.05001874999999999,0.03369873034823915,10,10,0,0.001953125
"rule=78, w=32",trm_stepDS-trm_decoupled_stepDS,exact_match,0.2057,0.06084963251966093,10,10,0,0.001953125
"rule=78, w=32",trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.11214817927092406,0.01831082117891084,10,10,0,0.001953125
"rule=78, w=32",trm_nods-ff_matched,accuracy,0.002706249999999999,0.009805876214461077,10,6,4,0.75390625
"rule=78, w=32",trm_nods-ff_matched,exact_match,0.11789999999999998,0.04890001136105298,10,10,0,0.001953125
