config,arm,metric,mean,std,n_params
"rule=13, w=24",baseline,accuracy,0.5621124999999999,0.000947920482287808,0
"rule=13, w=24",trm_nods,accuracy,0.8872416666666666,0.004140790018258426,6288
"rule=13, w=24",trm_nods,train_accuracy,0.8928437500000002,0.0033837014885903824,6288
"rule=13, w=24",trm_nods,exact_match,0.1204,0.012545030003064072,6288
"rule=13, w=24",trm_nods,coherence_excess,0.0634643082271856,0.01214386087720228,6288
"rule=13, w=24",trm_nods,mean_wrong_per_row,2.7062,0.09937896043820234,6288
"rule=13, w=24",trm_decoupled_nods,accuracy,0.8251,0.02042498130014105,6366
"rule=13, w=24",trm_decoupled_nods,train_accuracy,0.8298197916666666,0.020037650259028962,6366
"rule=13, w=24",trm_decoupled_nods,exact_match,0.0412,0.012081206709412581,6366
"rule=13, w=24",trm_decoupled_nods,coherence_excess,0.02985108636071296,0.007466914490790274,6366
"rule=13, w=24",trm_decoupled_nods,mean_wrong_per_row,4.1975999999999996,0.49019955120338493,6366
"rule=13, w=24",trm_stepDS,accuracy,0.892225,0.006284172013975627,6288
"rule=13, w=24",trm_stepDS,train_accuracy,0.8968739583333335,0.005253270150149097,6288
"rule=13, w=24",trm_stepDS,exact_match,0.1295,0.018476712069220785,6288
"rule=13, w=24",trm_stepDS,coherence_excess,0.0639202063019714,0.009097270651577812,6288
"rule=13, w=24",trm_stepDS,mean_wrong_per_row,2.5866,0.1508201283354152,6288
"rule=13, w=24",trm_decoupled_stepDS,accuracy,0.8584833333333333,0.014381972275846248,6366
"rule=13, w=24",trm_decoupled_stepDS,train_accuracy,0.86319375,0.012157377304199567,6366
"rule=13, w=24",trm_decoupled_stepDS,exact_match,0.0672,0.012200182148002727,6366
"rule=13, w=24",trm_decoupled_stepDS,coherence_excess,0.040029401841343445,0.006105067776949814,6366
"rule=13, w=24",trm_decoupled_stepDS,mean_wrong_per_row,3.3964,0.3451673346203097,6366
"rule=13, w=24",ff_matched,accuracy,0.9084708333333333,0.005933792702254874,6288
"rule=13, w=24",ff_matched,train_accuracy,0.9128947916666666,0.006732910984559577,6288
"rule=13, w=24",ff_matched,exact_match,0.1588,0.023915592310364293,6288
"rule=13, w=24",ff_matched,coherence_excess,0.05786154103024791,0.012831464870978132,6288
"rule=13, w=24",ff_matched,mean_wrong_per_row,2.1967000000000003,0.14241102485411727,6288
"rule=13, w=24",untied_matched,accuracy,0.7926041666666666,0.011121492545994779,6343
"rule=13, w=24",untied_matched,train_accuracy,0.7948875,0.010004651213835196,6343
"rule=13, w=24",untied_matched,exact_match,0.055500000000000015,0.010036046144883064,6343
"rule=13, w=24",untied_matched,coherence_excess,0.0515560489327324,0.009319680018263147,6343
"rule=13, w=24",untied_matched,mean_wrong_per_row,4.9775,0.26691582110387446,6343
"rule=13, w=32",baseline,accuracy,0.562090625,0.000690720047506784,0
"rule=13, w=32",trm_nods,accuracy,0.871209375,0.0046914809484408515,7584
"rule=13, w=32",trm_nods,train_accuracy,0.8759953125,0.003231828959657241,7584
"rule=13, w=32",trm_nods,exact_match,0.04329999999999999,0.008731170215574388,7584
"rule=13, w=32",trm_nods,coherence_excess,0.031008123276796074,0.007513042396873584,7584
"rule=13, w=32",trm_nods,mean_wrong_per_row,4.1213,0.1501273903501067,7584
"rule=13, w=32",trm_decoupled_nods,accuracy,0.7659374999999999,0.050928995540905346,7562
"rule=13, w=32",trm_decoupled_nods,train_accuracy,0.7707132812499999,0.04986786373693966,7562
"rule=13, w=32",trm_decoupled_nods,exact_match,0.007000000000000001,0.007512951779723097,7562
"rule=13, w=32",trm_decoupled_nods,coherence_excess,0.00639299773272981,0.006726891083894791,7562
"rule=13, w=32",trm_decoupled_nods,mean_wrong_per_row,7.49,1.6297278573089706,7562
"rule=13, w=32",trm_stepDS,accuracy,0.878921875,0.004013682382471377,7584
"rule=13, w=32",trm_stepDS,train_accuracy,0.88338359375,0.0037632622291373305,7584
"rule=13, w=32",trm_stepDS,exact_match,0.0447,0.0065667512684905475,7584
