config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
"rule=13, w=24",trm_nods-trm_decoupled_nods,accuracy,0.062141666666666664,0.018931683548361694,10,10,0,0.001953125
"rule=13, w=24",trm_nods-trm_decoupled_nods,exact_match,0.0792,0.015273797461302441,10,10,0,0.001953125
"rule=13, w=24",trm_nods-trm_decoupled_nods,coherence_excess,0.03361322186647265,0.013714468679425742,10,10,0,0.001953125
"rule=13, w=24",trm_stepDS-trm_decoupled_stepDS,accuracy,0.03374166666666667,0.013807257328603372,10,10,0,0.001953125
"rule=13, w=24",trm_stepDS-trm_decoupled_stepDS,exact_match,0.06230000000000001,0.021281447319202708,10,10,0,0.001953125
"rule=13, w=24",trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.02389080446062796,0.011497199170194448,10,9,1,0.021484375
"rule=13, w=24",trm_nods-ff_matched,accuracy,-0.021229166666666653,0.005866908993837845,10,0,10,0.001953125
"rule=13, w=24",trm_nods-ff_matched,exact_match,-0.038400000000000004,0.03092715455532385,10,1,9,0.021484375
"rule=13, w=24",trm_nods-ff_matched,coherence_excess,0.005602767196937693,0.018733716367644454,10,5,5,1.0
"rule=13, w=24",trm_nods-untied_matched,accuracy,0.09463750000000001,0.010497005929676045,10,10,0,0.001953125
"rule=13, w=24",trm_nods-untied_matched,exact_match,0.0649,0.013194695904036595,10,10,0,0.001953125
"rule=13, w=24",trm_nods-untied_matched,coherence_excess,0.011908259294453208,0.012581379389929101,10,8,2,0.109375
"rule=13, w=24",trm_decoupled_nods-ff_matched,accuracy,-0.08337083333333331,0.02049739755010771,10,0,10,0.001953125
"rule=13, w=24",trm_decoupled_nods-ff_matched,exact_match,-0.11760000000000001,0.030884012404838564,10,0,10,0.001953125
"rule=13, w=24",trm_decoupled_nods-ff_matched,coherence_excess,-0.028010454669534963,0.01904803534307964,10,0,10,0.001953125
"rule=13, w=24",trm_decoupled_nods-untied_matched,accuracy,0.03249583333333335,0.02112278049192094,10,9,1,0.021484375
"rule=13, w=24",trm_decoupled_nods-untied_matched,exact_match,-0.014300000000000002,0.014802777517149347,10,2,8,0.109375
"rule=13, w=24",trm_decoupled_nods-untied_matched,coherence_excess,-0.021704962572019443,0.011648643737765887,10,1,9,0.021484375
"rule=13, w=32",trm_nods-trm_decoupled_nods,accuracy,0.10527187499999999,0.04838715360624743,10,10,0,0.001953125
"rule=13, w=32",trm_nods-trm_decoupled_nods,exact_match,0.0363,0.012111060142604272,10,10,0,0.001953125
"rule=13, w=32",trm_nods-trm_decoupled_nods,coherence_excess,0.024615125544066262,0.010684425536319805,10,10,0,0.001953125
