config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
"rule=69, w=24",trm_nods-trm_decoupled_nods,accuracy,0.1182541666666667,0.06115929113999696,10,10,0,0.001953125
"rule=69, w=24",trm_nods-trm_decoupled_nods,exact_match,0.43620000000000003,0.07883710350392693,10,10,0,0.001953125
"rule=69, w=24",trm_nods-trm_decoupled_nods,coherence_excess,0.14288013672385294,0.030684049929192877,10,10,0,0.001953125
"rule=69, w=24",trm_stepDS-trm_decoupled_stepDS,accuracy,0.06811249999999999,0.0695308547117353,10,10,0,0.001953125
"rule=69, w=24",trm_stepDS-trm_decoupled_stepDS,exact_match,0.27769999999999995,0.09680226122244137,10,10,0,0.001953125
"rule=69, w=24",trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.10400987757506526,0.0285433572537855,10,10,0,0.001953125
"rule=69, w=24",trm_nods-ff_matched,accuracy,0.013908333333333345,0.009764566516710255,10,9,1,0.021484375
"rule=69, w=24",trm_nods-ff_matched,exact_match,0.1916,0.07780488416545583,10,10,0,0.001953125
"rule=69, w=24",trm_nods-ff_matched,coherence_excess,0.09497991270412398,0.023632481499945245,10,10,0,0.001953125
"rule=69, w=24",trm_nods-untied_matched,accuracy,0.09391249999999998,0.009400909669997735,10,10,0,0.001953125
"rule=69, w=24",trm_nods-untied_matched,exact_match,0.39880000000000004,0.07012021423558576,10,10,0,0.001953125
"rule=69, w=24",trm_nods-untied_matched,coherence_excess,0.10813231076121381,0.016833196578365312,10,10,0,0.001953125
"rule=69, w=24",trm_decoupled_nods-ff_matched,accuracy,-0.10434583333333333,0.05661115217123141,10,0,10,0.001953125
"rule=69, w=24",trm_decoupled_nods-ff_matched,exact_match,-0.24459999999999998,0.02987827155494626,10,0,10,0.001953125
"rule=69, w=24",trm_decoupled_nods-ff_matched,coherence_excess,-0.04790022401972892,0.019755939006566497,10,0,10,0.001953125
"rule=69, w=24",trm_decoupled_nods-untied_matched,accuracy,-0.024341666666666695,0.05941351350004266,10,4,6,0.75390625
"rule=69, w=24",trm_decoupled_nods-untied_matched,exact_match,-0.0374,0.03470894857397889,10,0,10,0.001953125
"rule=69, w=24",trm_decoupled_nods-untied_matched,coherence_excess,-0.0347478259626391,0.021716054618000136,10,0,10,0.001953125
"rule=69, w=32",trm_nods-trm_decoupled_nods,accuracy,0.080059375,0.03121581619931767,10,10,0,0.001953125
"rule=69, w=32",trm_nods-trm_decoupled_nods,exact_match,0.0765,0.027669678550917624,10,10,0,0.001953125
"rule=69, w=32",trm_nods-trm_decoupled_nods,coherence_excess,0.04492551644192013,0.018085436799959855,10,10,0,0.001953125
"rule=69, w=32",trm_stepDS-trm_decoupled_stepDS,accuracy,0.04991875,0.022285562832557976,10,10,0,0.001953125
"rule=69, w=32",trm_stepDS-trm_decoupled_stepDS,exact_match,0.07809999999999999,0.021845162190084817,10,10,0,0.001953125
"rule=69, w=32",trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.04239330844093039,0.014563878429118547,10,10,0,0.001953125
"rule=69, w=32",trm_nods-ff_matched,accuracy,-0.015106249999999998,0.006789544658271796,10,0,10,0.001953125
"rule=69, w=32",trm_nods-ff_matched,exact_match,-0.011600000000000004,0.02835959567177689,10,3,6,0.5078125
"rule=69, w=32",trm_nods-ff_matched,coherence_excess,0.0110072014960546,0.019861255828122617,10,6,4,0.75390625
"rule=69, w=32",trm_nods-untied_matched,accuracy,0.06743124999999997,0.00917682675577762,10,10,0,0.001953125
"rule=69, w=32",trm_nods-untied_matched,exact_match,0.0586,0.025522103709878185,10,10,0,0.001953125
"rule=69, w=32",trm_nods-untied_matched,coherence_excess,0.02725503979442932,0.01723920720737568,10,10,0,0.001953125
"rule=69, w=32",trm_decoupled_nods-ff_matched,accuracy,-0.095165625,0.028813757994048325,10,0,10,0.001953125
"rule=69, w=32",trm_decoupled_nods-ff_matched,exact_match,-0.08809999999999998,0.011474125481079397,10,0,10,0.001953125
"rule=69, w=32",trm_decoupled_nods-ff_matched,coherence_excess,-0.03391831494586554,0.00956511708541943,10,0,10,0.001953125
"rule=69, w=32",trm_decoupled_nods-untied_matched,accuracy,-0.012628125000000023,0.03039176866956878,10,4,6,0.75390625
"rule=69, w=32",trm_decoupled_nods-untied_matched,exact_match,-0.017900000000000003,0.010928555866780081,10,0,10,0.001953125
"rule=69, w=32",trm_decoupled_nods-untied_matched,coherence_excess,-0.017670476647490812,0.00980658546110665,10,0,10,0.001953125
"rule=79, w=24",trm_nods-trm_decoupled_nods,accuracy,0.09745833333333331,0.031419840934049745,10,10,0,0.001953125
"rule=79, w=24",trm_nods-trm_decoupled_nods,exact_match,0.4391999999999999,0.06624164517549028,10,10,0,0.001953125
"rule=79, w=24",trm_nods-trm_decoupled_nods,coherence_excess,0.1481097238715237,0.022759674178698817,10,10,0,0.001953125
"rule=79, w=24",trm_stepDS-trm_decoupled_stepDS,accuracy,0.09276666666666666,0.12485175190482392,10,10,0,0.001953125
"rule=79, w=24",trm_stepDS-trm_decoupled_stepDS,exact_match,0.33740000000000003,0.10714704330446496,10,10,0,0.001953125
"rule=79, w=24",trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.13064190881322302,0.033859977203017984,10,10,0,0.001953125
"rule=79, w=24",trm_nods-ff_matched,accuracy,0.008083333333333331,0.006462200156618314,10,9,1,0.021484375
"rule=79, w=24",trm_nods-ff_matched,exact_match,0.17010000000000003,0.05460657266096982,10,10,0,0.001953125
"rule=79, w=24",trm_nods-ff_matched,coherence_excess,0.10533657074232175,0.015375579448979897,10,10,0,0.001953125
"rule=79, w=24",trm_nods-untied_matched,accuracy,0.09387083333333332,0.010729280384151036,10,10,0,0.001953125
"rule=79, w=24",trm_nods-untied_matched,exact_match,0.4143,0.07455356016538267,10,10,0,0.001953125
"rule=79, w=24",trm_nods-untied_matched,coherence_excess,0.12030112949171672,0.018093948285067288,10,10,0,0.001953125
"rule=79, w=24",trm_decoupled_nods-ff_matched,accuracy,-0.08937499999999998,0.03363024019473479,10,0,10,0.001953125
"rule=79, w=24",trm_decoupled_nods-ff_matched,exact_match,-0.2691,0.039756061732073564,10,0,10,0.001953125
"rule=79, w=24",trm_decoupled_nods-ff_matched,coherence_excess,-0.04277315312920196,0.020218253126302512,10,0,10,0.001953125
"rule=79, w=24",trm_decoupled_nods-untied_matched,accuracy,-0.003587499999999988,0.03656791441918905,10,7,3,0.34375
"rule=79, w=24",trm_decoupled_nods-untied_matched,exact_match,-0.0249,0.03426514263796373,10,1,9,0.021484375
"rule=79, w=24",trm_decoupled_nods-untied_matched,coherence_excess,-0.027808594379806983,0.02234176189897581,10,1,9,0.021484375
"rule=79, w=32",trm_nods-trm_decoupled_nods,accuracy,0.06881562499999999,0.017752606726137914,10,10,0,0.001953125
"rule=79, w=32",trm_nods-trm_decoupled_nods,exact_match,0.0868,0.025887792060694904,10,10,0,0.001953125
"rule=79, w=32",trm_nods-trm_decoupled_nods,coherence_excess,0.0514068270681449,0.01513943212127583,10,10,0,0.001953125
"rule=79, w=32",trm_stepDS-trm_decoupled_stepDS,accuracy,0.03258437500000002,0.010986349741491097,10,10,0,0.001953125
"rule=79, w=32",trm_stepDS-trm_decoupled_stepDS,exact_match,0.07390000000000001,0.02222336108192858,10,10,0,0.001953125
"rule=79, w=32",trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.04473752755320255,0.015159642011979014,10,10,0,0.001953125
"rule=79, w=32",trm_nods-ff_matched,accuracy,-0.014318750000000014,0.006965671031326906,10,0,10,0.001953125
"rule=79, w=32",trm_nods-ff_matched,exact_match,-0.010199999999999997,0.026782249511362727,10,1,9,0.021484375
"rule=79, w=32",trm_nods-ff_matched,coherence_excess,0.013761221466405122,0.016598566104987552,10,9,1,0.021484375
"rule=79, w=32",trm_nods-untied_matched,accuracy,0.06728749999999999,0.00691500042680968,10,10,0,0.001953125
"rule=79, w=32",trm_nods-untied_matched,exact_match,0.0671,0.028427099746544674,10,10,0,0.001953125
"rule=79, w=32",trm_nods-untied_matched,coherence_excess,0.031247396680885626,0.018028323582100648,10,10,0,0.001953125
"rule=79, w=32",trm_decoupled_nods-ff_matched,accuracy,-0.08313437500000001,0.018936400144537194,10,0,10,0.001953125
"rule=79, w=32",trm_decoupled_nods-ff_matched,exact_match,-0.097,0.014047538337136976,10,0,10,0.001953125
"rule=79, w=32",trm_decoupled_nods-ff_matched,coherence_excess,-0.03764560560173978,0.009600620406711393,10,0,10,0.001953125
"rule=79, w=32",trm_decoupled_nods-untied_matched,accuracy,-0.0015281250000000024,0.021700091655672417,10,5,5,1.0
"rule=79, w=32",trm_decoupled_nods-untied_matched,exact_match,-0.019700000000000002,0.010822302075908907,10,0,10,0.001953125
"rule=79, w=32",trm_decoupled_nods-untied_matched,coherence_excess,-0.02015943038725928,0.00890425451134076,10,0,10,0.001953125
"rule=93, w=24",trm_nods-trm_decoupled_nods,accuracy,0.09521249999999996,0.03570254690788706,10,10,0,0.001953125
"rule=93, w=24",trm_nods-trm_decoupled_nods,exact_match,0.4454000000000001,0.11738180816842485,10,10,0,0.001953125
"rule=93, w=24",trm_nods-trm_decoupled_nods,coherence_excess,0.13354563463693092,0.028875946396699735,10,10,0,0.001953125
"rule=93, w=24",trm_stepDS-trm_decoupled_stepDS,accuracy,0.04270833333333335,0.03060536974792837,10,10,0,0.001953125
"rule=93, w=24",trm_stepDS-trm_decoupled_stepDS,exact_match,0.2799,0.0542554656744881,10,10,0,0.001953125
"rule=93, w=24",trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.11410198962789589,0.026116152391975164,10,10,0,0.001953125
"rule=93, w=24",trm_nods-ff_matched,accuracy,0.01080416666666666,0.01298277660694837,10,7,3,0.34375
"rule=93, w=24",trm_nods-ff_matched,exact_match,0.1899,0.10564663322184531,10,10,0,0.001953125
"rule=93, w=24",trm_nods-ff_matched,coherence_excess,0.09545698814910761,0.025688674032780124,10,10,0,0.001953125
"rule=93, w=24",trm_nods-untied_matched,accuracy,0.09882499999999998,0.014696830829119364,10,10,0,0.001953125
"rule=93, w=24",trm_nods-untied_matched,exact_match,0.41570000000000007,0.10693824801673575,10,10,0,0.001953125
"rule=93, w=24",trm_nods-untied_matched,coherence_excess,0.09541396677376805,0.028137325078066874,10,10,0,0.001953125
"rule=93, w=24",trm_decoupled_nods-ff_matched,accuracy,-0.08440833333333331,0.028969570827863795,10,0,10,0.001953125
"rule=93, w=24",trm_decoupled_nods-ff_matched,exact_match,-0.2555,0.021397040293772734,10,0,10,0.001953125
"rule=93, w=24",trm_decoupled_nods-ff_matched,coherence_excess,-0.03808864648782331,0.01728386374350958,10,0,10,0.001953125
"rule=93, w=24",trm_decoupled_nods-untied_matched,accuracy,0.0036125000000000185,0.02830294564622358,10,8,2,0.109375
"rule=93, w=24",trm_decoupled_nods-untied_matched,exact_match,-0.029700000000000004,0.022226360725748857,10,0,10,0.001953125
"rule=93, w=24",trm_decoupled_nods-untied_matched,coherence_excess,-0.03813166786316288,0.01553099426823036,10,0,10,0.001953125
"rule=93, w=32",trm_nods-trm_decoupled_nods,accuracy,0.06567812500000002,0.03415570533646242,10,10,0,0.001953125
"rule=93, w=32",trm_nods-trm_decoupled_nods,exact_match,0.0758,0.02815749357532457,10,10,0,0.001953125
"rule=93, w=32",trm_nods-trm_decoupled_nods,coherence_excess,0.042850835221074454,0.016970616657407765,10,10,0,0.001953125
"rule=93, w=32",trm_stepDS-trm_decoupled_stepDS,accuracy,0.055725000000000004,0.04226207862766045,10,10,0,0.001953125
"rule=93, w=32",trm_stepDS-trm_decoupled_stepDS,exact_match,0.0633,0.020515847533065748,10,10,0,0.001953125
"rule=93, w=32",trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.03438095918070136,0.013116046243733649,10,10,0,0.001953125
"rule=93, w=32",trm_nods-ff_matched,accuracy,-0.01554687499999997,0.008439059140924875,10,0,10,0.001953125
"rule=93, w=32",trm_nods-ff_matched,exact_match,-0.010499999999999997,0.029594481467552922,10,4,6,0.75390625
"rule=93, w=32",trm_nods-ff_matched,coherence_excess,0.013817946603289003,0.019224551995746998,10,7,3,0.34375
"rule=93, w=32",trm_nods-untied_matched,accuracy,0.06842187500000001,0.00839893772735082,10,10,0,0.001953125
"rule=93, w=32",trm_nods-untied_matched,exact_match,0.0625,0.031816313076435766,10,10,0,0.001953125
"rule=93, w=32",trm_nods-untied_matched,coherence_excess,0.027677438404653244,0.02051153842036483,10,9,1,0.021484375
"rule=93, w=32",trm_decoupled_nods-ff_matched,accuracy,-0.08122499999999999,0.036690450974447446,10,0,10,0.001953125
"rule=93, w=32",trm_decoupled_nods-ff_matched,exact_match,-0.08629999999999999,0.013532265967760984,10,0,10,0.001953125
"rule=93, w=32",trm_decoupled_nods-ff_matched,coherence_excess,-0.02903288861778545,0.011255799718920437,10,0,10,0.001953125
"rule=93, w=32",trm_decoupled_nods-untied_matched,accuracy,0.0027437499999999893,0.036497201899978245,10,7,3,0.34375
"rule=93, w=32",trm_decoupled_nods-untied_matched,exact_match,-0.013299999999999998,0.014847745807211125,10,2,8,0.109375
"rule=93, w=32",trm_decoupled_nods-untied_matched,coherence_excess,-0.015173396816421214,0.013032732705224832,10,1,9,0.021484375
"rule=141, w=24",trm_nods-trm_decoupled_nods,accuracy,0.07639999999999998,0.01369471489478269,10,10,0,0.001953125
"rule=141, w=24",trm_nods-trm_decoupled_nods,exact_match,0.35269999999999996,0.08929980714176014,10,10,0,0.001953125
"rule=141, w=24",trm_nods-trm_decoupled_nods,coherence_excess,0.11709171407184411,0.02062674999332493,10,10,0,0.001953125
"rule=141, w=24",trm_stepDS-trm_decoupled_stepDS,accuracy,0.06587916666666666,0.033191401824758646,10,10,0,0.001953125
"rule=141, w=24",trm_stepDS-trm_decoupled_stepDS,exact_match,0.3439000000000001,0.05712257775073607,10,10,0,0.001953125
"rule=141, w=24",trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.12734526456741377,0.023825337320041322,10,10,0,0.001953125
