config,arm,metric,mean,std,n_params
w=24,baseline,accuracy,0.5022333333333333,0.001418462913521912,0
w=24,trm_nods,accuracy,0.9117374999999999,0.007980663601001208,16624
w=24,trm_nods,train_accuracy,0.9206031250000001,0.007078658673296799,16624
w=24,trm_nods,exact_match,0.1928,0.040987260893545395,16624
w=24,trm_nods,coherence_excess,0.08187203907925371,0.04069790216737335,16624
w=24,trm_nods,mean_wrong_per_row,2.1183,0.19153592642402922,16624
w=24,trm_decoupled_nods,accuracy,0.8984958333333333,0.01773981895898408,16634
w=24,trm_decoupled_nods,train_accuracy,0.9045291666666667,0.01863376057533777,16634
w=24,trm_decoupled_nods,exact_match,0.1485,0.047380844699566556,16634
w=24,trm_decoupled_nods,coherence_excess,0.06559143916494593,0.03577719001279691,16634
w=24,trm_decoupled_nods,mean_wrong_per_row,2.4361,0.4257556550156178,16634
w=24,trm_stepDS,accuracy,0.9199208333333335,0.009241517841035251,16624
w=24,trm_stepDS,train_accuracy,0.9282760416666666,0.007974093085865771,16624
w=24,trm_stepDS,exact_match,0.2243,0.03567460970743447,16624
w=24,trm_stepDS,coherence_excess,0.08621504640825192,0.03962434768981675,16624
w=24,trm_stepDS,mean_wrong_per_row,1.9219000000000002,0.22179642818484596,16624
w=24,trm_decoupled_stepDS,accuracy,0.9173,0.008588159376809531,16634
w=24,trm_decoupled_stepDS,train_accuracy,0.9251041666666667,0.007164262287778561,16634
w=24,trm_decoupled_stepDS,exact_match,0.19940000000000002,0.022197096907278464,16634
w=24,trm_decoupled_stepDS,coherence_excess,0.07061486703598788,0.026723351244385966,16634
w=24,trm_decoupled_stepDS,mean_wrong_per_row,1.9848000000000003,0.20611582504342882,16634
w=24,ff_matched,accuracy,0.9296041666666666,0.0090087887900074,16592
w=24,ff_matched,train_accuracy,0.9340343750000001,0.008974995338666733,16592
w=24,ff_matched,exact_match,0.2562,0.032075605129824825,16592
w=24,ff_matched,coherence_excess,0.0785633512421188,0.029493988611783394,16592
w=24,ff_matched,mean_wrong_per_row,1.6895,0.21621093096017757,16592
w=24,untied_matched,accuracy,0.8841624999999999,0.008905939592814669,17033
w=24,untied_matched,train_accuracy,0.8876395833333334,0.008651234089605263,17033
w=24,untied_matched,exact_match,0.11299999999999999,0.05260122516528383,17033
w=24,untied_matched,coherence_excess,0.05958421369322949,0.044689651014633035,17033
w=24,untied_matched,mean_wrong_per_row,2.7801,0.21374255022755245,17033
w=32,baseline,accuracy,0.50155625,0.0011692493734110818,0
w=32,trm_nods,accuracy,0.9029999999999999,0.005302298211100954,19200
w=32,trm_nods,train_accuracy,0.913171875,0.004879206307215136,19200
w=32,trm_nods,exact_match,0.11560000000000001,0.03562832830456374,19200
w=32,trm_nods,coherence_excess,0.0768469476678496,0.0340300697303168,19200
w=32,trm_nods,mean_wrong_per_row,3.104,0.16967354275523075,19200
w=32,trm_decoupled_nods,accuracy,0.89509375,0.013634417935157902,19042
w=32,trm_decoupled_nods,train_accuracy,0.9021195312500001,0.012224807154567432,19042
w=32,trm_decoupled_nods,exact_match,0.08229999999999998,0.035854799771671664,19042
w=32,trm_decoupled_nods,coherence_excess,0.05093124117661764,0.03476780065133197,19042
w=32,trm_decoupled_nods,mean_wrong_per_row,3.357,0.4363013739250529,19042
w=32,trm_stepDS,accuracy,0.9073062499999999,0.009439463555850115,19200
w=32,trm_stepDS,train_accuracy,0.9171046875,0.008659950353545238,19200
w=32,trm_stepDS,exact_match,0.121,0.03963444069100621,19200
w=32,trm_stepDS,coherence_excess,0.07449042294080399,0.03451551413056171,19200
w=32,trm_stepDS,mean_wrong_per_row,2.9661999999999997,0.30206283378720317,19200
w=32,trm_decoupled_stepDS,accuracy,0.8974531250000002,0.021936170672370348,19042
w=32,trm_decoupled_stepDS,train_accuracy,0.9069289062499999,0.02204308575951726,19042
w=32,trm_decoupled_stepDS,exact_match,0.09079999999999999,0.028310971567770522,19042
w=32,trm_decoupled_stepDS,coherence_excess,0.05397871013107195,0.024066269071207458,19042
w=32,trm_decoupled_stepDS,mean_wrong_per_row,3.2815,0.7019574615158513,19042
w=32,ff_matched,accuracy,0.9160812499999998,0.009956973407840587,19159
w=32,ff_matched,train_accuracy,0.9224429687500001,0.008347044425110355,19159
w=32,ff_matched,exact_match,0.136,0.017081503967091943,19159
w=32,ff_matched,coherence_excess,0.07235491601450875,0.01893931706001124,19159
w=32,ff_matched,mean_wrong_per_row,2.6854,0.31862314905089856,19159
w=32,untied_matched,accuracy,0.873334375,0.011912113513171983,19792
w=32,untied_matched,train_accuracy,0.87806328125,0.011675179098980559,19792
w=32,untied_matched,exact_match,0.0653,0.03907272421751237,19792
w=32,untied_matched,coherence_excess,0.05111949400853512,0.03559965402590846,19792
w=32,untied_matched,mean_wrong_per_row,4.0533,0.3811876324215032,19792
