config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
w=24,trm_nods-trm_decoupled_nods,accuracy,0.013241666666666674,0.01970519413570761,10,8,2,0.109375
w=24,trm_nods-trm_decoupled_nods,exact_match,0.0443,0.04672864931352785,10,9,1,0.021484375
w=24,trm_nods-trm_decoupled_nods,coherence_excess,0.016280599914307768,0.01662740876174251,10,8,2,0.109375
w=24,trm_stepDS-trm_decoupled_stepDS,accuracy,0.002620833333333328,0.00680726877528809,10,7,3,0.34375
w=24,trm_stepDS-trm_decoupled_stepDS,exact_match,0.024899999999999995,0.029793548891589864,10,8,2,0.109375
w=24,trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.015600179372264062,0.020849189604998285,10,6,4,0.75390625
w=24,trm_nods-ff_matched,accuracy,-0.017866666666666652,0.007903492937763885,10,0,10,0.001953125
w=24,trm_nods-ff_matched,exact_match,-0.0634,0.048529944936663134,10,0,10,0.001953125
w=24,trm_nods-ff_matched,coherence_excess,0.003308687837134912,0.01744899777824863,10,6,4,0.75390625
w=24,trm_nods-untied_matched,accuracy,0.027575000000000027,0.010179500096872254,10,10,0,0.001953125
w=24,trm_nods-untied_matched,exact_match,0.0798,0.03646246167102697,10,10,0,0.001953125
w=24,trm_nods-untied_matched,coherence_excess,0.02228782538602421,0.018564287514437554,10,9,1,0.021484375
w=24,trm_decoupled_nods-ff_matched,accuracy,-0.031108333333333328,0.01823502895155909,10,0,10,0.001953125
w=24,trm_decoupled_nods-ff_matched,exact_match,-0.10770000000000002,0.04527214007164525,10,0,10,0.001953125
w=24,trm_decoupled_nods-ff_matched,coherence_excess,-0.012971912077172854,0.011413830630016742,10,2,8,0.109375
w=24,trm_decoupled_nods-untied_matched,accuracy,0.014333333333333354,0.020191865187572114,10,9,1,0.021484375
w=24,trm_decoupled_nods-untied_matched,exact_match,0.035500000000000004,0.04460754794127709,10,9,1,0.021484375
w=24,trm_decoupled_nods-untied_matched,coherence_excess,0.006007225471716443,0.015053654815916319,10,5,5,1.0
w=32,trm_nods-trm_decoupled_nods,accuracy,0.007906250000000004,0.014761589138330894,10,7,3,0.34375
w=32,trm_nods-trm_decoupled_nods,exact_match,0.03330000000000001,0.027410662969808746,10,8,1,0.0390625
w=32,trm_nods-trm_decoupled_nods,coherence_excess,0.025915706491231965,0.018727293246437172,10,10,0,0.001953125
w=32,trm_stepDS-trm_decoupled_stepDS,accuracy,0.009853125000000008,0.01819961920818444,10,8,2,0.109375
w=32,trm_stepDS-trm_decoupled_stepDS,exact_match,0.030199999999999998,0.02946485665632497,10,8,2,0.109375
w=32,trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.02051171280973203,0.01817940057111094,10,9,1,0.021484375
w=32,trm_nods-ff_matched,accuracy,-0.013081250000000011,0.011258958624382438,10,2,8,0.109375
w=32,trm_nods-ff_matched,exact_match,-0.0204,0.04331332871581731,10,3,7,0.34375
w=32,trm_nods-ff_matched,coherence_excess,0.0044920316533408455,0.024985050757564898,10,5,5,1.0
w=32,trm_nods-untied_matched,accuracy,0.029665624999999994,0.012610312293058895,10,10,0,0.001953125
w=32,trm_nods-untied_matched,exact_match,0.0503,0.013013241119891862,10,10,0,0.001953125
w=32,trm_nods-untied_matched,coherence_excess,0.025727453659314482,0.010309085272953928,10,10,0,0.001953125
w=32,trm_decoupled_nods-ff_matched,accuracy,-0.020987500000000013,0.009371761014552655,10,0,10,0.001953125
w=32,trm_decoupled_nods-ff_matched,exact_match,-0.053700000000000005,0.039936199118093346,10,1,9,0.021484375
w=32,trm_decoupled_nods-ff_matched,coherence_excess,-0.02142367483789112,0.031170110120341578,10,1,9,0.021484375
w=32,trm_decoupled_nods-untied_matched,accuracy,0.02175937499999999,0.019117112400808316,10,9,1,0.021484375
w=32,trm_decoupled_nods-untied_matched,exact_match,0.016999999999999994,0.030258148581093918,10,8,2,0.109375
w=32,trm_decoupled_nods-untied_matched,coherence_excess,-0.0001882528319174858,0.019062974405950645,10,5,5,1.0
