config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
w=24,trm_nods-trm_decoupled_nods,accuracy,0.022820833333333335,0.028967188560805882,10,8,2,0.109375
w=24,trm_nods-trm_decoupled_nods,exact_match,0.0639,0.053587830293412284,10,9,1,0.021484375
w=24,trm_nods-trm_decoupled_nods,coherence_excess,0.02755550576704897,0.024238322006688323,10,9,1,0.021484375
w=24,trm_stepDS-trm_decoupled_stepDS,accuracy,0.00027499999999999194,0.017071565504236327,10,2,8,0.109375
w=24,trm_stepDS-trm_decoupled_stepDS,exact_match,0.011699999999999993,0.056707926155775516,10,5,5,1.0
w=24,trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.018572982668482875,0.03676829533952317,10,6,4,0.75390625
w=24,trm_nods-ff_matched,accuracy,-0.016929166666666662,0.007139538718802774,10,0,10,0.001953125
w=24,trm_nods-ff_matched,exact_match,-0.053000000000000005,0.05254416132063474,10,2,8,0.109375
w=24,trm_nods-ff_matched,coherence_excess,0.010213923129665113,0.023730782633976644,10,7,3,0.34375
w=24,trm_nods-untied_matched,accuracy,0.009845833333333342,0.006008804304241134,10,10,0,0.001953125
w=24,trm_nods-untied_matched,exact_match,0.047,0.02172044607685988,10,10,0,0.001953125
w=24,trm_nods-untied_matched,coherence_excess,0.02174706090930822,0.013693745453695491,10,10,0,0.001953125
w=24,trm_decoupled_nods-ff_matched,accuracy,-0.039749999999999994,0.028403012088139747,10,0,10,0.001953125
w=24,trm_decoupled_nods-ff_matched,exact_match,-0.11689999999999998,0.0521865244419796,10,0,10,0.001953125
w=24,trm_decoupled_nods-ff_matched,coherence_excess,-0.017341582637383855,0.01657893513539202,10,1,9,0.021484375
w=24,trm_decoupled_nods-untied_matched,accuracy,-0.012974999999999992,0.0303779700575074,10,3,7,0.34375
w=24,trm_decoupled_nods-untied_matched,exact_match,-0.0169,0.061556568383163715,10,4,6,0.75390625
w=24,trm_decoupled_nods-untied_matched,coherence_excess,-0.005808444857740744,0.0238558594887436,10,4,6,0.75390625
w=32,trm_nods-trm_decoupled_nods,accuracy,0.017575000000000018,0.04116849376006149,10,7,3,0.34375
w=32,trm_nods-trm_decoupled_nods,exact_match,0.0367,0.04238985727741956,10,9,1,0.021484375
w=32,trm_nods-trm_decoupled_nods,coherence_excess,0.03061185159930478,0.030201421994676226,10,10,0,0.001953125
w=32,trm_stepDS-trm_decoupled_stepDS,accuracy,0.001181249999999978,0.00808362596119809,10,6,4,0.75390625
w=32,trm_stepDS-trm_decoupled_stepDS,exact_match,0.0199,0.031851914297957744,10,6,4,0.75390625
w=32,trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.019262570664033446,0.027237915793138636,10,8,2,0.109375
w=32,trm_nods-ff_matched,accuracy,-0.017356249999999972,0.009203951163162976,10,0,10,0.001953125
w=32,trm_nods-ff_matched,exact_match,-0.029400000000000003,0.03045652639419013,10,1,9,0.021484375
w=32,trm_nods-ff_matched,coherence_excess,0.0009095468979772841,0.017956937030103447,10,4,6,0.75390625
w=32,trm_nods-untied_matched,accuracy,0.0020312500000000066,0.009495315913941748,10,5,5,1.0
w=32,trm_nods-untied_matched,exact_match,0.0038000000000000004,0.017775138693004774,10,6,4,0.75390625
w=32,trm_nods-untied_matched,coherence_excess,0.001783727774032958,0.016259102585881296,10,5,5,1.0
w=32,trm_decoupled_nods-ff_matched,accuracy,-0.03493124999999999,0.03520481614582174,10,0,10,0.001953125
w=32,trm_decoupled_nods-ff_matched,exact_match,-0.06610000000000002,0.024745145427380745,10,0,10,0.001953125
w=32,trm_decoupled_nods-ff_matched,coherence_excess,-0.029702304701327502,0.01866771636432412,10,0,10,0.001953125
w=32,trm_decoupled_nods-untied_matched,accuracy,-0.015543750000000012,0.04292311895266929,10,4,6,0.75390625
w=32,trm_decoupled_nods-untied_matched,exact_match,-0.0329,0.04952990118212544,10,2,8,0.109375
w=32,trm_decoupled_nods-untied_matched,coherence_excess,-0.028828123825271827,0.033447806483651955,10,1,9,0.021484375
