config,arm,metric,mean,std,n_params
"w=48, bandwidth=2",baseline,accuracy,0.5016291666666668,0.0013073200251461554,0
"w=48, bandwidth=2",trm_nods,accuracy,0.9555499999999999,0.012911289950233959,24352
"w=48, bandwidth=2",trm_nods,train_accuracy,0.9613453125,0.012626296776409798,24352
"w=48, bandwidth=2",trm_nods,exact_match,0.1622,0.09797255851626119,24352
"w=48, bandwidth=2",trm_nods,coherence_excess,0.029207563438121375,0.02569698791801051,24352
"w=48, bandwidth=2",trm_nods,mean_wrong_per_row,2.1336,0.6197419176112299,24352
"w=48, bandwidth=2",trm_decoupled_nods,accuracy,0.9080020833333332,0.02641223829937601,24254
"w=48, bandwidth=2",trm_decoupled_nods,train_accuracy,0.9147802083333334,0.026529465751270583,24254
"w=48, bandwidth=2",trm_decoupled_nods,exact_match,0.0188,0.02089550722577038,24254
"w=48, bandwidth=2",trm_decoupled_nods,coherence_excess,-0.0007762154092969896,0.0022219305685799366,24254
"w=48, bandwidth=2",trm_decoupled_nods,mean_wrong_per_row,4.4159,1.2677874383700483,24254
"w=48, bandwidth=2",trm_stepDS,accuracy,0.9772979166666668,0.01178985905036481,24352
"w=48, bandwidth=2",trm_stepDS,train_accuracy,0.9807401041666667,0.010872459961831272,24352
"w=48, bandwidth=2",trm_stepDS,exact_match,0.4008,0.16580095161233407,24352
"w=48, bandwidth=2",trm_stepDS,coherence_excess,0.025796475741732012,0.007810351086551034,24352
"w=48, bandwidth=2",trm_stepDS,mean_wrong_per_row,1.0897000000000001,0.5659132344175111,24352
"w=48, bandwidth=2",trm_decoupled_stepDS,accuracy,0.96994375,0.011909234481428353,24254
"w=48, bandwidth=2",trm_decoupled_stepDS,train_accuracy,0.9775041666666666,0.012165339192627642,24254
"w=48, bandwidth=2",trm_decoupled_stepDS,exact_match,0.30979999999999996,0.10113665123100637,24254
"w=48, bandwidth=2",trm_decoupled_stepDS,coherence_excess,0.05126917337289645,0.02455843555020204,24254
"w=48, bandwidth=2",trm_decoupled_stepDS,mean_wrong_per_row,1.4427,0.5716432551085607,24254
"w=48, bandwidth=2",ff_matched,accuracy,0.9991687500000002,0.0005903553870548713,24443
"w=48, bandwidth=2",ff_matched,train_accuracy,0.9993645833333332,0.000464934315601744,24443
"w=48, bandwidth=2",ff_matched,exact_match,0.9621000000000001,0.02610427806573729,24443
"w=48, bandwidth=2",ff_matched,coherence_excess,0.000890157354073462,0.0026324222776513344,24443
"w=48, bandwidth=2",ff_matched,mean_wrong_per_row,0.039900000000000005,0.02833705857863319,24443
"w=48, bandwidth=2",untied_matched,accuracy,0.7344395833333334,0.006044678767031795,23942
"w=48, bandwidth=2",untied_matched,train_accuracy,0.7408229166666667,0.0051532053534414585,23942
"w=48, bandwidth=2",untied_matched,exact_match,0.0,0.0,23942
"w=48, bandwidth=2",untied_matched,coherence_excess,-3.9430641427259945e-07,1.5712775973294137e-07,23942
"w=48, bandwidth=2",untied_matched,mean_wrong_per_row,12.7469,0.29014458081752587,23942
"w=48, bandwidth=4",baseline,accuracy,0.5013645833333333,0.001093182171827946,0
"w=48, bandwidth=4",trm_nods,accuracy,0.9238708333333333,0.007989442541856673,24352
"w=48, bandwidth=4",trm_nods,train_accuracy,0.9310989583333334,0.007342545294541388,24352
"w=48, bandwidth=4",trm_nods,exact_match,0.0378,0.014979986648859205,24352
"w=48, bandwidth=4",trm_nods,coherence_excess,0.013631066998973169,0.006477447332569409,24352
"w=48, bandwidth=4",trm_nods,mean_wrong_per_row,3.6542000000000003,0.3834932420091216,24352
"w=48, bandwidth=4",trm_decoupled_nods,accuracy,0.8715958333333333,0.017935799968908313,24254
"w=48, bandwidth=4",trm_decoupled_nods,train_accuracy,0.8803192708333333,0.018031227776226205,24254
"w=48, bandwidth=4",trm_decoupled_nods,exact_match,0.004399999999999999,0.003687817782917155,24254
"w=48, bandwidth=4",trm_decoupled_nods,coherence_excess,0.0024309636243966554,0.0025525872367473538,24254
"w=48, bandwidth=4",trm_decoupled_nods,mean_wrong_per_row,6.1634,0.8609183985075989,24254
"w=48, bandwidth=4",trm_stepDS,accuracy,0.9413145833333333,0.006631253236231045,24352
"w=48, bandwidth=4",trm_stepDS,train_accuracy,0.9482588541666667,0.006519340203897556,24352
"w=48, bandwidth=4",trm_stepDS,exact_match,0.07160000000000001,0.02053290042833696,24352
"w=48, bandwidth=4",trm_stepDS,coherence_excess,0.014044712492171606,0.0049339457540819864,24352
"w=48, bandwidth=4",trm_stepDS,mean_wrong_per_row,2.8169,0.31830015533909006,24352
"w=48, bandwidth=4",trm_decoupled_stepDS,accuracy,0.9227104166666665,0.011609252118926649,24254
"w=48, bandwidth=4",trm_decoupled_stepDS,train_accuracy,0.9341869791666666,0.014111932888449074,24254
"w=48, bandwidth=4",trm_decoupled_stepDS,exact_match,0.0419,0.016010066277883494,24254
"w=48, bandwidth=4",trm_decoupled_stepDS,coherence_excess,0.017728715786136977,0.007666580808235316,24254
"w=48, bandwidth=4",trm_decoupled_stepDS,mean_wrong_per_row,3.7099,0.5572441017084782,24254
"w=48, bandwidth=4",ff_matched,accuracy,0.9678583333333333,0.007335008752214389,24443
"w=48, bandwidth=4",ff_matched,train_accuracy,0.9732468749999998,0.0071182317898237256,24443
"w=48, bandwidth=4",ff_matched,exact_match,0.2481,0.07090282865380698,24443
"w=48, bandwidth=4",ff_matched,coherence_excess,0.027513447524295687,0.010954223931082757,24443
"w=48, bandwidth=4",ff_matched,mean_wrong_per_row,1.5428000000000002,0.3520804201062908,24443
"w=48, bandwidth=4",untied_matched,accuracy,0.7748604166666667,0.009494470501313317,23942
