config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
"w=48, bandwidth=2",trm_nods-trm_decoupled_nods,accuracy,0.047547916666666655,0.03704364039079824,10,9,1,0.021484375
"w=48, bandwidth=2",trm_nods-trm_decoupled_nods,exact_match,0.14340000000000003,0.11092660235989882,10,9,1,0.021484375
"w=48, bandwidth=2",trm_nods-trm_decoupled_nods,coherence_excess,0.029983778847418367,0.025291895807625392,10,10,0,0.001953125
"w=48, bandwidth=2",trm_stepDS-trm_decoupled_stepDS,accuracy,0.007354166666666673,0.01618809433343369,10,8,2,0.109375
"w=48, bandwidth=2",trm_stepDS-trm_decoupled_stepDS,exact_match,0.09100000000000001,0.15185812091847076,10,8,2,0.109375
"w=48, bandwidth=2",trm_stepDS-trm_decoupled_stepDS,coherence_excess,-0.025472697631164432,0.0244516383877559,10,1,9,0.021484375
"w=48, bandwidth=2",trm_nods-ff_matched,accuracy,-0.04361875,0.012763125846192262,10,0,10,0.001953125
"w=48, bandwidth=2",trm_nods-ff_matched,exact_match,-0.7998999999999999,0.09690367496757912,10,0,10,0.001953125
"w=48, bandwidth=2",trm_nods-ff_matched,coherence_excess,0.028317406084047914,0.02661888839884797,10,10,0,0.001953125
"w=48, bandwidth=2",trm_nods-untied_matched,accuracy,0.22111041666666664,0.01579875930943922,10,10,0,0.001953125
"w=48, bandwidth=2",trm_nods-untied_matched,exact_match,0.1622,0.09797255851626119,10,10,0,0.001953125
"w=48, bandwidth=2",trm_nods-untied_matched,coherence_excess,0.02920795774453565,0.02569693904212088,10,10,0,0.001953125
"w=48, bandwidth=2",trm_decoupled_nods-ff_matched,accuracy,-0.09116666666666665,0.02646815033683099,10,0,10,0.001953125
"w=48, bandwidth=2",trm_decoupled_nods-ff_matched,exact_match,-0.9433,0.03312954371352958,10,0,10,0.001953125
"w=48, bandwidth=2",trm_decoupled_nods-ff_matched,coherence_excess,-0.0016663727633704517,0.0037477032235229747,10,3,7,0.34375
"w=48, bandwidth=2",trm_decoupled_nods-untied_matched,accuracy,0.17356249999999998,0.024841859010648518,10,10,0,0.001953125
"w=48, bandwidth=2",trm_decoupled_nods-untied_matched,exact_match,0.0188,0.02089550722577038,10,9,0,0.00390625
"w=48, bandwidth=2",trm_decoupled_nods-untied_matched,coherence_excess,-0.0007758211028827169,0.0022219585551983335,10,2,8,0.109375
"w=48, bandwidth=4",trm_nods-trm_decoupled_nods,accuracy,0.052275000000000016,0.01811678134227226,10,10,0,0.001953125
"w=48, bandwidth=4",trm_nods-trm_decoupled_nods,exact_match,0.0334,0.014863826335548102,10,10,0,0.001953125
"w=48, bandwidth=4",trm_nods-trm_decoupled_nods,coherence_excess,0.01120010337457651,0.0071029794014198094,10,9,1,0.021484375
"w=48, bandwidth=4",trm_stepDS-trm_decoupled_stepDS,accuracy,0.01860416666666669,0.01513749675046606,10,10,0,0.001953125
"w=48, bandwidth=4",trm_stepDS-trm_decoupled_stepDS,exact_match,0.029700000000000004,0.026030110769389107,10,9,1,0.021484375
"w=48, bandwidth=4",trm_stepDS-trm_decoupled_stepDS,coherence_excess,-0.003684003293965371,0.00682646845918779,10,3,7,0.34375
"w=48, bandwidth=4",trm_nods-ff_matched,accuracy,-0.04398749999999998,0.008917084188909439,10,0,10,0.001953125
