config,arm,n_params,ref_params,ratio,role,within_tol
"w=48, bandwidth=2",trm_nods,24352,24352,1.0000,reference,True
"w=48, bandwidth=2",trm_decoupled_nods,24254,24352,0.9960,matched,True
"w=48, bandwidth=2",trm_stepDS,24352,24352,1.0000,matched,True
"w=48, bandwidth=2",trm_decoupled_stepDS,24254,24352,0.9960,matched,True
"w=48, bandwidth=2",ff_matched,24443,24352,1.0037,matched,True
"w=48, bandwidth=2",untied_matched,23942,24352,0.9832,matched,True
"w=48, bandwidth=4",trm_nods,24352,24352,1.0000,reference,True
"w=48, bandwidth=4",trm_decoupled_nods,24254,24352,0.9960,matched,True
"w=48, bandwidth=4",trm_stepDS,24352,24352,1.0000,matched,True
"w=48, bandwidth=4",trm_decoupled_stepDS,24254,24352,0.9960,matched,True
"w=48, bandwidth=4",ff_matched,24443,24352,1.0037,matched,True
"w=48, bandwidth=4",untied_matched,23942,24352,0.9832,matched,True
"w=48, bandwidth=8",trm_nods,24352,24352,1.0000,reference,True
"w=48, bandwidth=8",trm_decoupled_nods,24254,24352,0.9960,matched,True
"w=48, bandwidth=8",trm_stepDS,24352,24352,1.0000,matched,True
"w=48, bandwidth=8",trm_decoupled_stepDS,24254,24352,0.9960,matched,True
"w=48, bandwidth=8",ff_matched,24443,24352,1.0037,matched,True
"w=48, bandwidth=8",untied_matched,23942,24352,0.9832,matched,True
