config,arm,metric,mean,std,n_params
"w=48, bandwidth=2",baseline,accuracy,0.5017916666666667,0.001768135199393219,0
"w=48, bandwidth=2",ff_matched,accuracy,0.9993055555555556,0.0005819676473762359,24443
"w=48, bandwidth=2",ff_matched,train_accuracy,0.999454861111111,0.00029830309534065625,24443
"w=48, bandwidth=2",ff_matched,exact_match,0.9673333333333333,0.027392213005402368,24443
"w=48, bandwidth=2",ff_matched,coherence_excess,-0.00011890652985746542,0.00045171450274286164,24443
"w=48, bandwidth=2",ff_matched,mean_wrong_per_row,0.03333333333333333,0.027934447074057747,24443
"w=48, bandwidth=2",trm_nods,accuracy,0.9597986111111112,0.003018845131159583,24352
"w=48, bandwidth=2",trm_nods,train_accuracy,0.9654895833333335,0.0030071123373387443,24352
"w=48, bandwidth=2",trm_nods,exact_match,0.16666666666666666,0.03354598833442433,24352
"w=48, bandwidth=2",trm_nods,coherence_excess,0.026113510679398988,0.016358002175468758,24352
"w=48, bandwidth=2",trm_nods,mean_wrong_per_row,1.9296666666666666,0.14490456629566018,24352
"w=48, bandwidth=2",untied_matched,accuracy,0.7341458333333334,0.0027424929099473007,23942
"w=48, bandwidth=2",untied_matched,train_accuracy,0.7405260416666666,0.003511957964059314,23942
"w=48, bandwidth=2",untied_matched,exact_match,0.0,0.0,23942
"w=48, bandwidth=2",untied_matched,coherence_excess,-3.6496087308409613e-07,6.835720893846918e-08,23942
"w=48, bandwidth=2",untied_matched,mean_wrong_per_row,12.761000000000001,0.1316396596774694,23942
"w=48, bandwidth=4",baseline,accuracy,0.5009236111111112,0.0014383049276196216,0
"w=48, bandwidth=4",ff_matched,accuracy,0.9633680555555556,0.008378428333678842,24443
"w=48, bandwidth=4",ff_matched,train_accuracy,0.968921875,0.008268939027926676,24443
"w=48, bandwidth=4",ff_matched,exact_match,0.20666666666666667,0.06664332924857022,24443
"w=48, bandwidth=4",ff_matched,coherence_excess,0.02996598634971655,0.012852103464556211,24443
"w=48, bandwidth=4",ff_matched,mean_wrong_per_row,1.7583333333333335,0.402164560016585,24443
"w=48, bandwidth=4",trm_nods,accuracy,0.9203125,0.007506334130807956,24352
"w=48, bandwidth=4",trm_nods,train_accuracy,0.9279149305555555,0.006496076568079857,24352
"w=48, bandwidth=4",trm_nods,exact_match,0.03233333333333333,0.018009256878986798,24352
"w=48, bandwidth=4",trm_nods,coherence_excess,0.012756460849149305,0.010078729731378102,24352
"w=48, bandwidth=4",trm_nods,mean_wrong_per_row,3.8250000000000006,0.3603040382787849,24352
"w=48, bandwidth=4",untied_matched,accuracy,0.7793333333333333,0.009395902623543465,23942
"w=48, bandwidth=4",untied_matched,train_accuracy,0.784456597222222,0.0066614610481273056,23942
"w=48, bandwidth=4",untied_matched,exact_match,0.0,0.0,23942
"w=48, bandwidth=4",untied_matched,coherence_excess,-7.061601143806203e-06,3.92539976921555e-06,23942
"w=48, bandwidth=4",untied_matched,mean_wrong_per_row,10.592,0.4510033259300863,23942
"w=48, bandwidth=8",baseline,accuracy,0.5004305555555555,0.0003322464920529415,0
"w=48, bandwidth=8",ff_matched,accuracy,0.9213472222222222,0.0069918210319339005,24443
"w=48, bandwidth=8",ff_matched,train_accuracy,0.927375,0.008515851169269702,24443
"w=48, bandwidth=8",ff_matched,exact_match,0.04133333333333334,0.006027713773341706,24443
"w=48, bandwidth=8",ff_matched,coherence_excess,0.020835944275148302,0.005841235742328402,24443
"w=48, bandwidth=8",ff_matched,mean_wrong_per_row,3.7753333333333337,0.33560740953282525,24443
"w=48, bandwidth=8",trm_nods,accuracy,0.8996597222222222,0.007181499105211107,24352
"w=48, bandwidth=8",trm_nods,train_accuracy,0.9083315972222222,0.006814535113751386,24352
"w=48, bandwidth=8",trm_nods,exact_match,0.02466666666666667,0.008621678104251709,24352
"w=48, bandwidth=8",trm_nods,coherence_excess,0.01809797705179352,0.010989970095993775,24352
"w=48, bandwidth=8",trm_nods,mean_wrong_per_row,4.816333333333334,0.3447119570501337,24352
"w=48, bandwidth=8",untied_matched,accuracy,0.8227638888888889,0.01381439047729792,23942
"w=48, bandwidth=8",untied_matched,train_accuracy,0.8247361111111111,0.01460186725290342,23942
"w=48, bandwidth=8",untied_matched,exact_match,0.002,0.002,23942
"w=48, bandwidth=8",untied_matched,coherence_excess,0.0018950365902749677,0.001978393612653458,23942
"w=48, bandwidth=8",untied_matched,mean_wrong_per_row,8.507333333333333,0.6630907429102996,23942
