config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
w=24,trm_nods-trm_decoupled_nods,accuracy,0.1146958333333333,0.040680193039240545,10,10,0,0.001953125
w=24,trm_nods-trm_decoupled_nods,exact_match,0.2091,0.03799546756595522,10,10,0,0.001953125
w=24,trm_nods-trm_decoupled_nods,coherence_excess,0.048431510310155565,0.013394574193822157,10,10,0,0.001953125
w=24,trm_stepDS-trm_decoupled_stepDS,accuracy,0.08228749999999999,0.018743892523818115,10,10,0,0.001953125
w=24,trm_stepDS-trm_decoupled_stepDS,exact_match,0.2065,0.049804618259755795,10,10,0,0.001953125
w=24,trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.05880801356719677,0.016208354721323048,10,10,0,0.001953125
w=24,trm_nods-ff_matched,accuracy,-0.008554166666666673,0.010510155472473037,10,2,8,0.109375
w=24,trm_nods-ff_matched,exact_match,-0.027600000000000013,0.06305588350379722,10,3,6,0.5078125
w=24,trm_nods-ff_matched,coherence_excess,0.016447978527732506,0.016327911626698024,10,8,2,0.109375
w=24,trm_nods-untied_matched,accuracy,0.09548333333333334,0.012959489944809915,10,10,0,0.001953125
w=24,trm_nods-untied_matched,exact_match,0.19870000000000002,0.03829722937469208,10,10,0,0.001953125
w=24,trm_nods-untied_matched,coherence_excess,0.04136785739676607,0.015082642080599038,10,10,0,0.001953125
w=24,trm_decoupled_nods-ff_matched,accuracy,-0.12325,0.03773922665337834,10,0,10,0.001953125
w=24,trm_decoupled_nods-ff_matched,exact_match,-0.2367,0.05452023069976461,10,0,10,0.001953125
w=24,trm_decoupled_nods-ff_matched,coherence_excess,-0.031983531782423046,0.02132433460583374,10,0,10,0.001953125
w=24,trm_decoupled_nods-untied_matched,accuracy,-0.019212499999999987,0.03800228657228698,10,1,9,0.021484375
w=24,trm_decoupled_nods-untied_matched,exact_match,-0.010400000000000001,0.008733078876700169,10,2,8,0.109375
w=24,trm_decoupled_nods-untied_matched,coherence_excess,-0.007063652913389484,0.00795360835684054,10,3,7,0.34375
w=32,trm_nods-trm_decoupled_nods,accuracy,0.09265000000000004,0.015075099905233704,10,10,0,0.001953125
w=32,trm_nods-trm_decoupled_nods,exact_match,0.045700000000000005,0.014499425275966402,10,10,0,0.001953125
w=32,trm_nods-trm_decoupled_nods,coherence_excess,0.019996494655367313,0.013573200998077418,10,9,1,0.021484375
w=32,trm_stepDS-trm_decoupled_stepDS,accuracy,0.08466875,0.0071330850813499875,10,10,0,0.001953125
w=32,trm_stepDS-trm_decoupled_stepDS,exact_match,0.0529,0.01785403782528386,10,10,0,0.001953125
w=32,trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.021872194560272708,0.01062998302598248,10,10,0,0.001953125
w=32,trm_nods-ff_matched,accuracy,-0.0020156249999999875,0.016153514637881426,10,5,5,1.0
w=32,trm_nods-ff_matched,exact_match,0.006,0.020499322482029066,10,7,3,0.34375
w=32,trm_nods-ff_matched,coherence_excess,0.007083761522034618,0.011908560981070739,10,8,2,0.109375
w=32,trm_nods-untied_matched,accuracy,0.10502812500000003,0.013945325484354372,10,10,0,0.001953125
w=32,trm_nods-untied_matched,exact_match,0.0448,0.015259241280104472,10,10,0,0.001953125
w=32,trm_nods-untied_matched,coherence_excess,0.018760890800457605,0.013179018308548271,10,9,1,0.021484375
w=32,trm_decoupled_nods-ff_matched,accuracy,-0.09466562500000002,0.013644688644736648,10,0,10,0.001953125
w=32,trm_decoupled_nods-ff_matched,exact_match,-0.0397,0.012028207587906762,10,0,10,0.001953125
w=32,trm_decoupled_nods-ff_matched,coherence_excess,-0.012912733133332693,0.007173041071813536,10,0,10,0.001953125
w=32,trm_decoupled_nods-untied_matched,accuracy,0.012378124999999995,0.015995668969481985,10,8,2,0.109375
w=32,trm_decoupled_nods-untied_matched,exact_match,-0.0008999999999999998,0.0031073389830457115,10,3,6,0.5078125
w=32,trm_decoupled_nods-untied_matched,coherence_excess,-0.0012356038549097077,0.002870141555134625,10,3,7,0.34375
