config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
"rule_set=[78], w=24",trm_nods-trm_decoupled_nods,accuracy,0.07715833333333334,0.012810808756189191,10,10,0,0.001953125
"rule_set=[78], w=24",trm_nods-trm_decoupled_nods,exact_match,0.3582000000000001,0.0568581079921276,10,10,0,0.001953125
"rule_set=[78], w=24",trm_nods-trm_decoupled_nods,coherence_excess,0.11428502990283715,0.028160532792719385,10,10,0,0.001953125
"rule_set=[78], w=24",trm_stepDS-trm_decoupled_stepDS,accuracy,0.03779166666666668,0.01393128252229669,10,10,0,0.001953125
"rule_set=[78], w=24",trm_stepDS-trm_decoupled_stepDS,exact_match,0.3134,0.04664570958000554,10,10,0,0.001953125
"rule_set=[78], w=24",trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.12380240469793405,0.020671590500772836,10,10,0,0.001953125
"rule_set=[78], w=24",trm_nods-ff_matched,accuracy,-0.004162500000000013,0.008231072798461934,10,4,6,0.75390625
"rule_set=[78], w=24",trm_nods-ff_matched,exact_match,0.08960000000000001,0.048740127205414645,10,9,1,0.021484375
"rule_set=[78], w=24",trm_nods-ff_matched,coherence_excess,0.11510142931517316,0.024398743232785125,10,10,0,0.001953125
"rule_set=[78], w=24",trm_nods-untied_matched,accuracy,0.07934166666666667,0.007780872400228777,10,10,0,0.001953125
"rule_set=[78], w=24",trm_nods-untied_matched,exact_match,0.3179,0.05478128228591302,10,10,0,0.001953125
"rule_set=[78], w=24",trm_nods-untied_matched,coherence_excess,0.07105535542663828,0.021321529165140556,10,10,0,0.001953125
"rule_set=[78], w=24",trm_decoupled_nods-ff_matched,accuracy,-0.08132083333333336,0.01299499918653418,10,0,10,0.001953125
"rule_set=[78], w=24",trm_decoupled_nods-ff_matched,exact_match,-0.2686,0.04015857456522968,10,0,10,0.001953125
"rule_set=[78], w=24",trm_decoupled_nods-ff_matched,coherence_excess,0.0008163994123359962,0.019786193343325157,10,6,4,0.75390625
"rule_set=[78], w=24",trm_decoupled_nods-untied_matched,accuracy,0.002183333333333337,0.014188044871790878,10,6,4,0.75390625
"rule_set=[78], w=24",trm_decoupled_nods-untied_matched,exact_match,-0.04030000000000001,0.025130990164867494,10,0,10,0.001953125
"rule_set=[78], w=24",trm_decoupled_nods-untied_matched,coherence_excess,-0.04322967447619887,0.016466381113704628,10,0,10,0.001953125
"rule_set=[78], w=32",trm_nods-trm_decoupled_nods,accuracy,0.08710312499999999,0.04924045938770074,10,10,0,0.001953125
"rule_set=[78], w=32",trm_nods-trm_decoupled_nods,exact_match,0.10300000000000001,0.024734141945452197,10,10,0,0.001953125
"rule_set=[78], w=32",trm_nods-trm_decoupled_nods,coherence_excess,0.06258540683734293,0.014516604029806604,10,10,0,0.001953125
"rule_set=[78], w=32",trm_stepDS-trm_decoupled_stepDS,accuracy,0.050487500000000005,0.032356152681050375,10,10,0,0.001953125
"rule_set=[78], w=32",trm_stepDS-trm_decoupled_stepDS,exact_match,0.14789999999999998,0.017077925973476852,10,10,0,0.001953125
"rule_set=[78], w=32",trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.07503890191647143,0.01170653098959108,10,10,0,0.001953125
"rule_set=[78], w=32",trm_nods-ff_matched,accuracy,-0.023215625000000017,0.008691301751088404,10,0,10,0.001953125
"rule_set=[78], w=32",trm_nods-ff_matched,exact_match,-0.015199999999999997,0.027844009928329094,10,2,8,0.109375
"rule_set=[78], w=32",trm_nods-ff_matched,coherence_excess,0.03753663897034697,0.014774561234999867,10,10,0,0.001953125
"rule_set=[78], w=32",trm_nods-untied_matched,accuracy,0.06975312499999999,0.007720168982255721,10,10,0,0.001953125
"rule_set=[78], w=32",trm_nods-untied_matched,exact_match,0.0841,0.020840398801899696,10,10,0,0.001953125
"rule_set=[78], w=32",trm_nods-untied_matched,coherence_excess,0.043468445436213865,0.013155906499831066,10,10,0,0.001953125
"rule_set=[78], w=32",trm_decoupled_nods-ff_matched,accuracy,-0.11031875000000002,0.047546112029241916,10,0,10,0.001953125
"rule_set=[78], w=32",trm_decoupled_nods-ff_matched,exact_match,-0.1182,0.026815418450336866,10,0,10,0.001953125
"rule_set=[78], w=32",trm_decoupled_nods-ff_matched,coherence_excess,-0.025048767866995957,0.017668627019608505,10,1,9,0.021484375
"rule_set=[78], w=32",trm_decoupled_nods-untied_matched,accuracy,-0.01735000000000001,0.05330145287393415,10,5,5,1.0
"rule_set=[78], w=32",trm_decoupled_nods-untied_matched,exact_match,-0.0189,0.017710323417587708,10,2,8,0.109375
"rule_set=[78], w=32",trm_decoupled_nods-untied_matched,coherence_excess,-0.019116961401129066,0.014190129861156715,10,0,10,0.001953125
"rule_set=[13], w=24",trm_nods-trm_decoupled_nods,accuracy,0.08998333333333333,0.0302015554337402,10,10,0,0.001953125
"rule_set=[13], w=24",trm_nods-trm_decoupled_nods,exact_match,0.43620000000000003,0.09764994168513935,10,10,0,0.001953125
"rule_set=[13], w=24",trm_nods-trm_decoupled_nods,coherence_excess,0.12040728010397597,0.01843276859416061,10,10,0,0.001953125
"rule_set=[13], w=24",trm_stepDS-trm_decoupled_stepDS,accuracy,0.04660833333333335,0.023925216241911414,10,10,0,0.001953125
"rule_set=[13], w=24",trm_stepDS-trm_decoupled_stepDS,exact_match,0.3094,0.06987957895948971,10,10,0,0.001953125
"rule_set=[13], w=24",trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.1133041125335503,0.019447205921165837,10,10,0,0.001953125
"rule_set=[13], w=24",trm_nods-ff_matched,accuracy,0.009629166666666656,0.01371895274253292,10,8,2,0.109375
"rule_set=[13], w=24",trm_nods-ff_matched,exact_match,0.17539999999999997,0.10548638669410275,10,9,1,0.021484375
"rule_set=[13], w=24",trm_nods-ff_matched,coherence_excess,0.09113285816481147,0.028074122983391722,10,10,0,0.001953125
"rule_set=[13], w=24",trm_nods-untied_matched,accuracy,0.09057916666666667,0.015198461407874992,10,10,0,0.001953125
"rule_set=[13], w=24",trm_nods-untied_matched,exact_match,0.4112,0.10020068751150252,10,10,0,0.001953125
"rule_set=[13], w=24",trm_nods-untied_matched,coherence_excess,0.08999708633504402,0.019530733642035232,10,10,0,0.001953125
"rule_set=[13], w=24",trm_decoupled_nods-ff_matched,accuracy,-0.08035416666666667,0.02927400388127221,10,0,10,0.001953125
"rule_set=[13], w=24",trm_decoupled_nods-ff_matched,exact_match,-0.26080000000000003,0.054531947822660194,10,0,10,0.001953125
"rule_set=[13], w=24",trm_decoupled_nods-ff_matched,coherence_excess,-0.02927442193916449,0.0150273445859703,10,1,9,0.021484375
"rule_set=[13], w=24",trm_decoupled_nods-untied_matched,accuracy,0.0005958333333333399,0.023749805473537344,10,7,3,0.34375
"rule_set=[13], w=24",trm_decoupled_nods-untied_matched,exact_match,-0.025,0.02181742422927143,10,1,9,0.021484375
"rule_set=[13], w=24",trm_decoupled_nods-untied_matched,coherence_excess,-0.030410193768931938,0.00942111665769072,10,0,10,0.001953125
"rule_set=[13], w=32",trm_nods-trm_decoupled_nods,accuracy,0.09083749999999999,0.09168639323727984,10,10,0,0.001953125
"rule_set=[13], w=32",trm_nods-trm_decoupled_nods,exact_match,0.08869999999999999,0.015592377054901609,10,10,0,0.001953125
"rule_set=[13], w=32",trm_nods-trm_decoupled_nods,coherence_excess,0.05065679226081139,0.011131100810681225,10,10,0,0.001953125
"rule_set=[13], w=32",trm_stepDS-trm_decoupled_stepDS,accuracy,0.037871874999999985,0.01578619250161092,10,10,0,0.001953125
"rule_set=[13], w=32",trm_stepDS-trm_decoupled_stepDS,exact_match,0.0841,0.022491726874070337,10,10,0,0.001953125
"rule_set=[13], w=32",trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.04470275960017083,0.013678457884657545,10,10,0,0.001953125
"rule_set=[13], w=32",trm_nods-ff_matched,accuracy,-0.013815624999999988,0.005983492373988896,10,0,10,0.001953125
"rule_set=[13], w=32",trm_nods-ff_matched,exact_match,-0.004600000000000002,0.017024165830437102,10,2,6,0.2890625
"rule_set=[13], w=32",trm_nods-ff_matched,coherence_excess,0.02196095897159012,0.010620902981896918,10,10,0,0.001953125
"rule_set=[13], w=32",trm_nods-untied_matched,accuracy,0.06764062499999998,0.004695831715838231,10,10,0,0.001953125
"rule_set=[13], w=32",trm_nods-untied_matched,exact_match,0.07039999999999999,0.015572054742033527,10,10,0,0.001953125
"rule_set=[13], w=32",trm_nods-untied_matched,coherence_excess,0.03014400344347972,0.012030891164086656,10,10,0,0.001953125
"rule_set=[13], w=32",trm_decoupled_nods-ff_matched,accuracy,-0.10465312499999997,0.09128940056188298,10,0,10,0.001953125
"rule_set=[13], w=32",trm_decoupled_nods-ff_matched,exact_match,-0.09330000000000001,0.016200480102625214,10,0,10,0.001953125
"rule_set=[13], w=32",trm_decoupled_nods-ff_matched,coherence_excess,-0.02869583328922127,0.012480459102538094,10,0,10,0.001953125
"rule_set=[13], w=32",trm_decoupled_nods-untied_matched,accuracy,-0.023196875000000006,0.09159345685678477,10,6,4,0.75390625
"rule_set=[13], w=32",trm_decoupled_nods-untied_matched,exact_match,-0.0183,0.01091431272331072,10,1,9,0.021484375
"rule_set=[13], w=32",trm_decoupled_nods-untied_matched,coherence_excess,-0.020512788817331668,0.008242583231018263,10,0,10,0.001953125
