config,arm,metric,mean,std,n_params
"rule_set=[78], w=24",baseline,accuracy,0.5637638888888888,0.0009685446317561833,0
"rule_set=[78], w=24",ff_matched,accuracy,0.9561527777777777,0.004451188459692941,16592
"rule_set=[78], w=24",ff_matched,train_accuracy,0.9663298611111112,0.004017868257627217,16592
"rule_set=[78], w=24",ff_matched,exact_match,0.4053333333333334,0.02967041174863155,16592
"rule_set=[78], w=24",ff_matched,coherence_excess,0.06302398639050392,0.011899956304294737,16592
"rule_set=[78], w=24",ff_matched,mean_wrong_per_row,1.0523333333333336,0.10682852303263085,16592
"rule_set=[78], w=24",trm_nods,accuracy,0.9511527777777777,0.009274117707860893,16624
"rule_set=[78], w=24",trm_nods,train_accuracy,0.9631840277777778,0.009991817036793612,16624
"rule_set=[78], w=24",trm_nods,exact_match,0.47000000000000003,0.08141252974819049,16624
"rule_set=[78], w=24",trm_nods,coherence_excess,0.16430998387386067,0.018374050294791444,16624
"rule_set=[78], w=24",trm_nods,mean_wrong_per_row,1.1723333333333332,0.22257882498866186,16624
"rule_set=[78], w=24",untied_matched,accuracy,0.870375,0.009672053096996088,17033
"rule_set=[78], w=24",untied_matched,train_accuracy,0.8755763888888889,0.008555681676334081,17033
"rule_set=[78], w=24",untied_matched,exact_match,0.13166666666666668,0.02888482877451991,17033
"rule_set=[78], w=24",untied_matched,coherence_excess,0.09509680771293222,0.018826933063273057,17033
"rule_set=[78], w=24",untied_matched,mean_wrong_per_row,3.111,0.23212927432790537,17033
"rule_set=[78], w=32",baseline,accuracy,0.56434375,0.0007146622891268218,0
"rule_set=[78], w=32",ff_matched,accuracy,0.9321770833333334,0.005286455767651279,19159
"rule_set=[78], w=32",ff_matched,train_accuracy,0.9419895833333333,0.005524516631971219,19159
"rule_set=[78], w=32",ff_matched,exact_match,0.16066666666666665,0.02602562839459084,19159
"rule_set=[78], w=32",ff_matched,coherence_excess,0.05386592837214415,0.007297099269381679,19159
"rule_set=[78], w=32",ff_matched,mean_wrong_per_row,2.1703333333333332,0.16916658456484043,19159
"rule_set=[78], w=32",trm_nods,accuracy,0.9043333333333333,0.011469658229251382,19200
"rule_set=[78], w=32",trm_nods,train_accuracy,0.91821875,0.011261769559588799,19200
