config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
"rule_set=[78], w=24",trm_nods-ff_matched,accuracy,-0.004999999999999967,0.008717300008858495,3,1,2,1.0
"rule_set=[78], w=24",trm_nods-ff_matched,exact_match,0.06466666666666666,0.06636515149785567,3,2,1,1.0
"rule_set=[78], w=24",trm_nods-ff_matched,coherence_excess,0.10128599748335676,0.026530928010571077,3,3,0,0.25
"rule_set=[78], w=24",trm_nods-untied_matched,accuracy,0.0807777777777778,0.01010718024933725,3,3,0,0.25
"rule_set=[78], w=24",trm_nods-untied_matched,exact_match,0.3383333333333334,0.07212720245048558,3,3,0,0.25
"rule_set=[78], w=24",trm_nods-untied_matched,coherence_excess,0.06921317616092845,0.026282396048351624,3,3,0,0.25
"rule_set=[78], w=32",trm_nods-ff_matched,accuracy,-0.027843750000000018,0.015033783570262686,3,0,3,0.25
"rule_set=[78], w=32",trm_nods-ff_matched,exact_match,-0.042666666666666665,0.035019042438840804,3,0,3,0.25
"rule_set=[78], w=32",trm_nods-ff_matched,coherence_excess,0.02194347177962902,0.0055679149582300086,3,3,0,0.25
"rule_set=[78], w=32",trm_nods-untied_matched,accuracy,0.0706458333333333,0.014667883620203496,3,3,0,0.25
"rule_set=[78], w=32",trm_nods-untied_matched,exact_match,0.07833333333333334,0.017214335111567145,3,3,0,0.25
"rule_set=[78], w=32",trm_nods-untied_matched,coherence_excess,0.03951426260191331,0.00749255530176723,3,3,0,0.25
"rule_set=[197], w=24",trm_nods-ff_matched,accuracy,0.00255555555555557,0.007599380152598229,3,2,1,1.0
"rule_set=[197], w=24",trm_nods-ff_matched,exact_match,0.1416666666666667,0.03992910383834494,3,3,0,0.25
"rule_set=[197], w=24",trm_nods-ff_matched,coherence_excess,0.12212413690941365,0.023729446326786748,3,3,0,0.25
"rule_set=[197], w=24",trm_nods-untied_matched,accuracy,0.08238888888888891,0.00921335961364639,3,3,0,0.25
"rule_set=[197], w=24",trm_nods-untied_matched,exact_match,0.37433333333333335,0.027392213005402368,3,3,0,0.25
"rule_set=[197], w=24",trm_nods-untied_matched,coherence_excess,0.07630001702010657,0.00451186161495366,3,3,0,0.25
"rule_set=[197], w=32",trm_nods-ff_matched,accuracy,-0.020625000000000004,0.009500770939113286,3,0,3,0.25
"rule_set=[197], w=32",trm_nods-ff_matched,exact_match,-0.01,0.018193405398660253,3,1,1,1.0
"rule_set=[197], w=32",trm_nods-ff_matched,coherence_excess,0.041351023781467704,0.004637778733163059,3,3,0,0.25
"rule_set=[197], w=32",trm_nods-untied_matched,accuracy,0.07890624999999996,0.010305300517209542,3,3,0,0.25
"rule_set=[197], w=32",trm_nods-untied_matched,exact_match,0.09266666666666667,0.012741009902410932,3,3,0,0.25
"rule_set=[197], w=32",trm_nods-untied_matched,coherence_excess,0.045804308878071,0.0037482236553037494,3,3,0,0.25
"rule_set=[141], w=24",trm_nods-ff_matched,accuracy,0.004416666666666624,0.018006219990140432,3,2,1,1.0
"rule_set=[141], w=24",trm_nods-ff_matched,exact_match,0.152,0.11101351269102332,3,3,0,0.25
"rule_set=[141], w=24",trm_nods-ff_matched,coherence_excess,0.10416634337220416,0.02508844766907822,3,3,0,0.25
"rule_set=[141], w=24",trm_nods-untied_matched,accuracy,0.08044444444444443,0.024266508317554142,3,3,0,0.25
"rule_set=[141], w=24",trm_nods-untied_matched,exact_match,0.36400000000000005,0.10258654882585726,3,3,0,0.25
"rule_set=[141], w=24",trm_nods-untied_matched,coherence_excess,0.06791094427673329,0.018729384600882082,3,3,0,0.25
"rule_set=[141], w=32",trm_nods-ff_matched,accuracy,-0.018864583333333334,0.015729349474655124,3,0,3,0.25
"rule_set=[141], w=32",trm_nods-ff_matched,exact_match,0.012999999999999998,0.05632051136131489,3,1,2,1.0
"rule_set=[141], w=32",trm_nods-ff_matched,coherence_excess,0.05279722404046087,0.02744848231073897,3,3,0,0.25
"rule_set=[141], w=32",trm_nods-untied_matched,accuracy,0.07784374999999999,0.008988490905040754,3,3,0,0.25
"rule_set=[141], w=32",trm_nods-untied_matched,exact_match,0.09966666666666667,0.04821134029803914,3,3,0,0.25
"rule_set=[141], w=32",trm_nods-untied_matched,coherence_excess,0.05267401786565793,0.02750991338186168,3,3,0,0.25
"rule_set=[13], w=24",trm_nods-ff_matched,accuracy,0.015750000000000004,0.012210039698725169,3,3,0,0.25
"rule_set=[13], w=24",trm_nods-ff_matched,exact_match,0.222,0.08072793816269558,3,3,0,0.25
"rule_set=[13], w=24",trm_nods-ff_matched,coherence_excess,0.07767037130758586,0.03426593499313404,3,3,0,0.25
"rule_set=[13], w=24",trm_nods-untied_matched,accuracy,0.09729166666666662,0.013750063131168161,3,3,0,0.25
"rule_set=[13], w=24",trm_nods-untied_matched,exact_match,0.4776666666666667,0.09751068317540051,3,3,0,0.25
"rule_set=[13], w=24",trm_nods-untied_matched,coherence_excess,0.08773414075421972,0.01851134789752335,3,3,0,0.25
"rule_set=[13], w=32",trm_nods-ff_matched,accuracy,-0.01607291666666666,0.009367305870464214,3,0,3,0.25
"rule_set=[13], w=32",trm_nods-ff_matched,exact_match,-0.006333333333333334,0.02315887159024233,3,1,1,1.0
"rule_set=[13], w=32",trm_nods-ff_matched,coherence_excess,0.023772952914153277,0.0127541727032993,3,3,0,0.25
"rule_set=[13], w=32",trm_nods-untied_matched,accuracy,0.0678541666666667,0.004212881721082765,3,3,0,0.25
"rule_set=[13], w=32",trm_nods-untied_matched,exact_match,0.06733333333333334,0.025501633934580218,3,3,0,0.25
"rule_set=[13], w=32",trm_nods-untied_matched,coherence_excess,0.026857716858666707,0.013759240435719172,3,3,0,0.25
