config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
n_blocks=3,trm_nods-trm_decoupled_nods,accuracy,0.04179583333333333,0.024443019608095244,10,10,0,0.001953125
n_blocks=3,trm_nods-trm_decoupled_nods,exact_match,0.092,0.05984052881525102,10,9,1,0.021484375
n_blocks=3,trm_nods-trm_decoupled_nods,coherence_excess,0.06496715357956431,0.0478700747091184,10,8,2,0.109375
n_blocks=3,trm_stepDS-trm_decoupled_stepDS,accuracy,0.040712500000000026,0.01873142547043129,10,10,0,0.001953125
n_blocks=3,trm_stepDS-trm_decoupled_stepDS,exact_match,0.12730000000000002,0.052936125031336906,10,10,0,0.001953125
n_blocks=3,trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.09386081495495369,0.03742768501116416,10,10,0,0.001953125
n_blocks=3,trm_nods-ff_matched,accuracy,0.0025208333333333168,0.007856207982100828,10,4,5,1.0
n_blocks=3,trm_nods-ff_matched,exact_match,0.06989999999999999,0.027774688717127554,10,10,0,0.001953125
n_blocks=3,trm_nods-ff_matched,coherence_excess,0.06627400499125681,0.02407040714184945,10,10,0,0.001953125
n_blocks=3,trm_nods-untied_matched,accuracy,0.036425,0.014686116627786199,10,10,0,0.001953125
n_blocks=3,trm_nods-untied_matched,exact_match,0.02529999999999999,0.047453017700551846,10,6,4,0.75390625
n_blocks=3,trm_nods-untied_matched,coherence_excess,-0.000621524650316202,0.035456007251324986,10,5,5,1.0
n_blocks=3,trm_decoupled_nods-ff_matched,accuracy,-0.03927500000000002,0.02084447109687943,10,0,10,0.001953125
n_blocks=3,trm_decoupled_nods-ff_matched,exact_match,-0.02210000000000001,0.04599625588627357,10,3,6,0.5078125
n_blocks=3,trm_decoupled_nods-ff_matched,coherence_excess,0.0013068514116924778,0.04071825378253005,10,5,5,1.0
n_blocks=3,trm_decoupled_nods-untied_matched,accuracy,-0.005370833333333336,0.017004577383933215,10,3,7,0.34375
n_blocks=3,trm_decoupled_nods-untied_matched,exact_match,-0.06670000000000002,0.03077174028227847,10,0,10,0.001953125
n_blocks=3,trm_decoupled_nods-untied_matched,coherence_excess,-0.06558867822988053,0.026851769063280486,10,0,10,0.001953125
n_blocks=4,trm_nods-trm_decoupled_nods,accuracy,0.03862812500000003,0.029202219588693068,10,10,0,0.001953125
n_blocks=4,trm_nods-trm_decoupled_nods,exact_match,0.09009999999999999,0.03872251713581304,10,10,0,0.001953125
n_blocks=4,trm_nods-trm_decoupled_nods,coherence_excess,0.08821099101738225,0.03801000981500626,10,10,0,0.001953125
n_blocks=4,trm_stepDS-trm_decoupled_stepDS,accuracy,0.028078125,0.006902647218891641,10,10,0,0.001953125
n_blocks=4,trm_stepDS-trm_decoupled_stepDS,exact_match,0.042200000000000015,0.036407569420535496,10,9,1,0.021484375
n_blocks=4,trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.04068970725291356,0.03619636485229634,10,9,1,0.021484375
n_blocks=4,trm_nods-ff_matched,accuracy,-0.017312499999999974,0.010283154796532254,10,1,9,0.021484375
n_blocks=4,trm_nods-ff_matched,exact_match,0.029699999999999997,0.030434081772469063,10,8,2,0.109375
n_blocks=4,trm_nods-ff_matched,coherence_excess,0.03205577786641058,0.029715583013258922,10,8,2,0.109375
n_blocks=4,trm_nods-untied_matched,accuracy,0.023040625000000016,0.009113625544914433,10,10,0,0.001953125
n_blocks=4,trm_nods-untied_matched,exact_match,0.0064,0.026625802022349168,10,7,3,0.34375
n_blocks=4,trm_nods-untied_matched,coherence_excess,0.004794080174756815,0.026096530800481084,10,7,3,0.34375
n_blocks=4,trm_decoupled_nods-ff_matched,accuracy,-0.055940625,0.03308734904915616,10,0,10,0.001953125
n_blocks=4,trm_decoupled_nods-ff_matched,exact_match,-0.06039999999999999,0.026675831758353866,10,0,10,0.001953125
n_blocks=4,trm_decoupled_nods-ff_matched,coherence_excess,-0.056155213150971696,0.025501567791469934,10,0,10,0.001953125
n_blocks=4,trm_decoupled_nods-untied_matched,accuracy,-0.01558750000000001,0.0292695944281111,10,2,8,0.109375
n_blocks=4,trm_decoupled_nods-untied_matched,exact_match,-0.0837,0.0349922213578326,10,0,10,0.001953125
n_blocks=4,trm_decoupled_nods-untied_matched,coherence_excess,-0.08341691084262545,0.03456457935002726,10,0,10,0.001953125
