config,arm,metric,mean,std,n_params
"rule=30, w=16, T=8",baseline,accuracy,0.502640625,0.0025347473634325934,0
"rule=30, w=16, T=8",trm_nods,accuracy,0.5233203125,0.003459819988478965,13792
"rule=30, w=16, T=8",trm_nods,train_accuracy,0.616115234375,0.0040377848602725095,13792
"rule=30, w=16, T=8",trm_nods,exact_match,0.000125,0.0003535533905932738,13792
"rule=30, w=16, T=8",trm_nods,coherence_excess,9.321180761417237e-05,0.0003536063517626749,13792
"rule=30, w=16, T=8",trm_nods,mean_wrong_per_row,7.626875,0.05535711981566327,13792
"rule=30, w=16, T=8",trm_faithful,accuracy,0.5245078125,0.0031075292888804815,13856
"rule=30, w=16, T=8",trm_faithful,train_accuracy,0.663466796875,0.005300810652684522,13856
"rule=30, w=16, T=8",trm_faithful,exact_match,0.000125,0.0003535533905932738,13856
"rule=30, w=16, T=8",trm_faithful,coherence_excess,9.206738174041266e-05,0.00035126295066126566,13856
"rule=30, w=16, T=8",trm_faithful,mean_wrong_per_row,7.607875,0.049720468622087656,13856
"rule=30, w=16, T=8",ff_matched,accuracy,0.5252343749999999,0.0060575504464027655,13703
"rule=30, w=16, T=8",ff_matched,train_accuracy,0.629693359375,0.0036120452157117006,13703
"rule=30, w=16, T=8",ff_matched,exact_match,0.000125,0.0003535533905932738,13703
"rule=30, w=16, T=8",ff_matched,coherence_excess,9.099993105309389e-05,0.0003578901476550374,13703
"rule=30, w=16, T=8",ff_matched,mean_wrong_per_row,7.59625,0.09692080714244422,13703
"rule=30, w=16, T=8",untied_matched,accuracy,0.5180625,0.00500256630569323,14191
"rule=30, w=16, T=8",untied_matched,train_accuracy,0.585142578125,0.007927393723928753,14191
"rule=30, w=16, T=8",untied_matched,exact_match,0.000125,0.0003535533905932738,14191
"rule=30, w=16, T=8",untied_matched,coherence_excess,9.782083495968303e-05,0.0003519899277782239,14191
"rule=30, w=16, T=8",untied_matched,mean_wrong_per_row,7.711,0.0800410608910915,14191
"rule=30, w=16, T=16",baseline,accuracy,0.5035859375,0.0027463322741105934,0
"rule=30, w=16, T=16",trm_nods,accuracy,0.504546875,0.0031197724132882125,13792
"rule=30, w=16, T=16",trm_nods,train_accuracy,0.59453515625,0.002661467433704483,13792
"rule=30, w=16, T=16",trm_nods,exact_match,0.0,0.0,13792
"rule=30, w=16, T=16",trm_nods,coherence_excess,-1.7706871348100047e-05,1.7107794642411406e-06,13792
"rule=30, w=16, T=16",trm_nods,mean_wrong_per_row,7.927250000000001,0.049916358612611754,13792
"rule=30, w=16, T=16",trm_faithful,accuracy,0.50525,0.0024187696104779072,13856
"rule=30, w=16, T=16",trm_faithful,train_accuracy,0.60547265625,0.031041535428124246,13856
"rule=30, w=16, T=16",trm_faithful,exact_match,0.0,0.0,13856
"rule=30, w=16, T=16",trm_faithful,coherence_excess,-1.8078156021685845e-05,1.4017866190555257e-06,13856
"rule=30, w=16, T=16",trm_faithful,mean_wrong_per_row,7.916,0.03870031376764648,13856
"rule=30, w=16, T=16",ff_matched,accuracy,0.507015625,0.0037599199150855924,13703
"rule=30, w=16, T=16",ff_matched,train_accuracy,0.61142578125,0.0028007536204803798,13703
"rule=30, w=16, T=16",ff_matched,exact_match,0.0,0.0,13703
"rule=30, w=16, T=16",ff_matched,coherence_excess,-1.9180322773172657e-05,2.284817645118812e-06,13703
"rule=30, w=16, T=16",ff_matched,mean_wrong_per_row,7.8877500000000005,0.0601587186413692,13703
"rule=30, w=16, T=16",untied_matched,accuracy,0.5022500000000001,0.004768057780690158,13576
"rule=30, w=16, T=16",untied_matched,train_accuracy,0.55230859375,0.0059723410920190815,13576
"rule=30, w=16, T=16",untied_matched,exact_match,0.0,0.0,13576
"rule=30, w=16, T=16",untied_matched,coherence_excess,-1.6548226643902876e-05,2.439026597395278e-06,13576
"rule=30, w=16, T=16",untied_matched,mean_wrong_per_row,7.9639999999999995,0.07628892449104269,13576
