config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
"rule=78, w=24",trm_faithful-trm_nods,accuracy,0.029515625000000018,0.004460526691221003,8,8,0,0.0078125
"rule=78, w=24",trm_faithful-trm_nods,exact_match,0.359375,0.050369881873992904,8,8,0,0.0078125
"rule=78, w=24",trm_faithful-trm_nods,coherence_excess,-0.1104846779248318,0.013435854913730954,8,0,8,0.0078125
"rule=78, w=24",trm_faithful-ff_matched,accuracy,0.026796874999999998,0.0030489913030820283,8,8,0,0.0078125
"rule=78, w=24",trm_faithful-ff_matched,exact_match,0.37075,0.042874401286948395,8,8,0,0.0078125
"rule=78, w=24",trm_faithful-ff_matched,coherence_excess,-0.0693620969745583,0.012391096943840147,8,0,8,0.0078125
"rule=78, w=24",trm_faithful-untied_matched,accuracy,0.05437499999999998,0.0036695064760506667,8,8,0,0.0078125
"rule=78, w=24",trm_faithful-untied_matched,exact_match,0.571125,0.036992035822399835,8,8,0,0.0078125
"rule=78, w=24",trm_faithful-untied_matched,coherence_excess,-0.10708886350238683,0.013501408240077747,8,0,8,0.0078125
"rule=78, w=24",trm_nods-ff_matched,accuracy,-0.0027187500000000198,0.004575791955914271,8,2,6,0.2890625
"rule=78, w=24",trm_nods-ff_matched,exact_match,0.011375000000000024,0.04268802943616464,8,5,3,0.7265625
"rule=78, w=24",trm_nods-ff_matched,coherence_excess,0.0411225809502735,0.014821315798019973,8,8,0,0.0078125
"rule=78, w=24",trm_nods-untied_matched,accuracy,0.02485937499999996,0.0056275319477913895,8,8,0,0.0078125
"rule=78, w=24",trm_nods-untied_matched,exact_match,0.21175,0.0424995798298558,8,8,0,0.0078125
"rule=78, w=24",trm_nods-untied_matched,coherence_excess,0.0033958144224449614,0.01753259316478425,8,4,4,1.0
"rule=78, w=24",trm_nods-trm_decoupled_nods,accuracy,0.05064583333333329,0.017364569496809413,8,8,0,0.0078125
"rule=78, w=24",trm_nods-trm_decoupled_nods,exact_match,0.34575,0.07546191092200093,8,8,0,0.0078125
"rule=78, w=24",trm_nods-trm_decoupled_nods,coherence_excess,0.03263535041276662,0.010768354870131515,8,8,0,0.0078125
"rule=78, w=32",trm_faithful-trm_nods,accuracy,0.06734375000000002,0.006009571977865198,8,8,0,0.0078125
"rule=78, w=32",trm_faithful-trm_nods,exact_match,0.59575,0.052944040538774786,8,8,0,0.0078125
"rule=78, w=32",trm_faithful-trm_nods,coherence_excess,-0.0023808288564007175,0.014721446122668527,8,4,4,1.0
"rule=78, w=32",trm_faithful-ff_matched,accuracy,0.05525390625000001,0.007459964526123904,8,8,0,0.0078125
"rule=78, w=32",trm_faithful-ff_matched,exact_match,0.5549999999999999,0.06899896479554705,8,8,0,0.0078125
"rule=78, w=32",trm_faithful-ff_matched,coherence_excess,-0.006452852027511197,0.015030031312070686,8,3,5,0.7265625
"rule=78, w=32",trm_faithful-untied_matched,accuracy,0.07917578125000002,0.004302522668317272,8,8,0,0.0078125
"rule=78, w=32",trm_faithful-untied_matched,exact_match,0.6231249999999999,0.05126524163602471,8,8,0,0.0078125
"rule=78, w=32",trm_faithful-untied_matched,coherence_excess,0.0005344995138891473,0.02133131359194992,8,4,4,1.0
"rule=78, w=32",trm_nods-ff_matched,accuracy,-0.01208984375000001,0.007698606188712601,8,0,8,0.0078125
"rule=78, w=32",trm_nods-ff_matched,exact_match,-0.04075,0.033379848497473524,8,0,8,0.0078125
"rule=78, w=32",trm_nods-ff_matched,coherence_excess,-0.004072023171110479,0.012437674445622679,8,3,5,0.7265625
"rule=78, w=32",trm_nods-untied_matched,accuracy,0.01183203125,0.005494110521142314,8,8,0,0.0078125
"rule=78, w=32",trm_nods-untied_matched,exact_match,0.027374999999999997,0.027192107573443335,8,7,1,0.0703125
"rule=78, w=32",trm_nods-untied_matched,coherence_excess,0.0029153283702898648,0.015983502083944195,8,3,5,0.7265625
"rule=78, w=32",trm_nods-trm_decoupled_nods,accuracy,0.029808593749999987,0.008322554296412914,8,8,0,0.0078125
"rule=78, w=32",trm_nods-trm_decoupled_nods,exact_match,0.08425,0.023346764841652656,8,8,0,0.0078125
"rule=78, w=32",trm_nods-trm_decoupled_nods,coherence_excess,0.037750562276943046,0.012677506225429775,8,8,0,0.0078125
