config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
"rule=78, w=24",trm_rmsnorm-trm_nods,accuracy,-0.006109374999999986,0.004382897492137732,8,1,7,0.0703125
"rule=78, w=24",trm_rmsnorm-trm_nods,exact_match,-0.06074999999999997,0.04545562985719465,8,1,7,0.0703125
"rule=78, w=24",trm_rmsnorm-trm_nods,coherence_excess,0.00370731335525943,0.012108592130912662,8,5,3,0.7265625
"rule=78, w=24",trm_nlatent-trm_nods,accuracy,-0.006333333333333316,0.002525661943722515,8,0,8,0.0078125
"rule=78, w=24",trm_nlatent-trm_nods,exact_match,-0.05624999999999999,0.024016363469220602,8,0,8,0.0078125
"rule=78, w=24",trm_nlatent-trm_nods,coherence_excess,0.008378414931634326,0.011124364136995888,8,7,1,0.0703125
"rule=78, w=24",trm_ema-trm_nods,accuracy,-0.0702083333333333,0.0061345689749106695,8,0,8,0.0078125
"rule=78, w=24",trm_ema-trm_nods,exact_match,-0.411,0.028967962599100016,8,0,8,0.0078125
"rule=78, w=24",trm_ema-trm_nods,coherence_excess,-0.037866027723808024,0.017009600774699835,8,0,8,0.0078125
"rule=78, w=24",trm_nsup-trm_nods,accuracy,0.023609375000000044,0.002613014730563694,8,8,0,0.0078125
"rule=78, w=24",trm_nsup-trm_nods,exact_match,0.29475,0.023075961518428646,8,8,0,0.0078125
"rule=78, w=24",trm_nsup-trm_nods,coherence_excess,-0.05373857535945752,0.022481556063475072,8,0,8,0.0078125
"rule=78, w=24",trm_faithful-trm_nods,accuracy,0.029515625000000018,0.004460526691221003,8,8,0,0.0078125
"rule=78, w=24",trm_faithful-trm_nods,exact_match,0.359375,0.050369881873992904,8,8,0,0.0078125
"rule=78, w=24",trm_faithful-trm_nods,coherence_excess,-0.1104846779248318,0.013435854913730954,8,0,8,0.0078125
"rule=78, w=24",trm_faithful-ff_matched,accuracy,0.026796874999999998,0.0030489913030820283,8,8,0,0.0078125
"rule=78, w=24",trm_faithful-ff_matched,exact_match,0.37075,0.042874401286948395,8,8,0,0.0078125
"rule=78, w=24",trm_faithful-ff_matched,coherence_excess,-0.0693620969745583,0.012391096943840147,8,0,8,0.0078125
