config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
n_blocks=3,trm_faithful-trm_nods,accuracy,0.04872395833333332,0.005543744575523904,8,8,0,0.0078125
n_blocks=3,trm_faithful-trm_nods,exact_match,0.12975000000000003,0.013915561689808134,8,8,0,0.0078125
n_blocks=3,trm_faithful-trm_nods,coherence_excess,-0.010303383408755667,0.026049965556706422,8,1,7,0.0703125
n_blocks=3,trm_faithful-ff_matched,accuracy,0.052135416666666656,0.00482001191709656,8,8,0,0.0078125
n_blocks=3,trm_faithful-ff_matched,exact_match,0.12625000000000003,0.018934096228761427,8,8,0,0.0078125
n_blocks=3,trm_faithful-ff_matched,coherence_excess,-0.01861133942720561,0.02353997561309261,8,1,7,0.0703125
n_blocks=3,trm_faithful-untied_matched,accuracy,0.06412499999999999,0.00430243102192384,8,8,0,0.0078125
n_blocks=3,trm_faithful-untied_matched,exact_match,0.15399999999999997,0.00928901040400505,8,8,0,0.0078125
n_blocks=3,trm_faithful-untied_matched,coherence_excess,-0.00428933060705157,0.027598475731503737,8,4,4,1.0
n_blocks=3,trm_nods-ff_matched,accuracy,0.0034114583333333393,0.006026949953670413,8,6,2,0.2890625
n_blocks=3,trm_nods-ff_matched,exact_match,-0.003500000000000003,0.018260026599886705,8,4,4,1.0
n_blocks=3,trm_nods-ff_matched,coherence_excess,-0.008307956018449941,0.010395832169268596,8,1,7,0.0703125
n_blocks=3,trm_nods-untied_matched,accuracy,0.01540104166666667,0.007453258365832828,8,8,0,0.0078125
n_blocks=3,trm_nods-untied_matched,exact_match,0.024249999999999966,0.01768574890372793,8,8,0,0.0078125
n_blocks=3,trm_nods-untied_matched,coherence_excess,0.006014052801704098,0.00954194692128063,8,4,4,1.0
n_blocks=3,trm_nods-trm_decoupled_nods,accuracy,0.025072916666666695,0.0067145139377794765,8,8,0,0.0078125
n_blocks=3,trm_nods-trm_decoupled_nods,exact_match,0.082375,0.022903134532822625,8,8,0,0.0078125
n_blocks=3,trm_nods-trm_decoupled_nods,coherence_excess,0.055616713459263625,0.016471924876428113,8,8,0,0.0078125
n_blocks=4,trm_faithful-trm_nods,accuracy,0.029359375000000007,0.009531842780161372,8,8,0,0.0078125
n_blocks=4,trm_faithful-trm_nods,exact_match,0.09112499999999997,0.023357088248079475,8,8,0,0.0078125
n_blocks=4,trm_faithful-trm_nods,coherence_excess,0.07996413890541246,0.019947067400993192,8,8,0,0.0078125
n_blocks=4,trm_faithful-ff_matched,accuracy,0.024730468750000026,0.006733216102223482,8,8,0,0.0078125
n_blocks=4,trm_faithful-ff_matched,exact_match,0.06937499999999995,0.018882626179336708,8,8,0,0.0078125
n_blocks=4,trm_faithful-ff_matched,coherence_excess,0.05923751586281281,0.015763252094714412,8,8,0,0.0078125
n_blocks=4,trm_faithful-untied_matched,accuracy,0.03880078125,0.006528738356349568,8,8,0,0.0078125
n_blocks=4,trm_faithful-untied_matched,exact_match,0.09799999999999998,0.01454058359999941,8,8,0,0.0078125
n_blocks=4,trm_faithful-untied_matched,coherence_excess,0.0851834169750757,0.012638497675917073,8,8,0,0.0078125
n_blocks=4,trm_nods-ff_matched,accuracy,-0.004628906249999981,0.007741668864169749,8,1,7,0.0703125
n_blocks=4,trm_nods-ff_matched,exact_match,-0.02175000000000002,0.013864136673961565,8,1,7,0.0703125
n_blocks=4,trm_nods-ff_matched,coherence_excess,-0.02072662304259964,0.01259260971724404,8,0,8,0.0078125
n_blocks=4,trm_nods-untied_matched,accuracy,0.009441406249999992,0.011638738012204797,8,6,2,0.2890625
n_blocks=4,trm_nods-untied_matched,exact_match,0.006875000000000006,0.026760511953249348,8,4,4,1.0
n_blocks=4,trm_nods-untied_matched,coherence_excess,0.005219278069663255,0.025070554650116712,8,4,4,1.0
n_blocks=4,trm_nods-trm_decoupled_nods,accuracy,0.020246093750000027,0.010283080838668838,8,8,0,0.0078125
n_blocks=4,trm_nods-trm_decoupled_nods,exact_match,0.08862500000000001,0.03294123555666971,8,8,0,0.0078125
n_blocks=4,trm_nods-trm_decoupled_nods,coherence_excess,0.08555625670382588,0.03158822552857836,8,8,0,0.0078125
