config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
n_blocks=3,trm_nods-ff_matched,accuracy,0.014489583333333333,0.007100810022539011,8,8,0,0.0078125
n_blocks=3,trm_nods-ff_matched,exact_match,0.03550000000000003,0.01363818169698587,8,8,0,0.0078125
n_blocks=3,trm_nods-ff_matched,coherence_excess,0.00669854625866223,0.009161092008130877,8,7,1,0.0703125
n_blocks=3,trm_nods-untied_matched,accuracy,0.031750000000000014,0.009485682611345064,8,8,0,0.0078125
n_blocks=3,trm_nods-untied_matched,exact_match,0.0645,0.015278369396914423,8,8,0,0.0078125
n_blocks=3,trm_nods-untied_matched,coherence_excess,0.013166035517375274,0.007585742905804864,8,8,0,0.0078125
n_blocks=3,trm_nods-trm_decoupled_nods,accuracy,0.018708333333333327,0.009107656381413648,8,8,0,0.0078125
n_blocks=3,trm_nods-trm_decoupled_nods,exact_match,0.10987499999999999,0.027596260098581706,8,8,0,0.0078125
n_blocks=3,trm_nods-trm_decoupled_nods,coherence_excess,0.07503346011190758,0.025362066425154147,8,8,0,0.0078125
n_blocks=4,trm_nods-ff_matched,accuracy,-0.00030859374999998856,0.006016217793148617,8,4,4,1.0
n_blocks=4,trm_nods-ff_matched,exact_match,-0.0031250000000000305,0.01805101896609399,8,4,4,1.0
n_blocks=4,trm_nods-ff_matched,coherence_excess,-0.003000637301721759,0.0162829674325001,8,4,4,1.0
n_blocks=4,trm_nods-untied_matched,accuracy,0.023226562499999992,0.008120564551704072,8,8,0,0.0078125
n_blocks=4,trm_nods-untied_matched,exact_match,0.03737499999999995,0.023766347757160435,8,7,1,0.0703125
n_blocks=4,trm_nods-untied_matched,coherence_excess,0.032442755227218414,0.02297550974110139,8,7,1,0.0703125
n_blocks=4,trm_nods-trm_decoupled_nods,accuracy,0.024722656250000002,0.005380536950331638,8,8,0,0.0078125
n_blocks=4,trm_nods-trm_decoupled_nods,exact_match,0.16124999999999998,0.02805988494019787,8,8,0,0.0078125
n_blocks=4,trm_nods-trm_decoupled_nods,coherence_excess,0.15600073820409782,0.028073002049247755,8,8,0,0.0078125
