config,arm,metric,mean,std,n_params
single,baseline,accuracy,0.6886440677966102,0.018612174991468677,0
single,baseline,exact_match,0.17706214689265537,0.0347223546870977,0
single,trm,accuracy,0.7830461393596987,0.02467993985417739,14540
single,trm,train_accuracy,1.0,0.0,14540
single,trm,exact_match,0.26663841807909605,0.07617888092826353,14540
single,trm,micro_f1,0.6500963746394074,0.044302321069339526,14540
single,trm,macro_f1,0.6390985771125882,0.04453460009101379,14540
single,trm,coherence_excess,0.03310900755997511,0.057241826910276954,14540
single,trm,mean_wrong_per_row,1.301723163841808,0.14807963912506425,14540
single,trm_decoupled,accuracy,0.7644444444444445,0.019494845828339158,14608
single,trm_decoupled,train_accuracy,0.9923205748911421,0.01050475063825431,14608
single,trm_decoupled,exact_match,0.22265536723163842,0.03751117452609973,14608
single,trm_decoupled,micro_f1,0.6212307742524605,0.03785569652621726,14608
single,trm_decoupled,macro_f1,0.6050942759212997,0.03742056019799682,14608
single,trm_decoupled,coherence_excess,0.021332178384352276,0.04181588428427828,14608
single,trm_decoupled,mean_wrong_per_row,1.4133333333333336,0.11696907497003493,14608
single,ff_matched,accuracy,0.7928813559322034,0.025583734637312516,14547
single,ff_matched,train_accuracy,1.0,0.0,14547
single,ff_matched,exact_match,0.2918361581920904,0.05873901921291197,14547
single,ff_matched,micro_f1,0.6614151374099406,0.04063888232522191,14547
single,ff_matched,macro_f1,0.6496630722956581,0.04027249097014989,14547
single,ff_matched,coherence_excess,0.039824702536793044,0.040973116360457175,14547
single,ff_matched,mean_wrong_per_row,1.2427118644067798,0.1535024078238752,14547
single,untied_matched,accuracy,0.7945244821092279,0.014365949915222737,14562
single,untied_matched,train_accuracy,0.9990945886122645,0.0018225553469146238,14562
single,untied_matched,exact_match,0.30694915254237287,0.04278730172926141,14562
single,untied_matched,micro_f1,0.6673264647545485,0.027829509978306115,14562
single,untied_matched,macro_f1,0.6538057993313999,0.0286944824324883,14562
single,untied_matched,coherence_excess,0.05427588433234678,0.027169627643540355,14562
single,untied_matched,mean_wrong_per_row,1.2328531073446327,0.0861956994913365,14562
single,untied_stack,accuracy,0.7917043314500942,0.021132942615985355,86920
single,untied_stack,train_accuracy,1.0,0.0,86920
single,untied_stack,exact_match,0.29177966101694913,0.05803623256780467,86920
single,untied_stack,micro_f1,0.6647157530043193,0.03485904355245837,86920
single,untied_stack,macro_f1,0.6522753420365811,0.033607933842610696,86920
single,untied_stack,coherence_excess,0.04308694035829623,0.03009782225616499,86920
single,untied_stack,mean_wrong_per_row,1.2497740112994349,0.12679765569591225,86920
