config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
single,trm-trm_decoupled,accuracy,0.018601694915254218,0.018343121860443134,10,9,1,0.021484375
single,trm-trm_decoupled,exact_match,0.04398305084745763,0.08260328498793292,10,5,4,1.0
single,trm-trm_decoupled,micro_f1,0.028865600386946966,0.030956282119148314,10,8,2,0.109375
single,trm-trm_decoupled,macro_f1,0.034004301191288555,0.034435602289432335,10,8,2,0.109375
single,trm-trm_decoupled,coherence_excess,0.011776829175622833,0.07754829648652077,10,6,4,0.75390625
single,trm-ff_matched,accuracy,-0.009835216572504713,0.027455298176204856,10,2,8,0.109375
single,trm-ff_matched,exact_match,-0.025197740112994353,0.07259683046272623,10,4,5,1.0
single,trm-ff_matched,micro_f1,-0.011318762770533208,0.04133726668694522,10,5,5,1.0
single,trm-ff_matched,macro_f1,-0.010564495183069933,0.04089406568442303,10,4,6,0.75390625
single,trm-ff_matched,coherence_excess,-0.006715694976817932,0.06049469112950525,10,5,5,1.0
single,trm-untied_matched,accuracy,-0.011478342749529202,0.02429300264274347,10,3,7,0.34375
single,trm-untied_matched,exact_match,-0.04031073446327683,0.07522545182579742,10,2,8,0.109375
single,trm-untied_matched,micro_f1,-0.01723009011514095,0.03659450689360838,10,3,7,0.34375
single,trm-untied_matched,macro_f1,-0.014707222218811666,0.03886440669435298,10,4,6,0.75390625
single,trm-untied_matched,coherence_excess,-0.02116687677237166,0.05755366610121901,10,3,7,0.34375
single,trm_decoupled-ff_matched,accuracy,-0.028436911487758933,0.026478548128063856,10,1,8,0.0390625
single,trm_decoupled-ff_matched,exact_match,-0.06918079096045199,0.08192441601234145,10,2,7,0.1796875
single,trm_decoupled-ff_matched,micro_f1,-0.040184363157480175,0.03619113138383069,10,2,8,0.109375
single,trm_decoupled-ff_matched,macro_f1,-0.04456879637435849,0.038527738284038916,10,2,8,0.109375
single,trm_decoupled-ff_matched,coherence_excess,-0.018492524152440765,0.04805822282989005,10,2,8,0.109375
