config,arm,metric,mean,std,n_params
single,baseline,accuracy,0.8210079529737205,0.003323972856303756,0
single,baseline,exact_match,0.1915179806362379,0.020208692844299343,0
single,trm,accuracy,0.9148302789303827,0.008517866771082233,28748
single,trm,train_accuracy,0.9996383715666728,0.0005117670035656156,28748
single,trm,exact_match,0.6954771784232365,0.02685608367331773,28748
single,trm,micro_f1,0.7639372539447844,0.023171255594648395,28748
single,trm,macro_f1,0.7722260572066663,0.026435468041420863,28748
single,trm,coherence_excess,0.10859841881000235,0.012051538214624954,28748
single,trm,mean_wrong_per_row,0.5110183264177041,0.05110720062649341,28748
single,trm_decoupled,accuracy,0.8991179691101892,0.012983417422407639,28910
single,trm_decoupled,train_accuracy,0.9983229549314311,0.0028227593627274507,28910
single,trm_decoupled,exact_match,0.5916303596127248,0.04164915905717863,28910
single,trm_decoupled,micro_f1,0.7147331547512779,0.03234577983611912,28910
single,trm_decoupled,macro_f1,0.7244244123448769,0.032581615307742395,28910
single,trm_decoupled,coherence_excess,0.06182846470172567,0.018404480467029753,28910
single,trm_decoupled,mean_wrong_per_row,0.6052921853388658,0.07790050453444589,28910
single,ff_matched,accuracy,0.9164983863531582,0.008223327466014925,28737
single,ff_matched,train_accuracy,0.9998615135990869,6.0696424687181075e-05,28737
single,ff_matched,exact_match,0.6581085753803597,0.032705179410309336,28737
single,ff_matched,micro_f1,0.7628034767961147,0.02303609982549459,28737
single,ff_matched,macro_f1,0.7711212482612415,0.024206764533100684,28737
single,ff_matched,coherence_excess,0.06482947428897567,0.015516436983374291,28737
single,ff_matched,mean_wrong_per_row,0.5010096818810511,0.04933996479608951,28737
single,untied_matched,accuracy,0.9090839672660213,0.00918030922421697,29318
single,untied_matched,train_accuracy,0.9989227703160377,0.002920157685882224,29318
single,untied_matched,exact_match,0.657667704011065,0.021497221743898048,29318
single,untied_matched,micro_f1,0.7455044506077837,0.023785838981526336,29318
single,untied_matched,macro_f1,0.7545796083289904,0.026069510791620468,29318
single,untied_matched,coherence_excess,0.09244739100689504,0.014449108513622183,29318
single,untied_matched,mean_wrong_per_row,0.5454961964038727,0.05508185534530203,29318
single,untied_stack,accuracy,0.9192577224527432,0.0071532535699701996,172168
single,untied_stack,train_accuracy,0.9972234543645037,0.008293921428826059,172168
single,untied_stack,exact_match,0.691713347164592,0.024469636230714287,172168
single,untied_stack,micro_f1,0.7744857477396525,0.02095694214336893,172168
single,untied_stack,macro_f1,0.7842067937082858,0.020893166442717888,172168
single,untied_stack,coherence_excess,0.08779563590338245,0.010790984393401353,172168
single,untied_stack,mean_wrong_per_row,0.4844536652835408,0.04291952141982111,172168
