config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
single,trm-trm_decoupled,accuracy,0.015712309820193626,0.013723327829899474,10,10,0,0.001953125
single,trm-trm_decoupled,exact_match,0.10384681881051172,0.04237097474662274,10,10,0,0.001953125
single,trm-trm_decoupled,micro_f1,0.04920409919350653,0.034779582023265844,10,10,0,0.001953125
single,trm-trm_decoupled,macro_f1,0.04780164486178928,0.03418941342158047,10,10,0,0.001953125
single,trm-trm_decoupled,coherence_excess,0.046769954108276654,0.021886031849232948,10,10,0,0.001953125
single,trm-ff_matched,accuracy,-0.0016681074227754777,0.006135636630492807,10,2,8,0.109375
single,trm-ff_matched,exact_match,0.03736860304287688,0.019555543022984286,10,9,1,0.021484375
single,trm-ff_matched,micro_f1,0.0011337771486696457,0.01607061004387537,10,5,5,1.0
single,trm-ff_matched,macro_f1,0.0011048089454246512,0.016434577386340965,10,4,6,0.75390625
single,trm-ff_matched,coherence_excess,0.043768944521026656,0.01853505207272124,10,10,0,0.001953125
single,trm-untied_matched,accuracy,0.005746311664361459,0.011264791910134127,10,5,4,1.0
single,trm-untied_matched,exact_match,0.03780947441217151,0.03159256507225341,10,9,1,0.021484375
single,trm-untied_matched,micro_f1,0.018432803337000737,0.03127527993850071,10,7,3,0.34375
single,trm-untied_matched,macro_f1,0.017646448877675837,0.031670355810846804,10,5,5,1.0
single,trm-untied_matched,coherence_excess,0.016151027803107287,0.01489071352697014,10,8,2,0.109375
single,trm_decoupled-ff_matched,accuracy,-0.017380417242969105,0.011203025356193183,10,0,10,0.001953125
single,trm_decoupled-ff_matched,exact_match,-0.06647821576763485,0.035302355763531586,10,0,10,0.001953125
single,trm_decoupled-ff_matched,micro_f1,-0.04807032204483689,0.027079681176841494,10,0,10,0.001953125
single,trm_decoupled-ff_matched,macro_f1,-0.04669683591636463,0.025291978371757534,10,0,10,0.001953125
single,trm_decoupled-ff_matched,coherence_excess,-0.003001009587250003,0.008508247674786026,10,4,6,0.75390625
