config,arm,metric,mean,std,n_params
single,baseline,accuracy,0.8210079529737205,0.003323972856303756,0
single,baseline,exact_match,0.1915179806362379,0.020208692844299343,0
single,trm,accuracy,0.9144844974642693,0.009026880031257428,73868
single,trm,train_accuracy,0.9997537952467856,0.00022302023160167538,73868
single,trm,exact_match,0.6962984094052558,0.02823796638044088,73868
single,trm,micro_f1,0.7609490850022533,0.024298928563249136,73868
single,trm,macro_f1,0.7682406957842307,0.024993632207499464,73868
single,trm,coherence_excess,0.11065157713599745,0.011189662565994109,73868
single,trm,mean_wrong_per_row,0.5130930152143846,0.05416128018754461,73868
single,trm_decoupled,accuracy,0.9052766251728906,0.008911400854423983,73582
single,trm_decoupled,train_accuracy,0.9995383478896562,0.0007762872777084945,73582
single,trm_decoupled,exact_match,0.6244553941908715,0.032197630444613365,73582
single,trm_decoupled,micro_f1,0.7298849402824964,0.02280595551923445,73582
single,trm_decoupled,macro_f1,0.7402948358835083,0.02582664953387927,73582
single,trm_decoupled,coherence_excess,0.07332664235288756,0.023841664061139745,73582
single,trm_decoupled,mean_wrong_per_row,0.5683402489626554,0.053468405126544105,73582
single,ff_matched,accuracy,0.918981673582296,0.0074033227938202885,73640
single,ff_matched,train_accuracy,0.9998769029496563,5.379598899142478e-05,73640
single,ff_matched,exact_match,0.6730325034578147,0.023472777725133055,73640
single,ff_matched,micro_f1,0.7692891209953294,0.021200437838976096,73640
single,ff_matched,macro_f1,0.7777825225790216,0.02378176414285611,73640
single,ff_matched,coherence_excess,0.07016644506558326,0.010930965735722907,73640
single,ff_matched,mean_wrong_per_row,0.4861099585062242,0.044419936762921636,73640
single,untied_matched,accuracy,0.9128915975103735,0.0077622962295435735,73832
single,untied_matched,train_accuracy,0.9998615135990869,6.0696424687181075e-05,73832
single,untied_matched,exact_match,0.6767704011065007,0.028786157872562463,73832
single,untied_matched,micro_f1,0.7569010274840893,0.02181729582734542,73832
single,untied_matched,macro_f1,0.7644436063207232,0.023961455519325908,73832
single,untied_matched,coherence_excess,0.09742733138886442,0.011596204266545859,73832
single,untied_matched,mean_wrong_per_row,0.5226504149377593,0.046573777377261524,73832
single,untied_stack,accuracy,0.923973317196865,0.007413717375053343,442568
single,untied_stack,train_accuracy,0.9998538260254868,6.735753334645213e-05,442568
single,untied_stack,exact_match,0.7112742047026279,0.02747808171204117,442568
single,untied_stack,micro_f1,0.7868784886852798,0.02052157967801254,442568
single,untied_stack,macro_f1,0.794304002762517,0.022417622621782776,442568
single,untied_stack,coherence_excess,0.08849509672297726,0.009562733455488642,442568
single,untied_stack,mean_wrong_per_row,0.4561600968188104,0.04448230425031993,442568
