config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
single,trm-trm_decoupled,accuracy,0.009207872291378493,0.00871388640522737,10,9,1,0.021484375
single,trm-trm_decoupled,exact_match,0.07184301521438452,0.03624000666362346,10,10,0,0.001953125
single,trm-trm_decoupled,micro_f1,0.03106414471975689,0.02273298286816618,10,9,1,0.021484375
single,trm-trm_decoupled,macro_f1,0.027945859900722392,0.02235038620815617,10,9,1,0.021484375
single,trm-trm_decoupled,coherence_excess,0.0373249347831099,0.020993617582963222,10,9,1,0.021484375
single,trm-ff_matched,accuracy,-0.004497176118026747,0.004945625498821551,10,1,9,0.021484375
single,trm-ff_matched,exact_match,0.023265905947441233,0.017421347487112333,10,9,1,0.021484375
single,trm-ff_matched,micro_f1,-0.008340035993076134,0.015384934543587758,10,3,7,0.34375
single,trm-ff_matched,macro_f1,-0.009541826794790941,0.014322035725998107,10,2,8,0.109375
single,trm-ff_matched,coherence_excess,0.040485132070414195,0.014612509296083542,10,10,0,0.001953125
single,trm-untied_matched,accuracy,0.0015928999538957988,0.006851423844892306,10,6,4,0.75390625
single,trm-untied_matched,exact_match,0.019528008298755194,0.014919532545400072,10,9,1,0.021484375
single,trm-untied_matched,micro_f1,0.0040480575181640055,0.019255896540607168,10,4,6,0.75390625
single,trm-untied_matched,macro_f1,0.0037970894635075414,0.02052672091233399,10,4,6,0.75390625
single,trm-untied_matched,coherence_excess,0.013224245747133035,0.017282495176434397,10,9,1,0.021484375
single,trm_decoupled-ff_matched,accuracy,-0.01370504840940524,0.0071691548867967025,10,0,10,0.001953125
single,trm_decoupled-ff_matched,exact_match,-0.04857710926694329,0.03376130235133311,10,1,8,0.0390625
single,trm_decoupled-ff_matched,micro_f1,-0.039404180712833026,0.01877808139104249,10,0,10,0.001953125
single,trm_decoupled-ff_matched,macro_f1,-0.037487686695513334,0.017147517714356308,10,0,10,0.001953125
single,trm_decoupled-ff_matched,coherence_excess,0.0031601972873043006,0.02282372327776971,10,6,4,0.75390625
