config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
single,trm-trm_decoupled,accuracy,0.027212838086093462,0.014159843190498091,10,9,1,0.021484375
single,trm-trm_decoupled,exact_match,0.059994513219711255,0.015261396263535584,10,10,0,0.001953125
single,trm-trm_decoupled,micro_f1,0.04299113983931713,0.024269557451935864,10,10,0,0.001953125
single,trm-trm_decoupled,macro_f1,0.05064649576467104,0.027839207305359794,10,10,0,0.001953125
single,trm-trm_decoupled,coherence_excess,0.05305304028848419,0.015416144652503043,10,10,0,0.001953125
single,trm-ff_matched,accuracy,-0.004109818887261396,0.01080706768106769,10,5,5,1.0
single,trm-ff_matched,exact_match,0.01944034841054834,0.01869314090501879,10,8,1,0.0390625
single,trm-ff_matched,micro_f1,-0.0042557862105226385,0.0192818721307308,10,5,5,1.0
single,trm-ff_matched,macro_f1,0.0036080421828843024,0.02445279030648437,10,5,5,1.0
single,trm-ff_matched,coherence_excess,0.0205260205766348,0.01850353364035705,10,8,2,0.109375
single,trm-untied_matched,accuracy,0.0076799002581726,0.013536298589379152,10,8,2,0.109375
single,trm-untied_matched,exact_match,0.02400123452556497,0.020790117452328245,10,8,1,0.0390625
single,trm-untied_matched,micro_f1,0.015138777120762236,0.026692735896121946,10,7,3,0.34375
single,trm-untied_matched,macro_f1,0.01641272203528716,0.021192805331833407,10,8,2,0.109375
single,trm-untied_matched,coherence_excess,0.02147375741165778,0.01942171365621023,10,8,2,0.109375
single,trm_decoupled-ff_matched,accuracy,-0.03132265697335486,0.008156238339121059,10,0,10,0.001953125
single,trm_decoupled-ff_matched,exact_match,-0.04055416480916292,0.02109171492235688,10,1,9,0.021484375
single,trm_decoupled-ff_matched,micro_f1,-0.047246926049839766,0.016507012318439634,10,0,10,0.001953125
single,trm_decoupled-ff_matched,macro_f1,-0.047038453581786745,0.01659075398983602,10,0,10,0.001953125
single,trm_decoupled-ff_matched,coherence_excess,-0.03252701971184939,0.021382775286603276,10,1,9,0.021484375
