config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
single,trm-trm_decoupled,accuracy,-0.004847227461335357,0.010421601540332188,10,3,7,0.34375
single,trm-trm_decoupled,exact_match,0.0177840266108844,0.026146111196320092,10,7,1,0.0703125
single,trm-trm_decoupled,micro_f1,-0.007073760490660075,0.010993723069788323,10,3,7,0.34375
single,trm-trm_decoupled,macro_f1,0.005925429655100284,0.01967331253499183,10,6,4,0.75390625
single,trm-trm_decoupled,coherence_excess,0.019641265035635087,0.023683215904030698,10,9,1,0.021484375
single,trm-ff_matched,accuracy,-0.007708558887359352,0.011172580168190933,10,3,7,0.34375
single,trm-ff_matched,exact_match,0.01738452042111039,0.019818017954496833,10,8,1,0.0390625
single,trm-ff_matched,micro_f1,-0.00931713240647215,0.017014645833322323,10,3,7,0.34375
single,trm-ff_matched,macro_f1,-0.0020218434033139276,0.02030917542316195,10,4,6,0.75390625
single,trm-ff_matched,coherence_excess,0.020415591184943755,0.017859062171294068,10,9,1,0.021484375
single,trm-untied_matched,accuracy,0.00155846605299641,0.00723817739331159,10,5,4,1.0
single,trm-untied_matched,exact_match,0.0210983848290525,0.02060540570550924,10,8,2,0.109375
single,trm-untied_matched,micro_f1,0.004452378334372275,0.012964893011744074,10,6,4,0.75390625
single,trm-untied_matched,macro_f1,0.01299562127165213,0.022118902031033623,10,6,4,0.75390625
single,trm-untied_matched,coherence_excess,0.02060959887258873,0.01998295394021141,10,8,2,0.109375
single,trm_decoupled-ff_matched,accuracy,-0.0028613314260239942,0.008800126412317063,10,1,8,0.0390625
single,trm_decoupled-ff_matched,exact_match,-0.00039950618977401263,0.024702862528293835,10,5,5,1.0
single,trm_decoupled-ff_matched,micro_f1,-0.0022433719158120756,0.016326329949372755,10,4,6,0.75390625
single,trm_decoupled-ff_matched,macro_f1,-0.007947273058414212,0.01159468471300737,10,1,9,0.021484375
single,trm_decoupled-ff_matched,coherence_excess,0.0007743261493086739,0.023815017680952774,10,5,5,1.0
