config,arm,metric,mean,std,n_params
single,baseline,accuracy,0.5613916666666666,0.000411003176521946,0
single,baseline,exact_match,0.024399999999999998,0.0018165902124584953,0
single,trm,accuracy,0.9671749999999999,0.004389302019936891,16624
single,trm,train_accuracy,0.9814208333333333,0.004835452121800226,16624
single,trm,exact_match,0.5883999999999999,0.04425833254879809,16624
single,trm,coherence_excess,0.13747694701223379,0.007860108402456871,16624
single,trm,mean_wrong_per_row,0.7878000000000001,0.10534324847848581,16624
single,trm_decoupled,accuracy,0.9188833333333333,0.022019431916932952,16634
single,trm_decoupled,train_accuracy,0.932925,0.024971805281712743,16634
single,trm_decoupled,exact_match,0.2552,0.08744541154343091,16634
single,trm_decoupled,coherence_excess,0.1061571316753908,0.005840398435825107,16634
single,trm_decoupled,mean_wrong_per_row,1.9468,0.5284663660063903,16634
single,ff_matched,accuracy,0.9690416666666668,0.0030928905933159424,16592
single,ff_matched,train_accuracy,0.9804187499999999,0.0019354884270873052,16592
single,ff_matched,exact_match,0.5635999999999999,0.033411076007815114,16592
single,ff_matched,coherence_excess,0.0924298212953796,0.009774569374910225,16592
single,ff_matched,mean_wrong_per_row,0.743,0.07422937423958254,16592
single,untied_matched,accuracy,0.9426500000000001,0.004126430728311782,17033
single,untied_matched,train_accuracy,0.9552541666666666,0.005201050115988847,17033
single,untied_matched,exact_match,0.3718,0.0157384878562078,17033
single,untied_matched,coherence_excess,0.12844225127683012,0.015125125642073672,17033
single,untied_matched,mean_wrong_per_row,1.3763999999999998,0.09903433747948243,17033
