config,arm,metric,mean,std,n_params
single,baseline,accuracy,0.5034666666666666,0.004035643660320674,0
single,baseline,exact_match,0.0158,0.004207136793592526,0
single,trm,accuracy,0.9716444444444443,0.005342237936748959,11538
single,trm,train_accuracy,0.9812111111111111,0.005338127185807029,11538
single,trm,exact_match,0.8224,0.03775314556431025,11538
single,trm,coherence_excess,0.049821877044779694,0.01408273461269888,11538
single,trm,mean_wrong_per_row,0.2552,0.04808014143074041,11538
single,trm_decoupled,accuracy,0.9472222222222222,0.01293621579181274,11456
single,trm_decoupled,train_accuracy,0.9560944444444444,0.014695449976098044,11456
single,trm_decoupled,exact_match,0.6302,0.0790993046745671,11456
single,trm_decoupled,coherence_excess,0.013068566241987534,0.009342921440976674,11456
single,trm_decoupled,mean_wrong_per_row,0.475,0.11642594212631478,11456
single,ff_matched,accuracy,0.9705999999999999,0.0077827761716672585,11518
single,ff_matched,train_accuracy,0.9838333333333333,0.004621891681557393,11518
single,ff_matched,exact_match,0.7926,0.0573872808207533,11518
single,ff_matched,coherence_excess,0.02669836193986732,0.006594497441759505,11518
single,ff_matched,mean_wrong_per_row,0.2646,0.0700449855450053,11518
single,untied_matched,accuracy,0.8214666666666666,0.02132572202184693,11439
single,untied_matched,train_accuracy,0.8410722222222222,0.017457572024415488,11439
single,untied_matched,exact_match,0.1972,0.03890629769073383,11439
single,untied_matched,coherence_excess,0.023457751754891648,0.009113276561863138,11439
single,untied_matched,mean_wrong_per_row,1.6067999999999998,0.1919314981966222,11439
