config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
single,trm_nods-trm_decoupled_nods,accuracy,0.15896354166666665,0.08183060088269797,8,8,0,0.0078125
single,trm_nods-trm_decoupled_nods,exact_match,0.22262500000000002,0.04592210018840913,8,8,0,0.0078125
single,trm_nods-trm_decoupled_nods,coherence_excess,0.05895438422360583,0.100957326840665,8,5,3,0.7265625
single,trm_stepDS-trm_decoupled_stepDS,accuracy,0.03244270833333335,0.010918868768718308,8,8,0,0.0078125
single,trm_stepDS-trm_decoupled_stepDS,exact_match,0.12674999999999997,0.03441656577870604,8,8,0,0.0078125
single,trm_stepDS-trm_decoupled_stepDS,coherence_excess,-0.00854373690585454,0.03076914166090848,8,2,6,0.2890625
single,trm_nods-ff_matched,accuracy,-0.02482291666666664,0.01272419482437189,8,0,8,0.0078125
single,trm_nods-ff_matched,exact_match,-0.1285,0.11832642501632026,8,1,7,0.0703125
single,trm_nods-ff_matched,coherence_excess,0.022123397646539228,0.0748027935671599,8,4,4,1.0
single,trm_nods-untied_matched,accuracy,0.13067187500000002,0.036230998286759346,8,8,0,0.0078125
single,trm_nods-untied_matched,exact_match,0.243625,0.08251742240278716,8,8,0,0.0078125
single,trm_nods-untied_matched,coherence_excess,0.07694767417307057,0.12742105185987077,8,6,2,0.2890625
single,trm_decoupled_nods-ff_matched,accuracy,-0.1837864583333333,0.0806643712701631,8,0,8,0.0078125
single,trm_decoupled_nods-ff_matched,exact_match,-0.351125,0.08323364275167996,8,0,8,0.0078125
single,trm_decoupled_nods-ff_matched,coherence_excess,-0.0368309865770666,0.04084359180757109,8,1,7,0.0703125
single,trm_decoupled_nods-untied_matched,accuracy,-0.028291666666666646,0.04769738125485955,8,2,6,0.2890625
single,trm_decoupled_nods-untied_matched,exact_match,0.020999999999999998,0.03946064947695181,8,6,1,0.125
single,trm_decoupled_nods-untied_matched,coherence_excess,0.017993289949464725,0.028596682390836247,8,7,1,0.0703125
