config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
n_givens=30,trm_act-ff_matched,accuracy,0.0011481481481481388,0.003969265281185923,6,4,2,0.6875
n_givens=30,trm_act-ff_matched,exact_match,0.016500000000000004,0.0727722474573927,6,4,2,0.6875
n_givens=30,trm_act-ff_matched,coherence_excess,-0.0073699308252937095,0.01183797870244013,6,2,4,0.6875
n_givens=30,trm_act-trm_seg,accuracy,-0.003310185185185166,0.003924555359994632,6,0,6,0.03125
n_givens=30,trm_act-trm_seg,exact_match,-0.05650000000000002,0.06973377947594694,6,1,5,0.21875
n_givens=30,trm_act-trm_seg,coherence_excess,0.0020679294882496404,0.00920287883831834,6,3,3,1.0
n_givens=30,trm_seg-ff_matched,accuracy,0.004458333333333305,0.0009220381342372463,6,6,0,0.03125
n_givens=30,trm_seg-ff_matched,exact_match,0.07300000000000002,0.02228901074520806,6,6,0,0.03125
n_givens=30,trm_seg-ff_matched,coherence_excess,-0.00943786031354335,0.007109460781065052,6,1,5,0.21875
n_givens=24,trm_act-ff_matched,accuracy,-0.005997685185185175,0.000888689937226004,6,0,6,0.03125
n_givens=24,trm_act-ff_matched,exact_match,-0.026416666666666668,0.012154902988780558,6,0,6,0.03125
n_givens=24,trm_act-ff_matched,coherence_excess,0.001261860295594661,0.00933571874809085,6,4,2,0.6875
n_givens=24,trm_act-trm_seg,accuracy,-0.000300925925925936,0.001110439611904766,6,3,3,1.0
n_givens=24,trm_act-trm_seg,exact_match,-0.0029166666666666716,0.011429858558471605,6,3,3,1.0
n_givens=24,trm_act-trm_seg,coherence_excess,-0.0016776912849417087,0.008340803963649127,6,3,3,1.0
n_givens=24,trm_seg-ff_matched,accuracy,-0.005696759259259239,0.0013097867801535503,6,0,6,0.03125
n_givens=24,trm_seg-ff_matched,exact_match,-0.023499999999999993,0.02034944716693797,6,1,5,0.21875
n_givens=24,trm_seg-ff_matched,coherence_excess,0.0029395515805363697,0.014828052667793726,6,4,2,0.6875
n_givens=18,trm_act-ff_matched,accuracy,-0.016479166666666673,0.0007507583614479237,6,0,6,0.03125
n_givens=18,trm_act-ff_matched,exact_match,-0.0009166666666666669,0.0020103896803024698,6,1,4,0.375
n_givens=18,trm_act-ff_matched,coherence_excess,0.0019178228161503598,0.0019659341432209485,6,5,1,0.21875
n_givens=18,trm_act-trm_seg,accuracy,-0.00012500000000000475,0.0023627445330367636,6,3,3,1.0
n_givens=18,trm_act-trm_seg,exact_match,0.0008333333333333334,0.0012909944487358054,6,3,1,0.625
n_givens=18,trm_act-trm_seg,coherence_excess,0.0008561123631886108,0.0013521266062768845,6,4,2,0.6875
n_givens=18,trm_seg-ff_matched,accuracy,-0.01635416666666667,0.0021017289693235587,6,0,6,0.03125
n_givens=18,trm_seg-ff_matched,exact_match,-0.0017499999999999998,0.002115419580130618,6,1,5,0.21875
n_givens=18,trm_seg-ff_matched,coherence_excess,0.001061710452961749,0.0020114525934651515,6,3,3,1.0
