config,arm,metric,mean,std,n_params
n_givens=20,baseline,accuracy,0.16666666666666666,0.0,0
n_givens=20,baseline,exact_match,0.0025,0.0,0
n_givens=20,trm,accuracy,0.5824305555555556,0.0032426726219315924,52440
n_givens=20,trm,train_accuracy,0.6401111111111111,0.005533941287440566,52440
n_givens=20,trm,exact_match,0.0,0.0,52440
n_givens=20,trm,coherence_excess,-3.593428989303229e-09,7.109920677007049e-10,52440
n_givens=20,trm,mean_wrong_per_row,15.032499999999999,0.11673621438953721,52440
n_givens=20,ff_matched,accuracy,0.7150416666666667,0.0028867931099883994,52575
n_givens=20,ff_matched,train_accuracy,0.8022600000000001,0.0032505707001299305,52575
n_givens=20,ff_matched,exact_match,0.0,0.0,52575
n_givens=20,ff_matched,coherence_excess,-5.748843105468506e-06,8.669019602677538e-07,52575
n_givens=20,ff_matched,mean_wrong_per_row,10.2585,0.10392455195958213,52575
n_givens=20,untied_matched,accuracy,0.31272222222222223,0.00885340410659603,52425
n_givens=20,untied_matched,train_accuracy,0.3441288888888889,0.00690495706711964,52425
n_givens=20,untied_matched,exact_match,0.0,0.0,52425
n_givens=20,untied_matched,coherence_excess,-9.923145625768098e-19,9.964247665489704e-19,52425
n_givens=20,untied_matched,mean_wrong_per_row,24.742,0.31872254783745657,52425
n_givens=20,trm_decoupled,accuracy,0.16666666666666666,0.0,52330
n_givens=20,trm_decoupled,train_accuracy,0.16666666666666666,0.0,52330
n_givens=20,trm_decoupled,exact_match,0.0,0.0,52330
n_givens=20,trm_decoupled,coherence_excess,-9.695160123193132e-29,0.0,52330
n_givens=20,trm_decoupled,mean_wrong_per_row,30.0,0.0,52330
n_givens=28,baseline,accuracy,0.16666666666666666,0.0,0
n_givens=28,baseline,exact_match,0.0025,0.0,0
n_givens=28,trm,accuracy,0.6786736111111111,0.0072002537142369415,52440
n_givens=28,trm,train_accuracy,0.7215444444444443,0.0068636050348249295,52440
n_givens=28,trm,exact_match,0.0,0.0,52440
n_givens=28,trm,coherence_excess,-9.25190613853473e-07,3.931538568587749e-07,52440
n_givens=28,trm,mean_wrong_per_row,11.56775,0.2592091337125296,52440
n_givens=28,ff_matched,accuracy,0.8647013888888889,0.0037420021451105806,52575
n_givens=28,ff_matched,train_accuracy,0.9280844444444444,0.0027214352603990304,52575
n_givens=28,ff_matched,exact_match,0.0032500000000000003,0.002270737765573119,52575
n_givens=28,ff_matched,coherence_excess,-0.0021345861343809716,0.0023501307080402985,52575
n_givens=28,ff_matched,mean_wrong_per_row,4.870749999999999,0.13471207722398176,52575
n_givens=28,untied_matched,accuracy,0.3383888888888889,0.008545109965412247,52425
n_givens=28,untied_matched,train_accuracy,0.3625333333333333,0.007032363457790651,52425
n_givens=28,untied_matched,exact_match,0.0,0.0,52425
n_givens=28,untied_matched,coherence_excess,-1.4304792172494823e-17,7.591061460308159e-18,52425
n_givens=28,untied_matched,mean_wrong_per_row,23.818,0.3076239587548403,52425
n_givens=28,trm_decoupled,accuracy,0.16666666666666666,0.0,52330
n_givens=28,trm_decoupled,train_accuracy,0.16666666666666666,0.0,52330
n_givens=28,trm_decoupled,exact_match,0.0,0.0,52330
n_givens=28,trm_decoupled,coherence_excess,-9.695160123193132e-29,0.0,52330
n_givens=28,trm_decoupled,mean_wrong_per_row,30.0,0.0,52330
