config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
n_givens=20,trm-ff_matched,accuracy,-0.13261111111111112,0.004193446924247575,5,0,5,0.0625
n_givens=20,trm-ff_matched,exact_match,0.0,0.0,5,0,0,1.0
n_givens=20,trm-ff_matched,coherence_excess,5.745249676479203e-06,8.669044938980404e-07,5,5,0,0.0625
n_givens=20,trm-untied_matched,accuracy,0.2697083333333333,0.009639266623242165,5,5,0,0.0625
n_givens=20,trm-untied_matched,exact_match,0.0,0.0,5,0,0,1.0
n_givens=20,trm-untied_matched,coherence_excess,-3.5934289883109136e-09,7.109920675160238e-10,5,0,5,0.0625
n_givens=20,trm-trm_decoupled,accuracy,0.41576388888888893,0.0032426726219315924,5,5,0,0.0625
n_givens=20,trm-trm_decoupled,exact_match,0.0,0.0,5,0,0,1.0
n_givens=20,trm-trm_decoupled,coherence_excess,-3.593428989303229e-09,7.109920677007049e-10,5,0,5,0.0625
n_givens=28,trm-ff_matched,accuracy,-0.18602777777777774,0.007058336886176907,5,0,5,0.0625
n_givens=28,trm-ff_matched,exact_match,-0.0032500000000000003,0.002270737765573119,5,0,4,0.125
n_givens=28,trm-ff_matched,coherence_excess,0.002133660943767118,0.0023503994571455293,5,4,1,0.375
n_givens=28,trm-untied_matched,accuracy,0.3402847222222222,0.009768194877910617,5,5,0,0.0625
n_givens=28,trm-untied_matched,exact_match,0.0,0.0,5,0,0,1.0
n_givens=28,trm-untied_matched,coherence_excess,-9.251906138391683e-07,3.931538568579508e-07,5,0,5,0.0625
n_givens=28,trm-trm_decoupled,accuracy,0.5120069444444445,0.0072002537142369415,5,5,0,0.0625
n_givens=28,trm-trm_decoupled,exact_match,0.0,0.0,5,0,0,1.0
n_givens=28,trm-trm_decoupled,coherence_excess,-9.25190613853473e-07,3.931538568587749e-07,5,0,5,0.0625
