config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
n_givens=24,trm_mixer-ff_matched,accuracy,0.12185648148148148,0.0011305817177790038,6,6,0,0.03125
n_givens=24,trm_mixer-ff_matched,exact_match,0.9623333333333334,0.007339391437078877,6,6,0,0.03125
n_givens=24,trm_mixer-ff_matched,coherence_excess,0.006576478632723218,0.0054476104690356995,6,6,0,0.03125
n_givens=24,trm_mixer-trm_flat,accuracy,0.12503240740740743,0.002280988026842923,6,6,0,0.03125
n_givens=24,trm_mixer-trm_flat,exact_match,0.9645000000000001,0.008215838362577499,6,6,0,0.03125
n_givens=24,trm_mixer-trm_flat,coherence_excess,0.0076653742188057565,0.006920788074101125,6,5,1,0.21875
n_givens=24,trm_flat-ff_matched,accuracy,-0.0031759259259259522,0.0025263223323141377,6,1,5,0.21875
n_givens=24,trm_flat-ff_matched,exact_match,-0.002166666666666666,0.003188521078284832,6,1,4,0.375
n_givens=24,trm_flat-ff_matched,coherence_excess,-0.0010888955860825372,0.003550971668766915,6,3,3,1.0
n_givens=18,trm_mixer-ff_matched,accuracy,0.2371481481481482,0.0021053772034303852,6,6,0,0.03125
n_givens=18,trm_mixer-ff_matched,exact_match,0.9551666666666668,0.02178455110087571,6,6,0,0.03125
n_givens=18,trm_mixer-ff_matched,coherence_excess,0.04690774746684201,0.014366505355819528,6,6,0,0.03125
n_givens=18,trm_mixer-trm_flat,accuracy,0.2386435185185185,0.0021432075208355993,6,6,0,0.03125
n_givens=18,trm_mixer-trm_flat,exact_match,0.9550000000000001,0.021734764779035416,6,6,0,0.03125
n_givens=18,trm_mixer-trm_flat,coherence_excess,0.046737773686997726,0.014440250881566113,6,6,0,0.03125
n_givens=18,trm_flat-ff_matched,accuracy,-0.0014953703703703598,0.003766954129749674,6,2,4,0.6875
n_givens=18,trm_flat-ff_matched,exact_match,0.00016666666666666666,0.00040824829046386303,6,1,0,1.0
n_givens=18,trm_flat-ff_matched,coherence_excess,0.00016997377984427265,0.0004106501246318916,6,4,2,0.6875
n_givens=14,trm_mixer-ff_matched,accuracy,0.32241203703703697,0.002526184886801538,6,6,0,0.03125
n_givens=14,trm_mixer-ff_matched,exact_match,0.8931666666666667,0.01858404333471775,6,6,0,0.03125
n_givens=14,trm_mixer-ff_matched,coherence_excess,0.13795247795980173,0.013726125862509946,6,6,0,0.03125
n_givens=14,trm_mixer-trm_flat,accuracy,0.323537037037037,0.0022992662991492096,6,6,0,0.03125
n_givens=14,trm_mixer-trm_flat,exact_match,0.8931666666666667,0.01858404333471775,6,6,0,0.03125
n_givens=14,trm_mixer-trm_flat,coherence_excess,0.13795244536156012,0.013726156132984028,6,6,0,0.03125
n_givens=14,trm_flat-ff_matched,accuracy,-0.0011250000000000242,0.0032450223039428303,6,2,4,0.6875
n_givens=14,trm_flat-ff_matched,exact_match,0.0,0.0,6,0,0,1.0
n_givens=14,trm_flat-ff_matched,coherence_excess,3.259824163116423e-08,9.51505149441727e-08,6,4,2,0.6875
