config,arm,metric,mean,std,n_params
n_givens=30,baseline,accuracy,0.16666666666666666,0.0,0
n_givens=30,baseline,exact_match,0.001,0.0,0
n_givens=30,trm,accuracy,0.985203125,0.003296932007894982,121048
n_givens=30,trm,train_accuracy,0.9949322916666667,0.0019584116062822178,121048
n_givens=30,trm,exact_match,0.5975,0.05902481318419035,121048
n_givens=30,trm,coherence_excess,0.009447060448460283,0.005749311041973898,121048
n_givens=30,trm,mean_wrong_per_row,0.5326875,0.11868955228421989,121048
n_givens=30,ff_matched,accuracy,0.9816371527777777,0.00046590295004692804,120552
n_givens=30,ff_matched,train_accuracy,0.9985451388888889,0.0003039363437237348,120552
n_givens=30,ff_matched,exact_match,0.5193125000000001,0.01309563040537895,120552
n_givens=30,ff_matched,coherence_excess,0.006109058964183678,0.00562027871473636,120552
n_givens=30,ff_matched,mean_wrong_per_row,0.6610625,0.016772506201689578,120552
n_givens=30,untied_matched,accuracy,0.33327430555555554,0.012332803215941593,116426
n_givens=30,untied_matched,train_accuracy,0.3389364149305556,0.011810085095454849,116426
n_givens=30,untied_matched,exact_match,0.0,0.0,116426
n_givens=30,untied_matched,coherence_excess,-1.359565281178632e-17,1.8806570755471787e-17,116426
n_givens=30,untied_matched,mean_wrong_per_row,24.002125,0.4439809157738969,116426
n_givens=28,baseline,accuracy,0.16666666666666666,0.0,0
n_givens=28,baseline,exact_match,0.001,0.0,0
n_givens=28,trm,accuracy,0.9728802083333333,0.008055887163056991,121048
n_givens=28,trm,train_accuracy,0.986669921875,0.00814182880815276,121048
n_givens=28,trm,exact_match,0.3911875,0.09229492227945929,121048
n_givens=28,trm,coherence_excess,0.0074701477596935545,0.006873484360062375,121048
n_givens=28,trm,mean_wrong_per_row,0.9763125000000001,0.29001193787005186,121048
n_givens=28,ff_matched,accuracy,0.9752083333333335,0.000360958453691003,120552
n_givens=28,ff_matched,train_accuracy,0.9960295138888888,0.0004664571347914994,120552
n_givens=28,ff_matched,exact_match,0.41193749999999996,0.008629010454772391,120552
n_givens=28,ff_matched,coherence_excess,0.0068589053183039025,0.0040972756989748945,120552
n_givens=28,ff_matched,mean_wrong_per_row,0.8925000000000001,0.01299450433287636,120552
n_givens=28,untied_matched,accuracy,0.3281684027777778,0.014406775970554292,116426
n_givens=28,untied_matched,train_accuracy,0.33371223958333335,0.01404042897826185,116426
n_givens=28,untied_matched,exact_match,0.0,0.0,116426
n_givens=28,untied_matched,coherence_excess,-7.866895913302425e-18,8.733355338215054e-18,116426
n_givens=28,untied_matched,mean_wrong_per_row,24.1859375,0.5186439349399555,116426
