config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
n_givens=30,trm-ff_matched,accuracy,0.0035659722222222273,0.0033003973860194014,8,7,1,0.0703125
n_givens=30,trm-ff_matched,exact_match,0.07818750000000003,0.05917222894712882,8,7,1,0.0703125
n_givens=30,trm-ff_matched,coherence_excess,0.003338001484276605,0.008902941443264766,8,4,4,1.0
n_givens=30,trm-untied_matched,accuracy,0.6519288194444444,0.012803847709815436,8,8,0,0.0078125
n_givens=30,trm-untied_matched,exact_match,0.5975,0.05902481318419035,8,8,0,0.0078125
n_givens=30,trm-untied_matched,coherence_excess,0.009447060448460297,0.005749311041973896,8,8,0,0.0078125
n_givens=28,trm-ff_matched,accuracy,-0.002328125000000014,0.008027509804598099,8,5,3,0.7265625
n_givens=28,trm-ff_matched,exact_match,-0.02074999999999999,0.0930142078240892,8,5,3,0.7265625
n_givens=28,trm-ff_matched,coherence_excess,0.000611242441389652,0.00700631175745291,8,5,3,0.7265625
n_givens=28,trm-untied_matched,accuracy,0.6447118055555556,0.01813969368824002,8,8,0,0.0078125
n_givens=28,trm-untied_matched,exact_match,0.3911875,0.09229492227945929,8,8,0,0.0078125
n_givens=28,trm-untied_matched,coherence_excess,0.007470147759693561,0.006873484360062369,8,7,1,0.0703125
