config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
w=24,trm_mixer-ff_matched,accuracy,0.022343750000000037,0.002213073304791548,8,8,0,0.0078125
w=24,trm_mixer-ff_matched,exact_match,0.34524999999999995,0.03052750516220694,8,8,0,0.0078125
w=24,trm_mixer-ff_matched,coherence_excess,-0.060886673561189236,0.016204607337525347,8,0,8,0.0078125
w=24,trm_mixer-trm_flat,accuracy,0.017057291666666682,0.0046151459535554214,8,8,0,0.0078125
w=24,trm_mixer-trm_flat,exact_match,0.203625,0.05107959475172057,8,8,0,0.0078125
w=24,trm_mixer-trm_flat,coherence_excess,-0.12247593591763814,0.0273676192741885,8,0,8,0.0078125
w=24,trm_flat-ff_matched,accuracy,0.005286458333333355,0.0034295226700005762,8,7,1,0.0703125
w=24,trm_flat-ff_matched,exact_match,0.14162499999999997,0.04198277708094797,8,8,0,0.0078125
w=24,trm_flat-ff_matched,coherence_excess,0.061589262356448904,0.017045449914484874,8,8,0,0.0078125
w=32,trm_mixer-ff_matched,accuracy,0.04814062499999999,0.005923409031425368,8,8,0,0.0078125
w=32,trm_mixer-ff_matched,exact_match,0.67625,0.03157191337701462,8,8,0,0.0078125
w=32,trm_mixer-ff_matched,coherence_excess,-0.07007699083198354,0.017785960681792275,8,0,8,0.0078125
w=32,trm_mixer-trm_flat,accuracy,0.03616015624999999,0.005289721056542282,8,8,0,0.0078125
w=32,trm_mixer-trm_flat,exact_match,0.538125,0.04851932604643227,8,8,0,0.0078125
w=32,trm_mixer-trm_flat,coherence_excess,-0.11298388471190957,0.022956173753201293,8,0,8,0.0078125
w=32,trm_flat-ff_matched,accuracy,0.01198046875,0.007241488567175027,8,8,0,0.0078125
w=32,trm_flat-ff_matched,exact_match,0.138125,0.05155423635080134,8,8,0,0.0078125
w=32,trm_flat-ff_matched,coherence_excess,0.04290689387992602,0.013233916401773935,8,8,0,0.0078125
w=48,trm_mixer-ff_matched,accuracy,0.10882291666666666,0.0071034727701896295,8,8,0,0.0078125
w=48,trm_mixer-ff_matched,exact_match,0.941875,0.020642795353343013,8,8,0,0.0078125
w=48,trm_mixer-ff_matched,coherence_excess,0.039372518784019456,0.03346129333047934,8,7,1,0.0703125
w=48,trm_mixer-trm_flat,accuracy,0.06376041666666668,0.00348811047453199,8,8,0,0.0078125
w=48,trm_mixer-trm_flat,exact_match,0.8592500000000001,0.026380458135304853,8,8,0,0.0078125
w=48,trm_mixer-trm_flat,coherence_excess,-0.008462074830365113,0.03256027046350609,8,2,6,0.2890625
w=48,trm_flat-ff_matched,accuracy,0.04506249999999998,0.0074390712959368655,8,8,0,0.0078125
w=48,trm_flat-ff_matched,exact_match,0.082625,0.019747965537167185,8,8,0,0.0078125
w=48,trm_flat-ff_matched,coherence_excess,0.047834593614384566,0.013049047426567883,8,8,0,0.0078125
