config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
T=4,trm_mixer-ff_matched,accuracy,0.23826562499999998,0.014541128341447948,8,8,0,0.0078125
T=4,trm_mixer-ff_matched,exact_match,0.108875,0.07153707829810058,8,8,0,0.0078125
T=4,trm_mixer-ff_matched,coherence_excess,0.009296762085650051,0.007340429190948643,8,7,1,0.0703125
T=4,trm_mixer-trm_flat,accuracy,0.2419427083333333,0.02462202300009208,8,8,0,0.0078125
T=4,trm_mixer-trm_flat,exact_match,0.10899999999999999,0.07187886635563634,8,8,0,0.0078125
T=4,trm_mixer-trm_flat,coherence_excess,0.009414686144784797,0.0073202619810390284,8,7,1,0.0703125
T=4,trm_flat-ff_matched,accuracy,-0.003677083333333331,0.011513444306617663,8,4,4,1.0
T=4,trm_flat-ff_matched,exact_match,-0.000125,0.0003535533905932738,8,0,1,1.0
T=4,trm_flat-ff_matched,coherence_excess,-0.00011792405913474523,0.00033886649301077983,8,3,5,0.7265625
T=8,trm_mixer-ff_matched,accuracy,0.016057291666666668,0.02055368186105924,8,7,1,0.0703125
T=8,trm_mixer-ff_matched,exact_match,0.0,0.0,8,0,0,1.0
T=8,trm_mixer-ff_matched,coherence_excess,-1.0015030966719121e-06,1.6569264367592227e-06,8,1,7,0.0703125
T=8,trm_mixer-trm_flat,accuracy,0.03276562500000001,0.01761763098089432,8,8,0,0.0078125
T=8,trm_mixer-trm_flat,exact_match,0.0,0.0,8,0,0,1.0
T=8,trm_mixer-trm_flat,coherence_excess,-1.3078940294135893e-06,1.5987738308482626e-06,8,0,8,0.0078125
T=8,trm_flat-ff_matched,accuracy,-0.01670833333333334,0.003841476857205398,8,0,8,0.0078125
T=8,trm_flat-ff_matched,exact_match,0.0,0.0,8,0,0,1.0
T=8,trm_flat-ff_matched,coherence_excess,3.0639093274167706e-07,7.458822746478778e-08,8,8,0,0.0078125
T=12,trm_mixer-ff_matched,accuracy,-0.00045312499999999867,0.003931547055801878,8,4,4,1.0
T=12,trm_mixer-ff_matched,exact_match,0.0,0.0,8,0,0,1.0
T=12,trm_mixer-ff_matched,coherence_excess,2.752322509816982e-09,4.640302018492459e-08,8,4,4,1.0
T=12,trm_mixer-trm_flat,accuracy,0.005364583333333298,0.004389389601234862,8,7,1,0.0703125
T=12,trm_mixer-trm_flat,exact_match,0.0,0.0,8,0,0,1.0
T=12,trm_mixer-trm_flat,coherence_excess,-6.572267872976753e-08,5.172490100578951e-08,8,1,7,0.0703125
T=12,trm_flat-ff_matched,accuracy,-0.005817708333333296,0.0022972267506817124,8,0,8,0.0078125
T=12,trm_flat-ff_matched,exact_match,0.0,0.0,8,0,0,1.0
T=12,trm_flat-ff_matched,coherence_excess,6.84750012395845e-08,3.817924770336594e-08,8,8,0,0.0078125
