config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
w=24,trm_mixer-trm_flat,accuracy,0.017057291666666682,0.0046151459535554214,8,8,0,0.0078125
w=24,trm_mixer-trm_flat,exact_match,0.203625,0.05107959475172057,8,8,0,0.0078125
w=24,trm_mixer-trm_flat,coherence_excess,-0.12247593591763814,0.0273676192741885,8,0,8,0.0078125
w=24,trm_flat-trm_decoupled,accuracy,0.06544791666666668,0.010314757448925207,8,8,0,0.0078125
w=24,trm_flat-trm_decoupled,exact_match,0.5771249999999999,0.07120681648750846,8,8,0,0.0078125
w=24,trm_flat-trm_decoupled,coherence_excess,0.05747797662492266,0.018793201351416548,8,8,0,0.0078125
w=24,trm_mixer-trm_decoupled,accuracy,0.08250520833333336,0.007710969224356162,8,8,0,0.0078125
w=24,trm_mixer-trm_decoupled,exact_match,0.78075,0.03354634321140148,8,8,0,0.0078125
w=24,trm_mixer-trm_decoupled,coherence_excess,-0.06499795929271548,0.026154000949049093,8,0,8,0.0078125
w=24,trm_flat-untied_matched,accuracy,0.08707291666666668,0.015221084836867268,8,8,0,0.0078125
w=24,trm_flat-untied_matched,exact_match,0.5988749999999999,0.06567547378696902,8,8,0,0.0078125
w=24,trm_flat-untied_matched,coherence_excess,0.027704561075798738,0.026367247425546837,8,6,2,0.2890625
w=24,trm_mixer-untied_matched,accuracy,0.10413020833333336,0.013748871481466725,8,8,0,0.0078125
w=24,trm_mixer-untied_matched,exact_match,0.8025,0.04822862220714998,8,8,0,0.0078125
w=24,trm_mixer-untied_matched,coherence_excess,-0.0947713748418394,0.014467781473268734,8,0,8,0.0078125
w=24,trm_flat-ff_matched,accuracy,0.005286458333333355,0.0034295226700005762,8,7,1,0.0703125
w=24,trm_flat-ff_matched,exact_match,0.14162499999999997,0.04198277708094797,8,8,0,0.0078125
w=24,trm_flat-ff_matched,coherence_excess,0.061589262356448904,0.017045449914484874,8,8,0,0.0078125
w=32,trm_mixer-trm_flat,accuracy,0.03616015624999999,0.005289721056542282,8,8,0,0.0078125
w=32,trm_mixer-trm_flat,exact_match,0.538125,0.04851932604643227,8,8,0,0.0078125
w=32,trm_mixer-trm_flat,coherence_excess,-0.11298388471190957,0.022956173753201293,8,0,8,0.0078125
w=32,trm_flat-trm_decoupled,accuracy,0.07961718750000002,0.010742726853342969,8,8,0,0.0078125
w=32,trm_flat-trm_decoupled,exact_match,0.378,0.051227782640728414,8,8,0,0.0078125
w=32,trm_flat-trm_decoupled,coherence_excess,0.10368205015177528,0.015501780750518973,8,8,0,0.0078125
w=32,trm_mixer-trm_decoupled,accuracy,0.11577734375000001,0.0071857225577846694,8,8,0,0.0078125
w=32,trm_mixer-trm_decoupled,exact_match,0.916125,0.017447369838623647,8,8,0,0.0078125
w=32,trm_mixer-trm_decoupled,coherence_excess,-0.009301834560134283,0.01238177632290483,8,2,6,0.2890625
w=32,trm_flat-untied_matched,accuracy,0.10055468750000002,0.006307409324627125,8,8,0,0.0078125
w=32,trm_flat-untied_matched,exact_match,0.38249999999999995,0.04539037028143431,8,8,0,0.0078125
w=32,trm_flat-untied_matched,coherence_excess,0.09802721566889151,0.016318503053979617,8,8,0,0.0078125
w=32,trm_mixer-untied_matched,accuracy,0.13671484375,0.005817284836922111,8,8,0,0.0078125
w=32,trm_mixer-untied_matched,exact_match,0.9206249999999999,0.015193396121811783,8,8,0,0.0078125
w=32,trm_mixer-untied_matched,coherence_excess,-0.01495666904301806,0.010423379936256385,8,1,7,0.0703125
w=32,trm_flat-ff_matched,accuracy,0.01198046875,0.007241488567175027,8,8,0,0.0078125
w=32,trm_flat-ff_matched,exact_match,0.138125,0.05155423635080134,8,8,0,0.0078125
w=32,trm_flat-ff_matched,coherence_excess,0.04290689387992602,0.013233916401773935,8,8,0,0.0078125
w=48,trm_mixer-trm_flat,accuracy,0.06376041666666668,0.00348811047453199,8,8,0,0.0078125
w=48,trm_mixer-trm_flat,exact_match,0.8592500000000001,0.026380458135304853,8,8,0,0.0078125
w=48,trm_mixer-trm_flat,coherence_excess,-0.008462074830365113,0.03256027046350609,8,2,6,0.2890625
w=48,trm_flat-trm_decoupled,accuracy,0.07044791666666665,0.0047532622465131435,8,8,0,0.0078125
w=48,trm_flat-trm_decoupled,exact_match,0.09425,0.018242415253625664,8,8,0,0.0078125
w=48,trm_flat-trm_decoupled,coherence_excess,0.056573295912197535,0.012179779874183014,8,8,0,0.0078125
w=48,trm_mixer-trm_decoupled,accuracy,0.13420833333333332,0.0037277281742731615,8,8,0,0.0078125
w=48,trm_mixer-trm_decoupled,exact_match,0.9535,0.019471591027516392,8,8,0,0.0078125
w=48,trm_mixer-trm_decoupled,coherence_excess,0.04811122108183242,0.03161391446314115,8,8,0,0.0078125
w=48,trm_flat-untied_matched,accuracy,0.12037760416666667,0.007085980225869141,8,8,0,0.0078125
w=48,trm_flat-untied_matched,exact_match,0.099375,0.01663848808378591,8,8,0,0.0078125
w=48,trm_flat-untied_matched,coherence_excess,0.06085995256429694,0.011130960175688535,8,8,0,0.0078125
w=48,trm_mixer-untied_matched,accuracy,0.18413802083333336,0.006191210983319809,8,8,0,0.0078125
w=48,trm_mixer-untied_matched,exact_match,0.958625,0.01751682864317298,8,8,0,0.0078125
w=48,trm_mixer-untied_matched,coherence_excess,0.05239787773393183,0.03237219641784122,8,8,0,0.0078125
w=48,trm_flat-ff_matched,accuracy,0.04506249999999998,0.0074390712959368655,8,8,0,0.0078125
w=48,trm_flat-ff_matched,exact_match,0.082625,0.019747965537167185,8,8,0,0.0078125
w=48,trm_flat-ff_matched,coherence_excess,0.047834593614384566,0.013049047426567883,8,8,0,0.0078125
