config,arm,metric,mean,std,n_params
w=24,baseline,accuracy,0.5025625,0.0014025911395563278,0
w=24,baseline,exact_match,0.01925,0.015049916943292411,0
w=24,trm_mixer,accuracy,0.976453125,0.008438604057689878,16842
w=24,trm_mixer,train_accuracy,0.9864947916666666,0.0052146598480964385,16842
w=24,trm_mixer,exact_match,0.7104999999999999,0.06015931230609987,16842
w=24,trm_mixer,coherence_excess,0.13614065493326308,0.054891862637172,16842
w=24,trm_mixer,mean_wrong_per_row,0.5651250000000001,0.20252649738455744,16842
w=24,trm_flat,accuracy,0.9133854166666666,0.011479207177354834,16176
w=24,trm_flat,train_accuracy,0.9360794270833334,0.007913243185017953,16176
w=24,trm_flat,exact_match,0.214875,0.034211265897153155,16176
w=24,trm_flat,coherence_excess,0.09672918347551505,0.0428750163996392,16176
w=24,trm_flat,mean_wrong_per_row,2.07875,0.2755009722565162,16176
w=24,ff_matched,accuracy,0.9305052083333334,0.009304681721290845,16103
w=24,ff_matched,train_accuracy,0.9359010416666667,0.007484221994906861,16103
w=24,ff_matched,exact_match,0.25625,0.029397521761439113,16103
w=24,ff_matched,coherence_excess,0.07442122692937189,0.03041015650226584,16103
w=24,ff_matched,mean_wrong_per_row,1.667875,0.2233123613109801,16103
w=32,baseline,accuracy,0.50165625,0.001268941312106826,0
w=32,baseline,exact_match,0.0225,0.022759613353482085,0
w=32,trm_mixer,accuracy,0.9620781249999999,0.010129298029549169,18130
w=32,trm_mixer,train_accuracy,0.9803525390625,0.004122653971115604,18130
w=32,trm_mixer,exact_match,0.5075000000000001,0.05592852581643825,18130
w=32,trm_mixer,coherence_excess,0.20323530597060946,0.05380522095102589,18130
w=32,trm_mixer,mean_wrong_per_row,1.2134999999999998,0.32413753694557323,18130
w=32,trm_flat,accuracy,0.90339453125,0.00438086142751609,18752
w=32,trm_flat,train_accuracy,0.9267646484375,0.004750740509822769,18752
w=32,trm_flat,exact_match,0.1305,0.041379774217432774,18752
w=32,trm_flat,coherence_excess,0.09137262421544873,0.042686912286879555,18752
w=32,trm_flat,mean_wrong_per_row,3.0913749999999998,0.14018756568051455,18752
w=32,ff_matched,accuracy,0.9181914062500001,0.006209678808891654,18688
w=32,ff_matched,train_accuracy,0.9272626953125,0.00390279073949551,18688
w=32,ff_matched,exact_match,0.145125,0.0318228915809269,18688
w=32,ff_matched,coherence_excess,0.0786690265115576,0.03650722333538423,18688
w=32,ff_matched,mean_wrong_per_row,2.617875,0.1987097218845333,18688
