config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
w=24,trm_mixer-ff_matched,accuracy,0.04594791666666667,0.003943974583573372,8,8,0,0.0078125
w=24,trm_mixer-ff_matched,exact_match,0.45425,0.05387485498820393,8,8,0,0.0078125
w=24,trm_mixer-ff_matched,coherence_excess,0.06171942800389119,0.03214204666022499,8,8,0,0.0078125
w=24,trm_mixer-trm_flat,accuracy,0.06306770833333333,0.006526082342726578,8,8,0,0.0078125
w=24,trm_mixer-trm_flat,exact_match,0.49562500000000004,0.0762269871595918,8,8,0,0.0078125
w=24,trm_mixer-trm_flat,coherence_excess,0.039411471457748024,0.02402418380388191,8,8,0,0.0078125
w=24,trm_flat-ff_matched,accuracy,-0.01711979166666666,0.0029228198275035168,8,0,8,0.0078125
w=24,trm_flat-ff_matched,exact_match,-0.041374999999999995,0.025309159832530424,8,1,7,0.0703125
w=24,trm_flat-ff_matched,coherence_excess,0.022307956546143176,0.01813981403199559,8,8,0,0.0078125
w=32,trm_mixer-ff_matched,accuracy,0.043886718749999984,0.007154776780282496,8,8,0,0.0078125
w=32,trm_mixer-ff_matched,exact_match,0.362375,0.07394387350261973,8,8,0,0.0078125
w=32,trm_mixer-ff_matched,coherence_excess,0.12456627945905187,0.028606382213652845,8,8,0,0.0078125
w=32,trm_mixer-trm_flat,accuracy,0.05868359375,0.009504322875424244,8,8,0,0.0078125
w=32,trm_mixer-trm_flat,exact_match,0.377,0.08917078317155554,8,8,0,0.0078125
w=32,trm_mixer-trm_flat,coherence_excess,0.11186268175516074,0.01931777529632877,8,8,0,0.0078125
w=32,trm_flat-ff_matched,accuracy,-0.014796875000000015,0.0046853268772230105,8,0,8,0.0078125
w=32,trm_flat-ff_matched,exact_match,-0.014625000000000003,0.021986603063813975,8,2,6,0.2890625
w=32,trm_flat-ff_matched,coherence_excess,0.012703597703891116,0.014164460805167731,8,6,2,0.2890625
