config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
w=4,trm_mixer-trm_flat,accuracy,-0.049984374999999984,0.11244749642888897,8,2,6,0.2890625
w=4,trm_mixer-trm_flat,exact_match,-0.03325,0.07675657254314726,8,2,6,0.2890625
w=4,trm_mixer-trm_flat,coherence_excess,0.01386238568072408,0.02834232107438428,8,4,4,1.0
w=4,trm_flat-ff_matched,accuracy,-0.2715,0.12034515094985278,8,0,8,0.0078125
w=4,trm_flat-ff_matched,exact_match,-0.47518749999999993,0.26381228953015595,8,0,8,0.0078125
w=4,trm_flat-ff_matched,coherence_excess,0.022287010392847646,0.03369031584493414,8,5,3,0.7265625
w=4,trm_mixer-ff_matched,accuracy,-0.321484375,0.04985086855795135,8,0,8,0.0078125
w=4,trm_mixer-ff_matched,exact_match,-0.5084374999999999,0.22276580230944656,8,0,8,0.0078125
w=4,trm_mixer-ff_matched,coherence_excess,0.03614939607357173,0.04675649888578213,8,5,3,0.7265625
w=8,trm_mixer-trm_flat,accuracy,-0.0872265625,0.055737095494599515,8,1,7,0.0703125
w=8,trm_mixer-trm_flat,exact_match,-0.0083125,0.005836691210413165,8,0,8,0.0078125
w=8,trm_mixer-trm_flat,coherence_excess,0.006161367746515844,0.0087009139358084,8,7,1,0.0703125
w=8,trm_flat-ff_matched,accuracy,-0.14371874999999998,0.044861940996795927,8,0,8,0.0078125
w=8,trm_flat-ff_matched,exact_match,-0.0675,0.04224165175341919,8,0,8,0.0078125
w=8,trm_flat-ff_matched,coherence_excess,0.020039290086312927,0.010157723092085048,8,8,0,0.0078125
w=8,trm_mixer-ff_matched,accuracy,-0.23094531249999997,0.06905087925422275,8,0,8,0.0078125
w=8,trm_mixer-ff_matched,exact_match,-0.0758125,0.04672635956899947,8,0,8,0.0078125
w=8,trm_mixer-ff_matched,coherence_excess,0.02620065783282877,0.016301547903467457,8,8,0,0.0078125
