config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
w=24,trm_mixer-untied_mixer_matched,accuracy,0.0027395833333333647,0.0009018692009130586,8,8,0,0.0078125
w=24,trm_mixer-untied_mixer_matched,exact_match,0.03362500000000003,0.009334077351297243,8,8,0,0.0078125
w=24,trm_mixer-untied_mixer_matched,coherence_excess,-0.02807610295714459,0.013515417254861212,8,0,8,0.0078125
w=24,trm_mixer-untied_mixer,accuracy,0.0007447916666667026,0.0006764305461243979,8,6,2,0.2890625
w=24,trm_mixer-untied_mixer,exact_match,0.009750000000000009,0.007363035088486664,8,7,1,0.0703125
w=24,trm_mixer-untied_mixer,coherence_excess,-0.0075287496315374625,0.009290032648627058,8,1,7,0.0703125
w=24,trm_mixer-ff_matched,accuracy,0.022343750000000037,0.002213073304791548,8,8,0,0.0078125
w=24,trm_mixer-ff_matched,exact_match,0.34524999999999995,0.03052750516220694,8,8,0,0.0078125
w=24,trm_mixer-ff_matched,coherence_excess,-0.060886673561189236,0.016204607337525347,8,0,8,0.0078125
w=24,untied_mixer_matched-ff_matched,accuracy,0.019604166666666673,0.0024088543677606112,8,8,0,0.0078125
w=24,untied_mixer_matched-ff_matched,exact_match,0.311625,0.030350041186133506,8,8,0,0.0078125
w=24,untied_mixer_matched-ff_matched,coherence_excess,-0.032810570604044645,0.017563389168823516,8,0,8,0.0078125
w=32,trm_mixer-untied_mixer_matched,accuracy,0.004199218749999997,0.0021616416481358117,8,8,0,0.0078125
w=32,trm_mixer-untied_mixer_matched,exact_match,0.07387499999999995,0.033077560369531515,8,8,0,0.0078125
w=32,trm_mixer-untied_mixer_matched,coherence_excess,-0.04392421111651343,0.02745416229182662,8,0,8,0.0078125
w=32,trm_mixer-untied_mixer,accuracy,0.0006601562500000158,0.000901145956323503,8,6,2,0.2890625
w=32,trm_mixer-untied_mixer,exact_match,0.01087500000000001,0.011432253871018995,8,6,1,0.125
w=32,trm_mixer-untied_mixer,coherence_excess,-0.008745926550355249,0.01603230880661691,8,3,5,0.7265625
w=32,trm_mixer-ff_matched,accuracy,0.04814062499999999,0.005923409031425368,8,8,0,0.0078125
w=32,trm_mixer-ff_matched,exact_match,0.67625,0.03157191337701462,8,8,0,0.0078125
w=32,trm_mixer-ff_matched,coherence_excess,-0.07007699083198354,0.017785960681792275,8,0,8,0.0078125
w=32,untied_mixer_matched-ff_matched,accuracy,0.043941406249999995,0.0065637209217158056,8,8,0,0.0078125
w=32,untied_mixer_matched-ff_matched,exact_match,0.6023750000000001,0.04946553634313779,8,8,0,0.0078125
w=32,untied_mixer_matched-ff_matched,coherence_excess,-0.026152779715470125,0.023454437634806195,8,1,7,0.0703125
w=48,trm_mixer-untied_mixer_matched,accuracy,0.012026041666666681,0.0038257843305716335,8,8,0,0.0078125
w=48,trm_mixer-untied_mixer_matched,exact_match,0.288625,0.05936313791282553,8,8,0,0.0078125
w=48,trm_mixer-untied_mixer_matched,coherence_excess,-0.10473019981971965,0.0502301361417193,8,0,8,0.0078125
w=48,trm_mixer-untied_mixer,accuracy,0.0017317708333333404,0.002291759670731832,8,6,2,0.2890625
w=48,trm_mixer-untied_mixer,exact_match,0.04762499999999999,0.047092424322511,8,7,1,0.0703125
w=48,trm_mixer-untied_mixer,coherence_excess,-0.023667466771247536,0.04990995602211786,8,2,6,0.2890625
w=48,trm_mixer-ff_matched,accuracy,0.10882291666666666,0.0071034727701896295,8,8,0,0.0078125
w=48,trm_mixer-ff_matched,exact_match,0.941875,0.020642795353343013,8,8,0,0.0078125
w=48,trm_mixer-ff_matched,coherence_excess,0.039372518784019456,0.03346129333047934,8,7,1,0.0703125
w=48,untied_mixer_matched-ff_matched,accuracy,0.09679687499999998,0.007050279583981155,8,8,0,0.0078125
w=48,untied_mixer_matched-ff_matched,exact_match,0.65325,0.05819855177383222,8,8,0,0.0078125
w=48,untied_mixer_matched-ff_matched,coherence_excess,0.14410271860373908,0.04258324165597861,8,8,0,0.0078125
