config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
single,trm_mixer-trm_flat,accuracy,0.04660937499999998,0.009536348005590514,8,8,0,0.0078125
single,trm_mixer-trm_flat,exact_match,0.49774999999999997,0.10525173904230074,8,8,0,0.0078125
single,trm_mixer-trm_flat,coherence_excess,-0.07464206296985981,0.0504273051577175,8,0,8,0.0078125
single,trm_flat-trm_decoupled,accuracy,0.06491145833333332,0.05552285046143699,8,8,0,0.0078125
single,trm_flat-trm_decoupled,exact_match,0.22487500000000002,0.12055518890296085,8,8,0,0.0078125
single,trm_flat-trm_decoupled,coherence_excess,0.025735653916295315,0.03322187601761561,8,7,1,0.0703125
single,trm_mixer-trm_decoupled,accuracy,0.1115208333333333,0.0561950216331412,8,8,0,0.0078125
single,trm_mixer-trm_decoupled,exact_match,0.7226250000000001,0.172614299606294,8,8,0,0.0078125
single,trm_mixer-trm_decoupled,coherence_excess,-0.048906409053564484,0.06400501938184058,8,2,6,0.2890625
single,trm_flat-untied_matched,accuracy,0.057916666666666686,0.031679101568549514,8,7,1,0.0703125
single,trm_flat-untied_matched,exact_match,0.196625,0.14970918236940003,8,7,1,0.0703125
single,trm_flat-untied_matched,coherence_excess,-0.013522557469664626,0.04278474957913679,8,2,6,0.2890625
single,trm_mixer-untied_matched,accuracy,0.10452604166666667,0.025643319405044416,8,8,0,0.0078125
single,trm_mixer-untied_matched,exact_match,0.694375,0.20371754780998688,8,8,0,0.0078125
single,trm_mixer-untied_matched,coherence_excess,-0.08816462043952442,0.07062516564856239,8,0,8,0.0078125
single,trm_flat-ff_matched,accuracy,-0.005750000000000005,0.004781225684656492,8,0,8,0.0078125
single,trm_flat-ff_matched,exact_match,-0.009499999999999988,0.03270648690572386,8,4,4,1.0
single,trm_flat-ff_matched,coherence_excess,0.030783377444534566,0.03830126197017146,8,8,0,0.0078125
