config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
single,trm_mixer-ff_matched,accuracy,-0.01939736346516009,0.02417976913983096,10,2,8,0.109375
single,trm_mixer-ff_matched,exact_match,-0.04225988700564971,0.05173155511212738,10,2,8,0.109375
single,trm_mixer-ff_matched,micro_f1,-0.03147724426291323,0.02845226152358375,10,2,8,0.109375
single,trm_mixer-ff_matched,macro_f1,-0.034651968518414455,0.03198446688483077,10,2,8,0.109375
single,trm_mixer-ff_matched,coherence_excess,-0.007041714300476468,0.04238070911289586,10,4,6,0.75390625
single,trm_mixer-trm_flat,accuracy,-0.0056732580037665015,0.026998598414830054,10,5,3,0.7265625
single,trm_mixer-trm_flat,exact_match,-0.013700564971751409,0.05435881870965865,10,4,6,0.75390625
single,trm_mixer-trm_flat,micro_f1,-0.015473392891730619,0.039113153523447686,10,4,6,0.75390625
single,trm_mixer-trm_flat,macro_f1,-0.015578112912260467,0.04354377864153921,10,5,5,1.0
single,trm_mixer-trm_flat,coherence_excess,-0.004186452328744502,0.06426860789398876,10,5,5,1.0
single,trm_mixer-untied_mixer_matched,accuracy,-0.006525423728813584,0.028690818968502826,10,5,5,1.0
single,trm_mixer-untied_mixer_matched,exact_match,-0.020451977401129938,0.06628603287965071,10,3,7,0.34375
single,trm_mixer-untied_mixer_matched,micro_f1,-0.012944868357200889,0.04709552725468384,10,5,5,1.0
single,trm_mixer-untied_mixer_matched,macro_f1,-0.01564371852465236,0.05538760095785367,10,4,6,0.75390625
single,trm_mixer-untied_mixer_matched,coherence_excess,-0.00898589381178648,0.03834418252792669,10,3,7,0.34375
single,trm_mixer-untied_mixer,accuracy,-0.009830508474576316,0.021799988153085422,10,4,5,1.0
single,trm_mixer-untied_mixer,exact_match,-0.02203389830508474,0.07908292869452696,10,4,6,0.75390625
single,trm_mixer-untied_mixer,micro_f1,-0.026314537556565886,0.036140996684700256,10,2,8,0.109375
single,trm_mixer-untied_mixer,macro_f1,-0.027602543680391278,0.03614909337665557,10,2,8,0.109375
single,trm_mixer-untied_mixer,coherence_excess,-0.005769355475150925,0.05363134684330342,10,4,6,0.75390625
single,untied_mixer_matched-ff_matched,accuracy,-0.012871939736346505,0.023469039925880945,10,4,6,0.75390625
single,untied_mixer_matched-ff_matched,exact_match,-0.021807909604519775,0.06523430125674044,10,2,7,0.1796875
single,untied_mixer_matched-ff_matched,micro_f1,-0.01853237590571234,0.040757681357491186,10,2,8,0.109375
single,untied_mixer_matched-ff_matched,macro_f1,-0.019008249993762095,0.04718995359381449,10,3,7,0.34375
single,untied_mixer_matched-ff_matched,coherence_excess,0.0019441795113100124,0.04152634375012249,10,5,5,1.0
single,trm_flat-ff_matched,accuracy,-0.013724105461393587,0.02613828149111402,10,4,6,0.75390625
single,trm_flat-ff_matched,exact_match,-0.02855932203389831,0.04138167937095703,10,1,7,0.0703125
single,trm_flat-ff_matched,micro_f1,-0.01600385137118261,0.0439724775138204,10,5,5,1.0
single,trm_flat-ff_matched,macro_f1,-0.01907385560615399,0.041494117987511084,10,5,5,1.0
single,trm_flat-ff_matched,coherence_excess,-0.002855261971731965,0.04629466607123576,10,5,5,1.0
single,trm_flat-trm_decoupled,accuracy,0.013648775894538612,0.03166487022132309,10,7,2,0.1796875
single,trm_flat-trm_decoupled,exact_match,0.0509322033898305,0.07913886048613347,10,8,2,0.109375
single,trm_flat-trm_decoupled,micro_f1,0.02279857790965617,0.05344598580017308,10,8,2,0.109375
single,trm_flat-trm_decoupled,macro_f1,0.02602793800712372,0.04804911596932785,10,8,2,0.109375
single,trm_flat-trm_decoupled,coherence_excess,0.027055885174607865,0.058299397924187105,10,7,3,0.34375
