config,arm,metric,mean,std,n_params
single,baseline,accuracy,0.8210079529737205,0.003323972856303756,0
single,baseline,exact_match,0.1915179806362379,0.020208692844299343,0
single,trm_mixer,accuracy,0.914213347164592,0.006266842544447939,28712
single,trm_mixer,train_accuracy,0.9998230473243479,6.334385361018662e-05,28712
single,trm_mixer,exact_match,0.675554979253112,0.033086432695653686,28712
single,trm_mixer,micro_f1,0.7575936780188235,0.01883043066550123,28712
single,trm_mixer,macro_f1,0.7684204892816078,0.020048950647723874,28712
single,trm_mixer,coherence_excess,0.09135620658350221,0.017728811389138267,28712
single,trm_mixer,mean_wrong_per_row,0.5147199170124481,0.03760105526668767,28712
single,trm_flat,accuracy,0.9202336906408484,0.01109234238447798,28812
single,trm_flat,train_accuracy,0.9997538130009973,0.00017314254608327362,28812
single,trm_flat,exact_match,0.7125155601659751,0.03781776944386677,28812
single,trm_flat,micro_f1,0.7754033602023933,0.02970928155178411,28812
single,trm_flat,macro_f1,0.7831370890691535,0.02991102689037032,28812
single,trm_flat,coherence_excess,0.10405428681639273,0.009227434871157743,28812
single,trm_flat,mean_wrong_per_row,0.47859785615491013,0.06655405430686782,28812
single,ff_matched,accuracy,0.9164983863531582,0.008223327466014925,28737
single,ff_matched,train_accuracy,0.9998615135990869,6.0696424687181075e-05,28737
single,ff_matched,exact_match,0.6581085753803597,0.032705179410309336,28737
single,ff_matched,micro_f1,0.7628034767961147,0.02303609982549459,28737
single,ff_matched,macro_f1,0.7711212482612415,0.024206764533100684,28737
single,ff_matched,coherence_excess,0.06482947428897567,0.015516436983374291,28737
single,ff_matched,mean_wrong_per_row,0.5010096818810511,0.04933996479608951,28737
single,untied_mixer_matched,accuracy,0.9117894190871368,0.006077586646195048,28232
single,untied_mixer_matched,train_accuracy,0.9997384449554817,0.00032670343489345075,28232
single,untied_mixer_matched,exact_match,0.6730567081604426,0.023182536676408395,28232
single,untied_mixer_matched,micro_f1,0.7555884214451847,0.017290871287594264,28232
single,untied_mixer_matched,macro_f1,0.7650426972438907,0.019118321266590955,28232
single,untied_mixer_matched,coherence_excess,0.09811316044547629,0.009827842403137423,28232
single,untied_mixer_matched,mean_wrong_per_row,0.5292634854771784,0.03646551987717043,28232
single,untied_mixer,accuracy,0.9187762217611801,0.008044322296368029,225664
single,untied_mixer,train_accuracy,0.9991693017467446,0.0020601559290691924,225664
single,untied_mixer,exact_match,0.6938191562932227,0.025481744488729093,225664
single,untied_mixer,micro_f1,0.7733172940436923,0.022047502534856152,225664
single,untied_mixer,macro_f1,0.7809613351662705,0.02261389944901252,225664
single,untied_mixer,coherence_excess,0.09166651155594599,0.015486375739752431,225664
single,untied_mixer,mean_wrong_per_row,0.4873426694329184,0.048265933778208155,225664
single,trm_decoupled,accuracy,0.900226775011526,0.007026448707901685,28910
single,trm_decoupled,train_accuracy,0.9960300411201743,0.003292445630290326,28910
single,trm_decoupled,exact_match,0.5862309820193637,0.027088010152091304,28910
single,trm_decoupled,micro_f1,0.7189686610772509,0.020359509145993635,28910
single,trm_decoupled,macro_f1,0.7285586181468202,0.022519919862119677,28910
single,trm_decoupled,coherence_excess,0.05354789475821806,0.02196563873564186,28910
single,trm_decoupled,mean_wrong_per_row,0.5986393499308437,0.04215869224741027,28910
