config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
single,trm_mixer-ff_matched,accuracy,-0.0022850391885661735,0.006306660378064294,10,4,6,0.75390625
single,trm_mixer-ff_matched,exact_match,0.017446403872752404,0.038228055044894904,10,7,3,0.34375
single,trm_mixer-ff_matched,micro_f1,-0.005209798777291397,0.019353342100885906,10,4,6,0.75390625
single,trm_mixer-ff_matched,macro_f1,-0.0027007589796337883,0.017605506602719603,10,4,6,0.75390625
single,trm_mixer-ff_matched,coherence_excess,0.026526732294526546,0.020478469725149242,10,9,1,0.021484375
single,trm_mixer-trm_flat,accuracy,-0.006020343476256374,0.0103182377924576,10,4,6,0.75390625
single,trm_mixer-trm_flat,exact_match,-0.03696058091286307,0.05023116220565857,10,2,8,0.109375
single,trm_mixer-trm_flat,micro_f1,-0.017809682183569785,0.02964570700929573,10,4,6,0.75390625
single,trm_mixer-trm_flat,macro_f1,-0.014716599787545592,0.026801910234021866,10,3,7,0.34375
single,trm_mixer-trm_flat,coherence_excess,-0.012698080232890518,0.015139485337660848,10,3,7,0.34375
single,trm_mixer-untied_mixer_matched,accuracy,0.0024239280774550507,0.006603600778194336,10,7,3,0.34375
single,trm_mixer-untied_mixer_matched,exact_match,0.0024982710926694128,0.03338323546624099,10,5,5,1.0
single,trm_mixer-untied_mixer_matched,micro_f1,0.002005256573638714,0.02168115486200476,10,7,3,0.34375
single,trm_mixer-untied_mixer_matched,macro_f1,0.0033777920377170536,0.019028517552625433,10,7,3,0.34375
single,trm_mixer-untied_mixer_matched,coherence_excess,-0.006756953861974069,0.015502641184304253,10,3,7,0.34375
single,trm_mixer-untied_mixer,accuracy,-0.004562874596588285,0.008066544831668509,10,3,6,0.5078125
single,trm_mixer-untied_mixer,exact_match,-0.01826417704011065,0.038047802619104634,10,4,6,0.75390625
single,trm_mixer-untied_mixer,micro_f1,-0.015723616024868915,0.022250390766454367,10,3,7,0.34375
single,trm_mixer-untied_mixer,macro_f1,-0.012540845884662722,0.018105090105906652,10,3,7,0.34375
single,trm_mixer-untied_mixer,coherence_excess,-0.0003103049724437645,0.02046396693555181,10,6,4,0.75390625
single,untied_mixer_matched-ff_matched,accuracy,-0.004708967266021225,0.0075420889625666615,10,1,8,0.0390625
single,untied_mixer_matched-ff_matched,exact_match,0.01494813278008299,0.03193608909767955,10,7,3,0.34375
single,untied_mixer_matched-ff_matched,micro_f1,-0.007215055350930111,0.02378369894700174,10,3,7,0.34375
single,untied_mixer_matched-ff_matched,macro_f1,-0.006078551017350842,0.022906055302319043,10,3,7,0.34375
single,untied_mixer_matched-ff_matched,coherence_excess,0.03328368615650061,0.021747340360299003,10,9,1,0.021484375
single,trm_flat-ff_matched,accuracy,0.0037353042876902,0.00769018563315909,10,6,4,0.75390625
single,trm_flat-ff_matched,exact_match,0.054406984785615474,0.03360634896142285,10,10,0,0.001953125
single,trm_flat-ff_matched,micro_f1,0.012599883406278389,0.021823149881219386,10,6,4,0.75390625
single,trm_flat-ff_matched,macro_f1,0.012015840807911803,0.02165771389110137,10,6,4,0.75390625
single,trm_flat-ff_matched,coherence_excess,0.039224812527417066,0.016802895958759893,10,10,0,0.001953125
single,trm_flat-trm_decoupled,accuracy,0.020006915629322265,0.007843478350016812,10,10,0,0.001953125
single,trm_flat-trm_decoupled,exact_match,0.12628457814661137,0.0419304810902092,10,10,0,0.001953125
single,trm_flat-trm_decoupled,micro_f1,0.056434699125142276,0.023035434374620387,10,10,0,0.001953125
single,trm_flat-trm_decoupled,macro_f1,0.054578470922333235,0.023377382644663845,10,10,0,0.001953125
single,trm_flat-trm_decoupled,coherence_excess,0.05050639205817468,0.02356719916658099,10,10,0,0.001953125
