config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
single,trm_mixer-ff_matched,accuracy,0.005150837468830649,0.009288371646450563,10,7,3,0.34375
single,trm_mixer-ff_matched,exact_match,-0.02109495559137204,0.028534024674603857,10,1,8,0.0390625
single,trm_mixer-ff_matched,micro_f1,-0.0053217857431111515,0.017956706747932986,10,5,5,1.0
single,trm_mixer-ff_matched,macro_f1,-0.03200521700191785,0.021702929366201416,10,1,9,0.021484375
single,trm_mixer-ff_matched,coherence_excess,-0.023195968338364605,0.02594876143250423,10,1,9,0.021484375
single,trm_mixer-trm_flat,accuracy,0.013037961661122732,0.008011377252871137,10,10,0,0.001953125
single,trm_mixer-trm_flat,exact_match,-0.03683858578238058,0.030733481053337165,10,1,9,0.021484375
single,trm_mixer-trm_flat,micro_f1,0.006190743943466881,0.015042680937292696,10,6,4,0.75390625
single,trm_mixer-trm_flat,macro_f1,-0.026644045415405944,0.02048532640259477,10,1,9,0.021484375
single,trm_mixer-trm_flat,coherence_excess,-0.04132254817256137,0.029448234805238886,10,1,9,0.021484375
single,trm_mixer-untied_mixer_matched,accuracy,0.006952044560494197,0.010113671358054457,10,8,2,0.109375
single,trm_mixer-untied_mixer_matched,exact_match,-0.02523918932821234,0.02800165464281574,10,1,8,0.0390625
single,trm_mixer-untied_mixer_matched,micro_f1,-0.0006747558838260282,0.015028327351245336,10,6,4,0.75390625
single,trm_mixer-untied_mixer_matched,macro_f1,-0.027535997065742057,0.020160847054702245,10,1,9,0.021484375
single,trm_mixer-untied_mixer_matched,coherence_excess,-0.02765041547040199,0.027216302808176215,10,1,9,0.021484375
single,trm_mixer-untied_mixer,accuracy,-0.015329304795543952,0.010129536170971261,10,0,10,0.001953125
single,trm_mixer-untied_mixer,exact_match,-0.04966393470731457,0.025905836367862676,10,0,9,0.00390625
single,trm_mixer-untied_mixer,micro_f1,-0.027543119720581433,0.016835929475003945,10,0,10,0.001953125
single,trm_mixer-untied_mixer,macro_f1,-0.030791060132817162,0.02232047620968179,10,1,9,0.021484375
single,trm_mixer-untied_mixer,coherence_excess,-0.04283621730987139,0.02419118879257372,10,1,9,0.021484375
single,untied_mixer_matched-ff_matched,accuracy,-0.001801207091663548,0.012478146489011285,10,5,5,1.0
single,untied_mixer_matched-ff_matched,exact_match,0.0041442337368402995,0.030147082343601687,10,6,4,0.75390625
single,untied_mixer_matched-ff_matched,micro_f1,-0.0046470298592851235,0.020088795458472846,10,5,5,1.0
single,untied_mixer_matched-ff_matched,macro_f1,-0.004469219936175795,0.019516108071385672,10,4,6,0.75390625
single,untied_mixer_matched-ff_matched,coherence_excess,0.0044544471320373865,0.027334346684956077,10,6,4,0.75390625
single,trm_flat-ff_matched,accuracy,-0.007887124192292084,0.00827532063809532,10,2,8,0.109375
single,trm_flat-ff_matched,exact_match,0.015743630191008533,0.029305360031468598,10,7,3,0.34375
single,trm_flat-ff_matched,micro_f1,-0.011512529686578033,0.013113505736594843,10,2,8,0.109375
single,trm_flat-ff_matched,macro_f1,-0.005361171586511909,0.01204518158359981,10,3,7,0.34375
single,trm_flat-ff_matched,coherence_excess,0.01812657983419677,0.027732038883620306,10,7,3,0.34375
single,trm_flat-trm_decoupled,accuracy,0.0037521983862987217,0.009116357371721683,10,7,3,0.34375
single,trm_flat-trm_decoupled,exact_match,0.032701210520901206,0.019079484952157555,10,9,0,0.00390625
single,trm_flat-trm_decoupled,micro_f1,0.02327765070074923,0.018159317960743156,10,8,2,0.109375
single,trm_flat-trm_decoupled,macro_f1,0.034248245128633864,0.026418158974362626,10,10,0,0.001953125
single,trm_flat-trm_decoupled,coherence_excess,0.031741771697909905,0.01985501037339704,10,10,0,0.001953125
