config,arm,metric,mean,std,n_params
single,baseline,accuracy,-1.2465932726860047,0.3377863529509079,0
single,baseline,mse,1.2465932726860047,0.3377863529509079,0
single,baseline,mae,0.7196454107761383,0.12851641115424678,0
single,baseline,r2,-0.23247384030829382,0.19382826718025384,0
single,trm_mixer,accuracy,-0.34140982627868655,0.06799108331505396,73431
single,trm_mixer,train_accuracy,-0.18538797795772552,0.006826753558767734,73431
single,trm_mixer,mse,0.34140982627868655,0.06799108331505396,73431
single,trm_mixer,mae,0.3930955410003662,0.04206999235250807,73431
single,trm_mixer,r2,0.6529435965958191,0.08863256804582509,73431
single,trm_flat,accuracy,-0.4382361203432083,0.07268024162549377,73128
single,trm_flat,train_accuracy,-0.1494838833808899,0.004226180965955983,73128
single,trm_flat,mse,0.4382361203432083,0.07268024162549377,73128
single,trm_flat,mae,0.46763006746768954,0.0368988833284453,73128
single,trm_flat,r2,0.5530276982645529,0.11529679533902751,73128
single,ff_matched,accuracy,-0.430167081952095,0.09472436365209781,72927
single,ff_matched,train_accuracy,-0.14162436574697496,0.004374473523502853,72927
single,ff_matched,mse,0.430167081952095,0.09472436365209781,72927
single,ff_matched,mae,0.46439015567302705,0.04822038838612922,72927
single,ff_matched,r2,0.562355496398099,0.12186897984897518,72927
single,untied_mixer_matched,accuracy,-0.3436775416135788,0.06873485236337987,72866
single,untied_mixer_matched,train_accuracy,-0.1941601201891899,0.01085351088214037,72866
single,untied_mixer_matched,mse,0.3436775416135788,0.06873485236337987,72866
single,untied_mixer_matched,mae,0.39868653416633604,0.036259965005553424,72866
single,untied_mixer_matched,r2,0.6493585387268046,0.09572859689330836,72866
single,untied_mixer,accuracy,-0.3976016312837601,0.09296393374054297,582744
single,untied_mixer,train_accuracy,-0.10915341973304749,0.010557816611124511,582744
single,untied_mixer,mse,0.3976016312837601,0.09296393374054297,582744
single,untied_mixer,mae,0.413808274269104,0.042875345158827585,582744
single,untied_mixer,r2,0.5909064172915974,0.14189543022393242,582744
single,trm_decoupled,accuracy,-0.47318600714206693,0.07333550136268936,73250
single,trm_decoupled,train_accuracy,-0.1998931035399437,0.007816654771737278,73250
single,trm_decoupled,mse,0.47318600714206693,0.07333550136268936,73250
single,trm_decoupled,mae,0.4918676853179932,0.04074954130285293,73250
single,trm_decoupled,r2,0.5186462442194164,0.10463147236767652,73250
