config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
single,trm_mixer-ff_matched,accuracy,0.0887572556734085,0.06286081424046545,10,9,1,0.021484375
single,trm_mixer-ff_matched,mse,-0.0887572556734085,0.06286081424046545,10,1,9,0.021484375
single,trm_mixer-ff_matched,mae,-0.07129461467266082,0.03676998647466452,10,0,10,0.001953125
single,trm_mixer-ff_matched,r2,0.0905881001977202,0.065189267246377,10,9,1,0.021484375
single,trm_mixer-trm_flat,accuracy,0.09682629406452178,0.047045425588687816,10,9,1,0.021484375
single,trm_mixer-trm_flat,mse,-0.09682629406452178,0.047045425588687816,10,1,9,0.021484375
single,trm_mixer-trm_flat,mae,-0.07453452646732331,0.03367805059648026,10,0,10,0.001953125
single,trm_mixer-trm_flat,r2,0.09991589833126627,0.05674228638164901,10,9,1,0.021484375
single,trm_mixer-untied_mixer_matched,accuracy,0.0022677153348922728,0.030830181820467113,10,5,5,1.0
single,trm_mixer-untied_mixer_matched,mse,-0.0022677153348922728,0.030830181820467113,10,5,5,1.0
single,trm_mixer-untied_mixer_matched,mae,-0.005590993165969849,0.01845913499203216,10,4,6,0.75390625
single,trm_mixer-untied_mixer_matched,r2,0.003585057869014452,0.030957376128428943,10,5,5,1.0
single,trm_mixer-untied_mixer,accuracy,0.05619180500507355,0.04738440992810476,10,9,1,0.021484375
single,trm_mixer-untied_mixer,mse,-0.05619180500507355,0.04738440992810476,10,1,9,0.021484375
single,trm_mixer-untied_mixer,mae,-0.020712733268737793,0.023881261384457918,10,2,8,0.109375
single,trm_mixer-untied_mixer,r2,0.06203717930422178,0.06247098977744296,10,9,1,0.021484375
single,untied_mixer_matched-ff_matched,accuracy,0.08648954033851623,0.07370574474117955,10,9,1,0.021484375
single,untied_mixer_matched-ff_matched,mse,-0.08648954033851623,0.07370574474117955,10,1,9,0.021484375
single,untied_mixer_matched-ff_matched,mae,-0.06570362150669098,0.03433886670707412,10,1,9,0.021484375
single,untied_mixer_matched-ff_matched,r2,0.08700304232870576,0.07200155867261791,10,9,1,0.021484375
single,trm_flat-ff_matched,accuracy,-0.008069038391113281,0.03914339727257976,10,3,7,0.34375
single,trm_flat-ff_matched,mse,0.008069038391113281,0.03914339727257976,10,7,3,0.34375
single,trm_flat-ff_matched,mae,0.0032399117946624754,0.018555001326104985,10,6,4,0.75390625
single,trm_flat-ff_matched,r2,-0.009327798133546051,0.03656211583002892,10,3,7,0.34375
single,trm_flat-trm_decoupled,accuracy,0.034949886798858645,0.049156864769142085,10,8,2,0.109375
single,trm_flat-trm_decoupled,mse,-0.034949886798858645,0.049156864769142085,10,2,8,0.109375
single,trm_flat-trm_decoupled,mae,-0.02423761785030365,0.029462029060543647,10,2,8,0.109375
single,trm_flat-trm_decoupled,r2,0.03438145404513654,0.05240522792267179,10,8,2,0.109375
