config,arm,metric,mean,std,n_params
single,baseline,accuracy,-0.279118487238884,0.33531507158806706,0
single,baseline,mse,0.279118487238884,0.33531507158806706,0
single,baseline,mae,0.171449988335371,0.05521061499897589,0
single,baseline,r2,0.6017158223074601,0.23046131343223109,0
single,trm_mixer,accuracy,-0.20170278176665307,0.23358219669510352,203333
single,trm_mixer,train_accuracy,-0.10493762344121933,0.05555527796443758,203333
single,trm_mixer,mse,0.20170278176665307,0.23358219669510352,203333
single,trm_mixer,mae,0.17735999897122384,0.05059739396888242,203333
single,trm_mixer,r2,0.7001768843388886,0.1864006216994507,203333
single,trm_flat,accuracy,-0.3213325709104538,0.37220438426838065,202488
single,trm_flat,train_accuracy,-0.09690930135548115,0.07372703809198702,202488
single,trm_flat,mse,0.3213325709104538,0.37220438426838065,202488
single,trm_flat,mae,0.2845687508583069,0.1182981473740591,202488
single,trm_flat,r2,0.5269548433294425,0.306006963049555,202488
single,ff_matched,accuracy,-0.3897662542760372,0.44097868348408226,203304
single,ff_matched,train_accuracy,-0.06936347894370556,0.03554328933067405,203304
single,ff_matched,mse,0.3897662542760372,0.44097868348408226,203304
single,ff_matched,mae,0.31075709611177443,0.11992788999762764,203304
single,ff_matched,r2,0.4382344905787138,0.33898009858837735,203304
single,untied_mixer_matched,accuracy,-0.22690646797418595,0.2493554189332069,202010
single,untied_mixer_matched,train_accuracy,-0.08516314886510372,0.046728603861361837,202010
single,untied_mixer_matched,mse,0.22690646797418595,0.2493554189332069,202010
single,untied_mixer_matched,mae,0.19328173026442527,0.05096643565053807,202010
single,untied_mixer_matched,r2,0.6600613105091664,0.1982910051909729,202010
single,untied_mixer,accuracy,-0.2082729909569025,0.23043458268028563,1598440
single,untied_mixer,train_accuracy,-0.09412097111344338,0.05249547445757251,1598440
single,untied_mixer,mse,0.2082729909569025,0.23043458268028563,1598440
single,untied_mixer,mae,0.18525828644633294,0.043059708759268435,1598440
single,untied_mixer,r2,0.6876412955654255,0.18900842018711095,1598440
single,trm_decoupled,accuracy,-0.4079153001308441,0.426187150660607,201609
single,trm_decoupled,train_accuracy,-0.22079914584755897,0.14524735746838113,201609
single,trm_decoupled,mse,0.4079153001308441,0.426187150660607,201609
single,trm_decoupled,mae,0.37491783648729327,0.14239257092868174,201609
single,trm_decoupled,r2,0.4160623178307599,0.2728704187560698,201609
