config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
single,trm_mixer-ff_matched,accuracy,0.18806347250938416,0.21894090420814477,10,10,0,0.001953125
single,trm_mixer-ff_matched,mse,-0.18806347250938416,0.21894090420814477,10,0,10,0.001953125
single,trm_mixer-ff_matched,mae,-0.13339709714055062,0.07419372801636469,10,0,10,0.001953125
single,trm_mixer-ff_matched,r2,0.2619423937601749,0.18386755537468494,10,10,0,0.001953125
single,trm_mixer-trm_flat,accuracy,0.11962978914380074,0.14056398777694326,10,10,0,0.001953125
single,trm_mixer-trm_flat,mse,-0.11962978914380074,0.14056398777694326,10,0,10,0.001953125
single,trm_mixer-trm_flat,mae,-0.10720875188708305,0.07253326045564369,10,0,10,0.001953125
single,trm_mixer-trm_flat,r2,0.17322204100944613,0.1307513157522051,10,10,0,0.001953125
single,trm_mixer-untied_mixer_matched,accuracy,0.025203686207532883,0.021781719741348782,10,10,0,0.001953125
single,trm_mixer-untied_mixer_matched,mse,-0.025203686207532883,0.021781719741348782,10,0,10,0.001953125
single,trm_mixer-untied_mixer_matched,mae,-0.015921731293201447,0.01554881361514207,10,1,9,0.021484375
single,trm_mixer-untied_mixer_matched,r2,0.04011557382972221,0.025856486539535786,10,10,0,0.001953125
single,trm_mixer-untied_mixer,accuracy,0.006570209190249443,0.018205661649617337,10,7,3,0.34375
single,trm_mixer-untied_mixer,mse,-0.006570209190249443,0.018205661649617337,10,3,7,0.34375
single,trm_mixer-untied_mixer,mae,-0.0078982874751091,0.021661720282906,10,2,8,0.109375
single,trm_mixer-untied_mixer,r2,0.012535588773463146,0.03404260688228531,10,7,3,0.34375
single,untied_mixer_matched-ff_matched,accuracy,0.16285978630185127,0.2089033080689735,10,10,0,0.001953125
single,untied_mixer_matched-ff_matched,mse,-0.16285978630185127,0.2089033080689735,10,0,10,0.001953125
single,untied_mixer_matched-ff_matched,mae,-0.11747536584734916,0.07830171633558852,10,0,10,0.001953125
single,untied_mixer_matched-ff_matched,r2,0.22182681993045272,0.1873398901393006,10,10,0,0.001953125
single,trm_flat-ff_matched,accuracy,0.06843368336558342,0.11116843743525281,10,8,2,0.109375
single,trm_flat-ff_matched,mse,-0.06843368336558342,0.11116843743525281,10,2,8,0.109375
single,trm_flat-ff_matched,mae,-0.02618834525346756,0.03398517807220179,10,2,8,0.109375
single,trm_flat-ff_matched,r2,0.08872035275072877,0.14863478442890551,10,8,2,0.109375
single,trm_flat-trm_decoupled,accuracy,0.08658272922039031,0.11379502558277425,10,9,1,0.021484375
single,trm_flat-trm_decoupled,mse,-0.08658272922039031,0.11379502558277425,10,1,9,0.021484375
single,trm_flat-trm_decoupled,mae,-0.09034908562898636,0.0669568581098249,10,0,10,0.001953125
single,trm_flat-trm_decoupled,r2,0.11089252549868256,0.16073544186499156,10,9,1,0.021484375
