config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
single,trm_stable-trm,accuracy,-0.005833333333333357,0.005528111779013676,8,1,7,0.0703125
single,trm_stable-trm,exact_match,-0.09675,0.05325343717947764,8,0,8,0.0078125
single,trm_stable-trm,coherence_excess,-0.034313388044858936,0.01766290543467757,8,1,7,0.0703125
single,trm_stable-ff_matched,accuracy,-0.013078124999999996,0.00400677981354183,8,0,8,0.0078125
single,trm_stable-ff_matched,exact_match,-0.108,0.04749736834815166,8,0,8,0.0078125
single,trm_stable-ff_matched,coherence_excess,0.045988571921976085,0.012937039774656597,8,8,0,0.0078125
single,trm-ff_matched,accuracy,-0.007244791666666639,0.0037244791302498623,8,0,8,0.0078125
single,trm-ff_matched,exact_match,-0.011249999999999996,0.03819031290785665,8,3,5,0.7265625
single,trm-ff_matched,coherence_excess,0.08030195996683502,0.009648876315022146,8,8,0,0.0078125
single,trm-trm_decoupled,accuracy,0.05777083333333334,0.011572558366362097,8,8,0,0.0078125
single,trm-trm_decoupled,exact_match,0.438625,0.062022893238821805,8,8,0,0.0078125
single,trm-trm_decoupled,coherence_excess,0.07711192029672201,0.02608769195895635,8,8,0,0.0078125
