T_test,R_test,delta,delta_mean,delta_std,sign_pos,sign_neg,sign_p
6,6,trm_stable-trm,-0.005833333333333357,0.005528111779013676,1,7,0.0703125
6,6,trm_stable-ff_matched,-0.013078124999999996,0.00400677981354183,0,8,0.0078125
6,6,trm-ff_matched,-0.007244791666666639,0.0037244791302498623,0,8,0.0078125
6,6,trm-trm_decoupled,0.05777083333333334,0.011572558366362097,8,0,0.0078125
6,8,trm_stable-trm,0.006635416666666685,0.004431900390512921,7,1,0.0703125
6,8,trm_stable-ff_matched,-0.014156249999999981,0.003749718904808673,0,8,0.0078125
6,8,trm-ff_matched,-0.020791666666666667,0.004534425201143152,0,8,0.0078125
6,8,trm-trm_decoupled,0.05166145833333334,0.011040631970837364,8,0,0.0078125
6,12,trm_stable-trm,0.05373958333333334,0.010913434408802655,8,0,0.0078125
6,12,trm_stable-ff_matched,-0.015093749999999975,0.003602988040149496,0,8,0.0078125
6,12,trm-ff_matched,-0.06883333333333332,0.012110437581388165,0,8,0.0078125
6,12,trm-trm_decoupled,0.036677083333333346,0.06087421062198018,8,0,0.0078125
6,16,trm_stable-trm,0.10806249999999998,0.018520687703642985,8,0,0.0078125
6,16,trm_stable-ff_matched,-0.015354166666666669,0.0035698806169181304,0,8,0.0078125
6,16,trm-ff_matched,-0.12341666666666665,0.01976776125211541,0,8,0.0078125
6,16,trm-trm_decoupled,0.006031250000000016,0.09265983817231198,2,6,0.2890625
6,24,trm_stable-trm,0.19956770833333332,0.023853117179034405,8,0,0.0078125
6,24,trm_stable-ff_matched,-0.015552083333333327,0.0035044437493079498,0,8,0.0078125
6,24,trm-ff_matched,-0.21511979166666667,0.024743038919065645,0,8,0.0078125
6,24,trm-trm_decoupled,0.040609374999999996,0.17403098488245344,4,4,1.0
