config,arm,metric,mean,std,n_params
w=8,baseline,accuracy,0.553328125,0.002700807997486275,0
w=8,baseline,exact_match,0.27437500000000004,0.011262294868910394,0
w=8,trm,accuracy,0.990140625,0.012930348696408554,10960
w=8,trm,train_accuracy,0.99021484375,0.015201056169801332,10960
w=8,trm,exact_match,0.9706250000000001,0.05530935725535058,10960
w=8,trm,coherence_excess,0.04316733240068052,0.03424211724051145,10960
w=8,trm,mean_wrong_per_row,0.078875,0.10344278957126843,10960
w=8,trm_stable_1e-2,accuracy,0.9963124999999999,0.00225495486175921,10960
w=8,trm_stable_1e-2,train_accuracy,0.9966171875000001,0.001442803686465562,10960
w=8,trm_stable_1e-2,exact_match,0.9926250000000001,0.0035831949031954343,10960
w=8,trm_stable_1e-2,coherence_excess,0.021625713704619562,0.015181668236015739,10960
w=8,trm_stable_1e-2,mean_wrong_per_row,0.029500000000000002,0.01803963889407356,10960
w=8,trm_stable_1e-1,accuracy,0.99715625,0.002893766391499408,10960
w=8,trm_stable_1e-1,train_accuracy,0.9977304687499999,0.002293474919034677,10960
w=8,trm_stable_1e-1,exact_match,0.99325,0.004652188425123942,10960
w=8,trm_stable_1e-1,coherence_excess,0.01557391699254869,0.02009156880704316,10960
w=8,trm_stable_1e-1,mean_wrong_per_row,0.022750000000000003,0.02315013113199516,10960
w=8,ff_matched,accuracy,1.0,0.0,10872
w=8,ff_matched,train_accuracy,1.0,0.0,10872
w=8,ff_matched,exact_match,1.0,0.0,10872
w=8,ff_matched,coherence_excess,0.0,0.0,10872
w=8,ff_matched,mean_wrong_per_row,0.0,0.0,10872
w=12,baseline,accuracy,0.5612395833333333,0.0008409621049160183,0
w=12,baseline,exact_match,0.147375,0.008650970218090321,0
w=12,trm,accuracy,0.9979479166666667,0.002848327795419411,12248
w=12,trm,train_accuracy,0.9993307291666667,0.0011488562667828365,12248
w=12,trm,exact_match,0.988625,0.013700234617386262,12248
w=12,trm,coherence_excess,0.012523556504495867,0.01911706218170259,12248
w=12,trm,mean_wrong_per_row,0.024624999999999998,0.03417993354503278,12248
w=12,trm_stable_1e-2,accuracy,0.9969583333333334,0.0021630005613895234,12248
w=12,trm_stable_1e-2,train_accuracy,0.998234375,0.0018787908107914092,12248
w=12,trm_stable_1e-2,exact_match,0.981875,0.016719855604297902,12248
w=12,trm_stable_1e-2,coherence_excess,0.017508594694642304,0.010605537459301068,12248
w=12,trm_stable_1e-2,mean_wrong_per_row,0.036500000000000005,0.02595600673667438,12248
w=12,trm_stable_1e-1,accuracy,0.9966354166666667,0.0028326110774112723,12248
w=12,trm_stable_1e-1,train_accuracy,0.9981119791666666,0.0013416286549998364,12248
w=12,trm_stable_1e-1,exact_match,0.975875,0.019773268390864053,12248
w=12,trm_stable_1e-1,coherence_excess,0.015065754508428772,0.01670653479812539,12248
w=12,trm_stable_1e-1,mean_wrong_per_row,0.040374999999999994,0.0339913329289352,12248
w=12,ff_matched,accuracy,0.9980625,0.0007396776432156381,12207
w=12,ff_matched,train_accuracy,0.9997369791666667,0.00014301593976821884,12207
w=12,ff_matched,exact_match,0.987125,0.004454131308603929,12207
w=12,ff_matched,coherence_excess,0.01009783462258268,0.006295118582524016,12207
w=12,ff_matched,mean_wrong_per_row,0.02325,0.008876131718587456,12207
w=16,baseline,accuracy,0.5618749999999999,0.0005397171878467083,0
w=16,baseline,exact_match,0.076625,0.005730557190560595,0
w=16,trm,accuracy,0.989515625,0.007137735328870064,13536
w=16,trm,train_accuracy,0.99340234375,0.006447535466220386,13536
w=16,trm,exact_match,0.9099999999999999,0.054063454780999165,13536
w=16,trm,coherence_excess,0.06057602741437365,0.043732509403351036,13536
w=16,trm,mean_wrong_per_row,0.16775,0.1142037652619212,13536
w=16,trm_stable_1e-2,accuracy,0.9955234375,0.0021635003621363756,13536
w=16,trm_stable_1e-2,train_accuracy,0.998216796875,0.001027266301059463,13536
w=16,trm_stable_1e-2,exact_match,0.9555,0.018738806182434793,13536
w=16,trm_stable_1e-2,coherence_excess,0.024314317214498282,0.01374402202311253,13536
w=16,trm_stable_1e-2,mean_wrong_per_row,0.071625,0.034616005794182225,13536
w=16,trm_stable_1e-1,accuracy,0.984515625,0.0024887582065588974,13536
w=16,trm_stable_1e-1,train_accuracy,0.988740234375,0.0017667394850976713,13536
w=16,trm_stable_1e-1,exact_match,0.823125,0.023925106358921647,13536
w=16,trm_stable_1e-1,coherence_excess,0.043561649256139784,0.010866299232742476,13536
w=16,trm_stable_1e-1,mean_wrong_per_row,0.24775,0.03982013130494245,13536
w=16,ff_matched,accuracy,0.993609375,0.0005657150184879837,13568
w=16,ff_matched,train_accuracy,0.997966796875,0.00048523379369373287,13568
w=16,ff_matched,exact_match,0.9305,0.00865200224555809,13568
w=16,ff_matched,coherence_excess,0.027961646422797026,0.005448960737590034,13568
w=16,ff_matched,mean_wrong_per_row,0.10225000000000001,0.009051440295807704,13568
w=24,baseline,accuracy,0.5617708333333333,0.0006802923041219966,0
w=24,baseline,exact_match,0.02375,0.0018322507626258088,0
w=24,trm,accuracy,0.969140625,0.0030910406807545406,16112
w=24,trm,train_accuracy,0.9818880208333334,0.0026830478880821226,16112
w=24,trm,exact_match,0.631875,0.0319885582223216,16112
w=24,trm,coherence_excess,0.1594469561510951,0.010922371367857786,16112
w=24,trm,mean_wrong_per_row,0.740625,0.07418497633810846,16112
w=24,trm_stable_1e-2,accuracy,0.9633072916666667,0.004615092213691167,16112
w=24,trm_stable_1e-2,train_accuracy,0.973296875,0.004171637659707392,16112
w=24,trm_stable_1e-2,exact_match,0.535125,0.04854876046674254,16112
w=24,trm_stable_1e-2,coherence_excess,0.1251335681062362,0.013492854885069417,16112
w=24,trm_stable_1e-2,mean_wrong_per_row,0.880625,0.11076221312858847,16112
w=24,trm_stable_1e-1,accuracy,0.9491927083333334,0.004087214961422141,16112
w=24,trm_stable_1e-1,train_accuracy,0.95681640625,0.004149204246579859,16112
w=24,trm_stable_1e-1,exact_match,0.407125,0.03159763779597637,16112
w=24,trm_stable_1e-1,coherence_excess,0.11976384428757506,0.006686248195423512,16112
w=24,trm_stable_1e-1,mean_wrong_per_row,1.219375,0.09809315907413144,16112
