config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
w=8,trm_stable_1e-2-trm,accuracy,0.006171874999999993,0.013400915730304207,8,7,1,0.0703125
w=8,trm_stable_1e-2-trm,exact_match,0.022000000000000006,0.056629119213149906,8,4,0,0.125
w=8,trm_stable_1e-2-trm,coherence_excess,-0.021541618696060957,0.0365943047340728,8,1,7,0.0703125
w=8,trm_stable_1e-1-trm,accuracy,0.00701562499999997,0.014055762274775433,8,7,1,0.0703125
w=8,trm_stable_1e-1-trm,exact_match,0.022625000000000006,0.05800230906733678,8,4,0,0.125
w=8,trm_stable_1e-1-trm,coherence_excess,-0.02759341540813183,0.03993279664430694,8,1,7,0.0703125
w=8,trm-ff_matched,accuracy,-0.009859374999999976,0.012930348696408554,8,0,8,0.0078125
w=8,trm-ff_matched,exact_match,-0.029375000000000012,0.05530935725535058,8,0,8,0.0078125
w=8,trm-ff_matched,coherence_excess,0.04316733240068052,0.03424211724051145,8,8,0,0.0078125
w=12,trm_stable_1e-2-trm,accuracy,-0.0009895833333333354,0.0033651568691471716,8,3,4,1.0
w=12,trm_stable_1e-2-trm,exact_match,-0.006750000000000006,0.02273920466004538,8,5,3,0.7265625
w=12,trm_stable_1e-2-trm,coherence_excess,0.0049850381901464375,0.016194252615533488,8,5,3,0.7265625
w=12,trm_stable_1e-1-trm,accuracy,-0.0013125000000000359,0.003526473012056369,8,4,4,1.0
w=12,trm_stable_1e-1-trm,exact_match,-0.012750000000000011,0.026927150398277012,8,4,4,1.0
w=12,trm_stable_1e-1-trm,coherence_excess,0.002542198003932905,0.013986151200747504,8,5,3,0.7265625
w=12,trm-ff_matched,accuracy,-0.00011458333333330684,0.0026113828590438285,8,7,1,0.0703125
w=12,trm-ff_matched,exact_match,0.0015000000000000013,0.010743768958264677,8,7,1,0.0703125
w=12,trm-ff_matched,coherence_excess,0.002425721881913187,0.019242649125959233,8,2,6,0.2890625
w=16,trm_stable_1e-2-trm,accuracy,0.006007812500000015,0.007499958147204642,8,6,2,0.2890625
w=16,trm_stable_1e-2-trm,exact_match,0.0455,0.05877803282568361,8,5,1,0.21875
w=16,trm_stable_1e-2-trm,coherence_excess,-0.03626171019987537,0.04453617137303107,8,2,6,0.2890625
w=16,trm_stable_1e-1-trm,accuracy,-0.005000000000000018,0.007897925812696443,8,4,4,1.0
w=16,trm_stable_1e-1-trm,exact_match,-0.08687499999999998,0.05772703625066603,8,0,8,0.0078125
w=16,trm_stable_1e-1-trm,coherence_excess,-0.017014378158233867,0.04967498876768511,8,4,4,1.0
w=16,trm-ff_matched,accuracy,-0.004093750000000007,0.006759418032852901,8,4,4,1.0
w=16,trm-ff_matched,exact_match,-0.020500000000000046,0.053092910476419924,8,4,4,1.0
w=16,trm-ff_matched,coherence_excess,0.032614380991576625,0.04021520130998861,8,5,3,0.7265625
w=24,trm_stable_1e-2-trm,accuracy,-0.005833333333333357,0.005528111779013676,8,1,7,0.0703125
w=24,trm_stable_1e-2-trm,exact_match,-0.09675,0.05325343717947764,8,0,8,0.0078125
w=24,trm_stable_1e-2-trm,coherence_excess,-0.034313388044858936,0.01766290543467757,8,1,7,0.0703125
w=24,trm_stable_1e-1-trm,accuracy,-0.019947916666666676,0.0030411162254713967,8,0,8,0.0078125
w=24,trm_stable_1e-1-trm,exact_match,-0.22475,0.02464461691439215,8,0,8,0.0078125
w=24,trm_stable_1e-1-trm,coherence_excess,-0.039683111863520054,0.014729962187893086,8,0,8,0.0078125
w=24,trm-ff_matched,accuracy,-0.007244791666666639,0.0037244791302498623,8,0,8,0.0078125
w=24,trm-ff_matched,exact_match,-0.011249999999999996,0.03819031290785665,8,3,5,0.7265625
w=24,trm-ff_matched,coherence_excess,0.08030195996683502,0.009648876315022146,8,8,0,0.0078125
