T_test,R_test,arm,metric,mean,std
4,0,baseline,accuracy,0.5050277777777777,0.0043928553505108115
4,0,baseline,exact_match,0.0155,0.003703280399090206
4,4,trm_stable,accuracy,0.48427777777777775,0.005278487838617596
4,4,trm_stable,exact_match,0.0025,0.0037416573867739412
4,4,trm,accuracy,0.48886111111111114,0.008203485730499656
4,4,trm,exact_match,0.001875,0.0029489707647632883
4,4,ff_matched,accuracy,0.47052777777777777,0.005363259294920418
4,4,ff_matched,exact_match,0.004875,0.0013562026818605376
4,8,trm_stable,accuracy,0.48758333333333337,0.0034588791243953853
4,8,trm_stable,exact_match,0.0035,0.0036645015252516175
4,8,trm,accuracy,0.4802777777777778,0.004960514281809423
4,8,trm,exact_match,0.007500000000000001,0.004309458036856674
4,8,ff_matched,accuracy,0.47052777777777777,0.005363259294920418
4,8,ff_matched,exact_match,0.004875,0.0013562026818605376
4,12,trm_stable,accuracy,0.4869583333333333,0.004331068801865225
4,12,trm_stable,exact_match,0.003625,0.0032486260832190936
4,12,trm,accuracy,0.5024722222222222,0.006464869111425675
4,12,trm,exact_match,0.002125,0.0017268882005337975
4,12,ff_matched,accuracy,0.47052777777777777,0.005363259294920418
4,12,ff_matched,exact_match,0.004875,0.0013562026818605376
4,16,trm_stable,accuracy,0.4867083333333333,0.0038718162662108083
4,16,trm_stable,exact_match,0.003375,0.0036228441865473597
4,16,trm,accuracy,0.502736111111111,0.003928342946698814
4,16,trm,exact_match,0.002,0.0015118578920369089
4,16,ff_matched,accuracy,0.47052777777777777,0.005363259294920418
4,16,ff_matched,exact_match,0.004875,0.0013562026818605376
8,0,baseline,accuracy,0.5071527777777778,0.006601784137025926
8,0,baseline,exact_match,0.016375,0.0029730936268953442
8,4,trm_stable,accuracy,0.715875,0.0064876595650044085
8,4,trm_stable,exact_match,0.069125,0.006664136424602536
8,4,trm,accuracy,0.6539583333333334,0.00695207517266243
8,4,trm,exact_match,0.027125,0.006446205971621714
8,4,ff_matched,accuracy,0.8866805555555556,0.007634147157467536
8,4,ff_matched,exact_match,0.42037500000000005,0.02968856201107953
8,8,trm_stable,accuracy,0.7362638888888888,0.008872392927560362
8,8,trm_stable,exact_match,0.112375,0.016817826426571474
8,8,trm,accuracy,0.8827083333333333,0.02388611556437862
8,8,trm,exact_match,0.472875,0.05898531899670338
8,8,ff_matched,accuracy,0.8866805555555556,0.007634147157467536
8,8,ff_matched,exact_match,0.42037500000000005,0.02968856201107953
8,12,trm_stable,accuracy,0.7313333333333334,0.009402990255740958
8,12,trm_stable,exact_match,0.100125,0.020364096556720324
8,12,trm,accuracy,0.6098194444444444,0.013757529604230812
8,12,trm,exact_match,0.015125,0.004051013982414068
8,12,ff_matched,accuracy,0.8866805555555556,0.007634147157467536
8,12,ff_matched,exact_match,0.42037500000000005,0.02968856201107953
8,16,trm_stable,accuracy,0.7266666666666667,0.010769674584338996
8,16,trm_stable,exact_match,0.089875,0.018734517417247312
8,16,trm,accuracy,0.5405833333333334,0.016715457683628997
8,16,trm,exact_match,0.00625,0.0033273756282434616
8,16,ff_matched,accuracy,0.8866805555555556,0.007634147157467536
8,16,ff_matched,exact_match,0.42037500000000005,0.02968856201107953
12,0,baseline,accuracy,0.5073333333333333,0.005635926581347129
12,0,baseline,exact_match,0.016375,0.0029730936268953442
12,4,trm_stable,accuracy,0.48644444444444446,0.00882976367924948
12,4,trm_stable,exact_match,0.0016250000000000001,0.0022638462845343543
12,4,trm,accuracy,0.4906388888888889,0.010423273037356708
12,4,trm,exact_match,0.001375,0.0016850180160122071
12,4,ff_matched,accuracy,0.46991666666666665,0.008642161121711138
12,4,ff_matched,exact_match,0.004875,0.0013562026818605376
12,8,trm_stable,accuracy,0.48191666666666666,0.005948263125918991
12,8,trm_stable,exact_match,0.003875,0.0036425069859723183
12,8,trm,accuracy,0.46844444444444444,0.0063033262963763095
12,8,trm,exact_match,0.0073750000000000005,0.004340424600691241
12,8,ff_matched,accuracy,0.46991666666666665,0.008642161121711138
12,8,ff_matched,exact_match,0.004875,0.0013562026818605376
12,12,trm_stable,accuracy,0.48104166666666665,0.006551367373463435
12,12,trm_stable,exact_match,0.0038750000000000004,0.0034408263127170074
12,12,trm,accuracy,0.4921388888888889,0.008214657609862152
12,12,trm,exact_match,0.00275,0.002434865792722759
12,12,ff_matched,accuracy,0.46991666666666665,0.008642161121711138
12,12,ff_matched,exact_match,0.004875,0.0013562026818605376
12,16,trm_stable,accuracy,0.4803472222222222,0.006203326609403026
12,16,trm_stable,exact_match,0.0036250000000000006,0.0032486260832190936
12,16,trm,accuracy,0.4964861111111111,0.004374826779135679
12,16,trm,exact_match,0.001,0.0015118578920369089
12,16,ff_matched,accuracy,0.46991666666666665,0.008642161121711138
12,16,ff_matched,exact_match,0.004875,0.0013562026818605376
16,0,baseline,accuracy,0.5045,0.0038029043018129914
16,0,baseline,exact_match,0.016375,0.0029730936268953442
16,4,trm_stable,accuracy,0.4852222222222222,0.009778499251881524
16,4,trm_stable,exact_match,0.002,0.0022677868380553633
16,4,trm,accuracy,0.49344444444444446,0.009096193750175998
16,4,trm,exact_match,0.002,0.002563479777846623
16,4,ff_matched,accuracy,0.46844444444444444,0.005945668172513226
16,4,ff_matched,exact_match,0.004875,0.0013562026818605376
16,8,trm_stable,accuracy,0.48569444444444443,0.007698633608350641
16,8,trm_stable,exact_match,0.00325,0.003453776401067595
16,8,trm,accuracy,0.4930277777777778,0.0056813535163531
16,8,trm,exact_match,0.008125,0.004015594601052253
16,8,ff_matched,accuracy,0.46844444444444444,0.005945668172513226
