config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
single,trm_stable_3e-2-trm,accuracy,-0.14644444444444443,0.02744235581024752,8,0,8,0.0078125
single,trm_stable_3e-2-trm,exact_match,-0.36050000000000004,0.07033795967632676,8,0,8,0.0078125
single,trm_stable_3e-2-trm,coherence_excess,-0.0916584809715815,0.023177022032317075,8,0,8,0.0078125
single,trm_stable_1e-1-trm,accuracy,-0.2298888888888889,0.025430196329591183,8,0,8,0.0078125
single,trm_stable_1e-1-trm,exact_match,-0.452125,0.05605975765708791,8,0,8,0.0078125
single,trm_stable_1e-1-trm,coherence_excess,-0.14100988142640353,0.028085867592982487,8,0,8,0.0078125
single,trm_stable_3e-1-trm,accuracy,-0.26831944444444444,0.02343097013680886,8,0,8,0.0078125
single,trm_stable_3e-1-trm,exact_match,-0.46162499999999995,0.05861968830642872,8,0,8,0.0078125
single,trm_stable_3e-1-trm,coherence_excess,-0.14142223488815076,0.026772926928635934,8,0,8,0.0078125
single,trm_stable_1e0-trm,accuracy,-0.29770833333333335,0.02243139157614456,8,0,8,0.0078125
single,trm_stable_1e0-trm,exact_match,-0.464875,0.0575932473720413,8,0,8,0.0078125
single,trm_stable_1e0-trm,coherence_excess,-0.14019985115578024,0.025070612583778823,8,0,8,0.0078125
