T_test,R_test,arm,metric,mean,std
6,0,baseline,accuracy,0.5617708333333333,0.0006802923041219966
6,0,baseline,exact_match,0.02375,0.0018322507626258088
6,6,trm_mixer,accuracy,0.9953229166666667,0.001558029318447791
6,6,trm_mixer,exact_match,0.938,0.020894291770036797
6,6,trm_mixer_stable_1e-2,accuracy,0.9953385416666667,0.004351463760064957
6,6,trm_mixer_stable_1e-2,exact_match,0.9452499999999999,0.047960549264101274
6,6,trm_mixer_stable_1e-1,accuracy,0.9933854166666667,0.0030525937124052135
6,6,trm_mixer_stable_1e-1,exact_match,0.9239999999999999,0.039373667777916156
6,6,trm_mixer_stable_3e-1,accuracy,0.9654739583333334,0.03698276181383657
6,6,trm_mixer_stable_3e-1,exact_match,0.648625,0.2755632867419025
6,6,ff_matched,accuracy,0.9763854166666667,0.0017954348524866748
6,6,ff_matched,exact_match,0.643125,0.02741447740571706
6,8,trm_mixer,accuracy,0.9729322916666667,0.031366512460244154
6,8,trm_mixer,exact_match,0.650625,0.2384065779893068
6,8,trm_mixer_stable_1e-2,accuracy,0.995578125,0.004508998801118956
6,8,trm_mixer_stable_1e-2,exact_match,0.9470000000000001,0.050587971466968876
6,8,trm_mixer_stable_1e-1,accuracy,0.9944010416666667,0.0026223945403009083
6,8,trm_mixer_stable_1e-1,exact_match,0.94475,0.03112991211955837
6,8,trm_mixer_stable_3e-1,accuracy,0.9666770833333334,0.037678429671365025
6,8,trm_mixer_stable_3e-1,exact_match,0.670875,0.28874132640034156
6,8,ff_matched,accuracy,0.9763854166666667,0.0017954348524866748
6,8,ff_matched,exact_match,0.643125,0.02741447740571706
6,12,trm_mixer,accuracy,0.8257239583333333,0.142805317127726
6,12,trm_mixer,exact_match,0.15587499999999999,0.2133015554829092
6,12,trm_mixer_stable_1e-2,accuracy,0.9945104166666667,0.005552408582897015
6,12,trm_mixer_stable_1e-2,exact_match,0.9359999999999999,0.06448034030395844
6,12,trm_mixer_stable_1e-1,accuracy,0.9944531249999999,0.002464775407119224
6,12,trm_mixer_stable_1e-1,exact_match,0.95425,0.025838785906904683
6,12,trm_mixer_stable_3e-1,accuracy,0.9671770833333333,0.03797290929436113
6,12,trm_mixer_stable_3e-1,exact_match,0.6861250000000001,0.29820435826076436
6,12,ff_matched,accuracy,0.9763854166666667,0.0017954348524866748
6,12,ff_matched,exact_match,0.643125,0.02741447740571706
6,16,trm_mixer,accuracy,0.7363697916666666,0.1301854759699477
6,16,trm_mixer,exact_match,0.06825,0.12234698898741117
6,16,trm_mixer_stable_1e-2,accuracy,0.9940208333333334,0.00575853403964188
6,16,trm_mixer_stable_1e-2,exact_match,0.933875,0.0646317867395205
6,16,trm_mixer_stable_1e-1,accuracy,0.9942552083333334,0.0025914271727499306
6,16,trm_mixer_stable_1e-1,exact_match,0.957375,0.024541146206786185
6,16,trm_mixer_stable_3e-1,accuracy,0.9671770833333333,0.037973934708717044
6,16,trm_mixer_stable_3e-1,exact_match,0.6901250000000001,0.3009738657377794
6,16,ff_matched,accuracy,0.9763854166666667,0.0017954348524866748
6,16,ff_matched,exact_match,0.643125,0.02741447740571706
6,24,trm_mixer,accuracy,0.6572395833333333,0.14585752137842853
6,24,trm_mixer,exact_match,0.03075,0.04810628114616933
6,24,trm_mixer_stable_1e-2,accuracy,0.9935364583333333,0.006042813417441912
6,24,trm_mixer_stable_1e-2,exact_match,0.9332499999999999,0.06524842636307131
6,24,trm_mixer_stable_1e-1,accuracy,0.9938020833333334,0.002813987701770261
6,24,trm_mixer_stable_1e-1,exact_match,0.959125,0.023320362040806415
6,24,trm_mixer_stable_3e-1,accuracy,0.9670468750000001,0.03789221109223285
6,24,trm_mixer_stable_3e-1,exact_match,0.692875,0.30289717137763345
6,24,ff_matched,accuracy,0.9763854166666667,0.0017954348524866748
6,24,ff_matched,exact_match,0.643125,0.02741447740571706
