T_test,R_test,delta,delta_mean,delta_std,sign_pos,sign_neg,sign_p
6,6,trm_mixer_stable_1e-2-trm_mixer,1.562499999999134e-05,0.0049963249142554065,6,2,0.2890625
6,6,trm_mixer_stable_1e-1-trm_mixer,-0.0019375000000000087,0.0028695168555223378,2,5,0.453125
6,6,trm_mixer_stable_3e-1-trm_mixer,-0.02984895833333337,0.036128977904098546,0,8,0.0078125
6,6,trm_mixer-ff_matched,0.018937500000000024,0.0021026485565545793,8,0,0.0078125
6,8,trm_mixer_stable_1e-2-trm_mixer,0.022645833333333323,0.03294432231835822,7,1,0.0703125
6,8,trm_mixer_stable_1e-1-trm_mixer,0.021468749999999995,0.032347281217786156,7,1,0.0703125
6,8,trm_mixer_stable_3e-1-trm_mixer,-0.006255208333333345,0.05298233382149771,4,4,1.0
6,8,trm_mixer-ff_matched,-0.0034531249999999875,0.029952297039897793,7,1,0.0703125
6,12,trm_mixer_stable_1e-2-trm_mixer,0.16878645833333333,0.14509461615666105,8,0,0.0078125
6,12,trm_mixer_stable_1e-1-trm_mixer,0.16872916666666668,0.14369019977682806,8,0,0.0078125
6,12,trm_mixer_stable_3e-1-trm_mixer,0.141453125,0.14986798330328877,8,0,0.0078125
6,12,trm_mixer-ff_matched,-0.15066145833333333,0.14155666148739993,0,8,0.0078125
6,16,trm_mixer_stable_1e-2-trm_mixer,0.2576510416666667,0.13364643471731227,8,0,0.0078125
6,16,trm_mixer_stable_1e-1-trm_mixer,0.25788541666666664,0.1310405693988431,8,0,0.0078125
6,16,trm_mixer_stable_3e-1-trm_mixer,0.23080729166666666,0.13019234270858787,8,0,0.0078125
6,16,trm_mixer-ff_matched,-0.240015625,0.12919377583703393,0,8,0.0078125
6,24,trm_mixer_stable_1e-2-trm_mixer,0.33629687499999994,0.14868964935111234,8,0,0.0078125
6,24,trm_mixer_stable_1e-1-trm_mixer,0.3365625,0.14614648011770126,8,0,0.0078125
6,24,trm_mixer_stable_3e-1-trm_mixer,0.30980729166666665,0.13717220475985853,8,0,0.0078125
6,24,trm_mixer-ff_matched,-0.3191458333333333,0.14547870316784114,0,8,0.0078125
