config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
w=24,trm_mixer-trm_flat,accuracy,0.016682291666666654,0.006007680992094845,8,8,0,0.0078125
w=24,trm_mixer-trm_flat,exact_match,0.277875,0.08172503987675467,8,8,0,0.0078125
w=24,trm_mixer-trm_flat,coherence_excess,-0.02905619262144868,0.012963906434218816,8,0,8,0.0078125
w=24,trm_flat-trm_decoupled,accuracy,0.11861979166666668,0.0392226704310664,8,8,0,0.0078125
w=24,trm_flat-trm_decoupled,exact_match,0.61575,0.07103268865207667,8,8,0,0.0078125
w=24,trm_flat-trm_decoupled,coherence_excess,0.022707721026761083,0.015610259364879453,8,8,0,0.0078125
w=24,trm_mixer-trm_decoupled,accuracy,0.13530208333333332,0.04034187821478848,8,8,0,0.0078125
w=24,trm_mixer-trm_decoupled,exact_match,0.8936249999999999,0.04660759441488967,8,8,0,0.0078125
w=24,trm_mixer-trm_decoupled,coherence_excess,-0.006348471594687596,0.009132291536619035,8,2,6,0.2890625
w=24,trm_flat-untied_matched,accuracy,0.08783333333333333,0.010545418586979076,8,8,0,0.0078125
w=24,trm_flat-untied_matched,exact_match,0.59075,0.06779327821715493,8,8,0,0.0078125
w=24,trm_flat-untied_matched,coherence_excess,0.028715021195074263,0.012921724314712928,8,8,0,0.0078125
w=24,trm_mixer-ff_matched,accuracy,0.028411458333333334,0.007501171783461561,8,8,0,0.0078125
w=24,trm_mixer-ff_matched,exact_match,0.439625,0.07972620558601078,8,8,0,0.0078125
w=24,trm_mixer-ff_matched,coherence_excess,-0.02371011942786696,0.021288545193123332,8,1,7,0.0703125
w=24,trm_flat-ff_matched,accuracy,0.01172916666666668,0.005880759588125782,8,8,0,0.0078125
w=24,trm_flat-ff_matched,exact_match,0.16175,0.07693735856433559,8,8,0,0.0078125
w=24,trm_flat-ff_matched,coherence_excess,0.00534607319358172,0.012376762628019376,8,5,3,0.7265625
w=32,trm_mixer-trm_flat,accuracy,0.027265625,0.005037581973810166,8,8,0,0.0078125
w=32,trm_mixer-trm_flat,exact_match,0.47812499999999997,0.07114058014141537,8,8,0,0.0078125
w=32,trm_mixer-trm_flat,coherence_excess,-0.02933616341373564,0.01710847219600766,8,0,8,0.0078125
w=32,trm_flat-trm_decoupled,accuracy,0.13143359375000002,0.007831520373211503,8,8,0,0.0078125
w=32,trm_flat-trm_decoupled,exact_match,0.39437500000000003,0.0480741614591456,8,8,0,0.0078125
w=32,trm_flat-trm_decoupled,coherence_excess,0.03835680033603997,0.016688875593399943,8,8,0,0.0078125
w=32,trm_mixer-trm_decoupled,accuracy,0.15869921875,0.007968932727246714,8,8,0,0.0078125
w=32,trm_mixer-trm_decoupled,exact_match,0.8725,0.031722006782133376,8,8,0,0.0078125
w=32,trm_mixer-trm_decoupled,coherence_excess,0.009020636922304329,0.005212119994890548,8,8,0,0.0078125
w=32,trm_flat-untied_matched,accuracy,0.1336953125,0.01797933112371678,8,8,0,0.0078125
w=32,trm_flat-untied_matched,exact_match,0.39375,0.04902696051299588,8,8,0,0.0078125
w=32,trm_flat-untied_matched,coherence_excess,0.037879793675539154,0.019401145867308508,8,8,0,0.0078125
w=32,trm_mixer-ff_matched,accuracy,0.06944531250000001,0.009672118405083975,8,8,0,0.0078125
w=32,trm_mixer-ff_matched,exact_match,0.774375,0.06206664045316824,8,8,0,0.0078125
w=32,trm_mixer-ff_matched,coherence_excess,-0.003439494429766427,0.012033423394434988,8,3,5,0.7265625
w=32,trm_flat-ff_matched,accuracy,0.04217968750000001,0.006831166064377829,8,8,0,0.0078125
w=32,trm_flat-ff_matched,exact_match,0.29625,0.03695847090219739,8,8,0,0.0078125
w=32,trm_flat-ff_matched,coherence_excess,0.025896668983969216,0.016105372534110957,8,7,1,0.0703125
